Date,WPP.L
2015-08-24,1298.6597900390625
2015-08-25,1356.422119140625
2015-08-26,1305.6312255859375
2015-08-27,1331.5242919921875
2015-08-28,1345.4676513671875
2015-09-01,1305.6312255859375
2015-09-02,1310.610595703125
2015-09-03,1339.49169921875
2015-09-04,1318.5777587890625
2015-09-07,1332.5205078125
2015-09-08,1349.45068359375
2015-09-09,1368.3731689453125
2015-09-10,1362.397705078125
2015-09-11,1341.4835205078125
2015-09-14,1330.529052734375
2015-09-15,1342.4798583984375
2015-09-16,1357.418212890625
2015-09-17,1353.4346923828125
2015-09-18,1349.45068359375
2015-09-21,1360.406005859375
2015-09-22,1324.5531005859375
2015-09-23,1343.475341796875
2015-09-24,1323.557373046875
2015-09-25,1361.4019775390625
2015-09-28,1330.529052734375
2015-09-29,1319.5736083984375
2015-09-30,1367.3773193359375
2015-10-01,1366.3814697265625
2015-10-02,1369.3690185546875
2015-10-05,1411.197021484375
2015-10-06,1411.197021484375
2015-10-07,1403.22998046875
2015-10-08,1406.3765869140625
2015-10-09,1422.3126220703125
2015-10-12,1402.39208984375
2015-10-13,1395.420166015625
2015-10-14,1381.475830078125
2015-10-15,1406.3765869140625
2015-10-16,1426.296630859375
2015-10-19,1433.2684326171875
2015-10-20,1448.209228515625
2015-10-21,1429.2847900390625
2015-10-22,1413.3485107421875
2015-10-23,1474.1055908203125
2015-10-26,1442.2327880859375
2015-10-27,1444.2252197265625
2015-10-28,1456.17724609375
2015-10-29,1461.1571044921875
2015-10-30,1452.193115234375
2015-11-02,1470.121337890625
2015-11-03,1484.065673828125
2015-11-04,1489.0457763671875
2015-11-05,1482.0736083984375
2015-11-06,1486.057861328125
2015-11-09,1484.065673828125
2015-11-10,1479.08544921875
2015-11-11,1507.969970703125
2015-11-12,1496.01806640625
2015-11-13,1468.1295166015625
2015-11-16,1469.1253662109375
2015-11-17,1507.969970703125
2015-11-18,1501.9940185546875
2015-11-19,1508.9664306640625
2015-11-20,1513.946044921875
2015-11-23,1501.9940185546875
2015-11-24,1479.08544921875
2015-11-25,1521.9144287109375
2015-11-26,1540.83837890625
2015-11-27,1534.8623046875
2015-11-30,1528.8865966796875
2015-12-01,1529.882568359375
2015-12-02,1537.8507080078125
2015-12-03,1503.9859619140625
2015-12-04,1497.013671875
2015-12-07,1529.882568359375
2015-12-08,1507.969970703125
2015-12-09,1490.0419921875
2015-12-10,1495.021728515625
2015-12-11,1477.0936279296875
2015-12-14,1461.1571044921875
2015-12-15,1506.97412109375
2015-12-16,1513.946044921875
2015-12-17,1523.9063720703125
2015-12-18,1503.9859619140625
2015-12-21,1504.9818115234375
2015-12-22,1513.946044921875
2015-12-23,1541.834716796875
2015-12-24,1531.8746337890625
2015-12-29,1570.718994140625
2015-12-30,1566.735107421875
2015-12-31,1556.7750244140625
2016-01-04,1511.9542236328125
2016-01-05,1533.8665771484375
2016-01-06,1519.921875
2016-01-07,1479.08544921875
2016-01-08,1458.1689453125
2016-01-11,1447.212890625
2016-01-12,1477.0936279296875
2016-01-13,1471.117431640625
2016-01-14,1440.24072265625
2016-01-15,1429.2847900390625
2016-01-18,1414.3443603515625
2016-01-19,1441.2369384765625
2016-01-20,1400.400390625
