Date,STZ
2015-08-03,104.70401763916016
2015-08-04,104.88574981689453
2015-08-05,106.71109008789062
2015-08-06,107.42910766601562
2015-08-07,107.1342544555664
2015-08-10,107.53319549560547
2015-08-11,108.46983337402344
2015-08-12,108.6259536743164
2015-08-13,110.60333251953125
2015-08-14,111.01964569091797
2015-08-17,111.45325469970703
2015-08-18,112.48529815673828
2015-08-19,112.51133728027344
2015-08-20,111.5920181274414
2015-08-21,106.76998901367188
2015-08-24,103.44832611083984
2015-08-25,104.08142852783203
2015-08-26,108.30506134033203
2015-08-27,110.17835998535156
2015-08-28,110.95893096923828
2015-08-31,111.01097869873047
2015-09-01,110.76811981201172
2015-09-02,111.87824249267578
2015-09-03,111.87824249267578
2015-09-04,110.59465789794922
2015-09-08,112.01701354980469
2015-09-09,109.19837188720703
2015-09-10,110.49927520751953
2015-09-11,110.49927520751953
2015-09-14,110.92422485351562
2015-09-15,111.47928619384766
2015-09-16,113.75152587890625
2015-09-17,113.10108947753906
2015-09-18,110.44721984863281
2015-09-21,111.20174407958984
2015-09-22,110.35182189941406
2015-09-23,111.0543212890625
2015-09-24,110.24777221679688
2015-09-25,112.58940887451172
2015-09-28,109.21571350097656
2015-09-29,107.10822296142578
2015-09-30,108.59125518798828
2015-10-01,110.75077819824219
2015-10-02,111.98229217529297
2015-10-05,114.68819427490234
2015-10-06,113.89029693603516
2015-10-07,116.70893859863281
2015-10-08,118.54757690429688
2015-10-09,118.7210464477539
2015-10-12,118.87712860107422
2015-10-13,117.09923553466797
2015-10-14,115.94573211669922
2015-10-15,117.02115631103516
2015-10-16,117.159912109375
2015-10-19,117.23794555664062
2015-10-20,117.86243438720703
2015-10-21,118.21797180175781
2015-10-22,119.51888275146484
2015-10-23,118.12261199951172
2015-10-26,117.94912719726562
2015-10-27,117.67159271240234
2015-10-28,117.61090087890625
2015-10-29,117.17725372314453
2015-10-30,116.90840911865234
2015-11-02,117.1512222290039
2015-11-03,116.57015228271484
2015-11-04,115.52079010009766
2015-11-05,115.84241485595703
2015-11-06,114.8427505493164
2015-11-09,114.98180389404297
2015-11-10,117.16374206542969
2015-11-11,117.33760833740234
2015-11-12,115.94674682617188
2015-11-13,114.92094421386719
2015-11-16,117.58098602294922
2015-11-17,120.05850219726562
2015-11-18,120.21497344970703
2015-11-19,119.4934310913086
2015-11-20,119.63256072998047
2015-11-23,123.50960540771484
2015-11-24,122.86629486083984
2015-11-25,124.47451782226562
2015-11-27,124.99610137939453
2015-11-30,121.92745971679688
2015-12-01,124.17897033691406
2015-12-02,123.30097198486328
2015-12-03,122.13610076904297
2015-12-04,125.7610855102539
2015-12-07,123.26622009277344
2015-12-08,124.30066680908203
2015-12-09,121.85794830322266
2015-12-10,121.68408203125
2015-12-11,120.22368621826172
2015-12-14,119.693359375
2015-12-15,121.07559204101562
2015-12-16,124.27460479736328
2015-12-17,121.60589599609375
2015-12-18,120.4583740234375
2015-12-21,122.91849517822266
2015-12-22,123.98773956298828
2015-12-23,124.90914916992188
2015-12-24,124.33544921875
2015-12-28,124.5440673828125
2015-12-29,125.39600372314453
2015-12-30,125.32643127441406
2015-12-31,123.82256317138672
2016-01-04,122.30133056640625
