Date,IPCALAB.NS
2015-08-21,416.0672912597656
2015-08-24,387.981201171875
2015-08-25,384.21539306640625
2015-08-26,373.7923889160156
2015-08-27,376.6107177734375
2015-08-28,380.2065124511719
2015-08-31,384.677001953125
2015-09-01,382.1259460449219
2015-09-02,389.17169189453125
2015-09-03,385.673095703125
2015-09-04,370.0022277832031
2015-09-07,364.7300720214844
2015-09-08,358.5103454589844
2015-09-09,360.30816650390625
2015-09-10,359.7250671386719
2015-09-11,363.6610412597656
2015-09-14,364.4627990722656
2015-09-15,364.3412780761719
2015-09-16,360.1381530761719
2015-09-18,358.09722900390625
2015-09-21,369.32196044921875
2015-09-22,363.07794189453125
2015-09-23,367.7184753417969
2015-09-24,374.5942077636719
2015-09-28,373.2336120605469
2015-09-29,363.4666748046875
2015-09-30,360.4539489746094
2015-10-01,358.558837890625
2015-10-05,355.0359802246094
2015-10-06,354.50152587890625
2015-10-07,346.508056640625
2015-10-08,350.32257080078125
2015-10-09,351.8531494140625
2015-10-12,351.90185546875
2015-10-13,357.757080078125
2015-10-14,360.5025939941406
2015-10-15,364.3899230957031
2015-10-16,374.934326171875
2015-10-19,371.0226745605469
2015-10-20,365.6047058105469
2015-10-21,367.5969543457031
2015-10-23,362.0818176269531
2015-10-26,367.74273681640625
2015-10-27,382.80615234375
2015-10-28,378.8216247558594
2015-10-29,379.8664245605469
2015-10-30,378.60302734375
2015-11-02,374.2783203125
2015-11-03,365.7747802734375
2015-11-04,362.8106689453125
2015-11-05,356.3722839355469
2015-11-06,341.9647521972656
2015-11-09,350.9299621582031
2015-11-10,347.84442138671875
2015-11-13,349.44793701171875
2015-11-16,352.6792907714844
2015-11-17,361.3771667480469
2015-11-18,367.96136474609375
2015-11-19,376.75653076171875
2015-11-20,372.431884765625
2015-11-23,378.943115234375
2015-11-24,373.2579650878906
2015-11-26,370.415283203125
2015-11-27,371.9459228515625
2015-11-30,384.21539306640625
2015-12-01,381.7857666015625
2015-12-02,374.8857421875
2015-12-03,373.08782958984375
2015-12-04,375.51739501953125
2015-12-07,368.08294677734375
2015-12-08,364.82720947265625
2015-12-09,368.5202331542969
2015-12-10,368.7388610839844
2015-12-11,363.8310852050781
2015-12-14,366.6737365722656
2015-12-15,365.3860778808594
2015-12-16,363.0536804199219
2015-12-17,360.6483154296875
2015-12-18,360.7454833984375
2015-12-21,359.43353271484375
2015-12-22,362.51910400390625
2015-12-23,365.410400390625
2015-12-24,363.8310852050781
2015-12-28,362.0575256347656
2015-12-29,363.7339172363281
2015-12-30,363.9039611816406
2015-12-31,360.5025939941406
2016-01-01,360.6969299316406
2016-01-04,355.6676940917969
2016-01-05,346.1436767578125
2016-01-06,347.67431640625
2016-01-07,335.6478576660156
2016-01-08,331.27459716796875
2016-01-11,327.4844665527344
2016-01-12,317.2801818847656
2016-01-13,316.089599609375
2016-01-14,314.1217041015625
2016-01-15,299.0096740722656
2016-01-18,300.8075866699219
2016-01-19,314.194580078125
2016-01-20,309.2867736816406
2016-01-21,304.2818908691406
2016-01-22,311.6678466796875
2016-01-25,318.859375
2016-01-27,317.2315368652344
2016-01-28,314.4861145019531
2016-01-29,325.05487060546875
2016-02-01,318.34918212890625
2016-02-02,317.9361572265625
2016-02-03,310.8417053222656
2016-02-04,306.3713073730469
2016-02-05,301.5363464355469
2016-02-08,314.6319580078125
2016-02-09,316.96429443359375
2016-02-10,303.650146484375
2016-02-11,294.0046691894531
2016-02-12,281.03070068359375
2016-02-15,300.734619140625
2016-02-16,294.10186767578125
2016-02-17,296.7501525878906
2016-02-18,308.0477600097656
2016-02-19,313.1011962890625
2016-02-22,308.4121398925781
2016-02-23,301.5606689453125
2016-02-24,296.0455322265625
2016-02-25,285.08807373046875
2016-02-26,277.60498046875
2016-02-29,274.42218017578125
2016-03-01,275.4669494628906
2016-03-02,286.2057189941406
2016-03-03,277.7750244140625
2016-03-04,280.61767578125
2016-03-08,273.6447448730469
2016-03-09,265.9915466308594
2016-03-10,267.95947265625
2016-03-11,262.9788818359375
2016-03-14,263.6590881347656
2016-03-15,260.2820129394531
2016-03-16,259.16436767578125
2016-03-17,257.7795104980469
2016-03-18,271.48236083984375
2016-03-21,272.6485595703125
2016-03-22,277.1190185546875
2016-03-23,291.2592468261719
2016-03-28,294.9280090332031
2016-03-29,286.1813659667969
2016-03-30,286.2300109863281
2016-03-31,282.877197265625
2016-04-01,277.79931640625
2016-04-04,276.92462158203125
2016-04-05,269.87884521484375
2016-04-06,264.9710998535156
2016-04-07,271.3609313964844
2016-04-08,243.5421142578125
2016-04-11,237.71109008789062
2016-04-12,234.4554443359375
2016-04-13,239.60617065429688
2016-04-18,237.6138916015625
2016-04-20,238.46424865722656
2016-04-21,240.62660217285156
2016-04-22,242.8861083984375
2016-04-25,241.84140014648438
2016-04-26,240.72378540039062
2016-04-27,241.01531982421875
2016-04-28,239.2417449951172
2016-04-29,241.86569213867188
2016-05-02,240.16494750976562
2016-05-03,240.79664611816406
2016-05-04,236.13185119628906
2016-05-05,235.88890075683594
2016-05-06,231.07830810546875
2016-05-09,230.9568328857422
2016-05-10,228.86737060546875
2016-05-11,227.77407836914062
2016-05-12,227.55538940429688
2016-05-13,227.40963745117188
2016-05-16,219.6835479736328
2016-05-17,218.66310119628906
2016-05-18,220.16943359375
2016-05-19,217.27821350097656
2016-05-20,218.4930419921875
2016-05-23,216.9381103515625
2016-05-24,214.31411743164062
2016-05-25,215.28598022460938
2016-05-26,214.75148010253906
2016-05-27,212.32186889648438
2016-05-30,207.94862365722656
2016-05-31,208.89613342285156
2016-06-01,205.51901245117188
2016-06-02,200.85421752929688
2016-06-03,202.67637634277344
2016-06-06,197.9630126953125
2016-06-07,209.576416015625
2016-06-08,206.7823944091797
2016-06-09,216.4764862060547
2016-06-10,225.3687744140625
2016-06-13,223.1578369140625
