Date,AZN.L
2015-08-24,3891.594970703125
2015-08-25,3957.892578125
2015-08-26,3910.53662109375
2015-08-27,4071.5439453125
2015-08-28,4107.43505859375
2015-09-01,4021.1982421875
2015-09-02,4104.4443359375
2015-09-03,4234.544921875
2015-09-04,4168.7470703125
2015-09-07,4206.1328125
2015-09-08,4242.52099609375
2015-09-09,4254.98388671875
2015-09-10,4277.4150390625
2015-09-11,4272.4296875
2015-09-14,4271.43310546875
2015-09-15,4314.80029296875
2015-09-16,4309.81591796875
2015-09-17,4257.47509765625
2015-09-18,4356.67236328125
2015-09-21,4365.6455078125
2015-09-22,4152.79638671875
2015-09-23,4211.1181640625
2015-09-24,4193.17236328125
2015-09-25,4316.79541015625
2015-09-28,4167.25244140625
2015-09-29,4116.90478515625
2015-09-30,4168.7470703125
2015-10-01,4148.3095703125
2015-10-02,4155.28759765625
2015-10-05,4234.544921875
2015-10-06,4188.18798828125
2015-10-07,4099.458984375
2015-10-08,4147.810546875
2015-10-09,4196.66162109375
2015-10-12,4163.76123046875
2015-10-13,4125.37939453125
2015-10-14,4046.620849609375
2015-10-15,4108.4306640625
2015-10-16,4133.35498046875
2015-10-19,4143.82275390625
2015-10-20,4012.225830078125
2015-10-21,3934.962158203125
2015-10-22,3998.7666015625
2015-10-23,4057.0888671875
2015-10-26,4079.021484375
2015-10-27,4062.571533203125
2015-10-28,4166.75390625
2015-10-29,4183.70166015625
2015-10-30,4137.841796875
2015-11-02,4143.3251953125
2015-11-03,4149.80517578125
2015-11-04,4114.9111328125
2015-11-05,4234.0478515625
2015-11-06,4213.111328125
2015-11-09,4145.8173828125
2015-11-10,4143.3251953125
2015-11-11,4189.1845703125
2015-11-12,4062.571533203125
2015-11-13,4081.513916015625
2015-11-16,4245.01318359375
2015-11-17,4383.58984375
2015-11-18,4395.55322265625
2015-11-19,4414.99365234375
2015-11-20,4485.77734375
2015-11-23,4472.31689453125
2015-11-24,4449.88671875
2015-11-25,4486.27587890625
2015-11-26,4506.2138671875
2015-11-27,4498.73779296875
2015-11-30,4488.767578125
2015-12-01,4501.72802734375
2015-12-02,4568.52392578125
2015-12-03,4456.36669921875
2015-12-04,4428.45166015625
2015-12-07,4469.82666015625
2015-12-08,4424.96142578125
2015-12-09,4390.56787109375
2015-12-10,4366.1435546875
2015-12-11,4316.79541015625
2015-12-14,4272.4296875
2015-12-15,4377.60791015625
2015-12-16,4403.0302734375
2015-12-17,4420.47705078125
2015-12-18,4358.1669921875
2015-12-21,4350.193359375
2015-12-22,4385.08447265625
2015-12-23,4499.23583984375
2015-12-24,4526.154296875
2015-12-29,4613.38671875
2015-12-30,4601.9208984375
2015-12-31,4602.4208984375
2016-01-04,4464.34326171875
2016-01-05,4548.08642578125
2016-01-06,4508.7060546875
2016-01-07,4367.63916015625
2016-01-08,4335.736328125
2016-01-11,4242.52099609375
2016-01-12,4310.8125
2016-01-13,4383.0908203125
2016-01-14,4309.81591796875
2016-01-15,4217.0986328125
2016-01-18,4197.658203125
2016-01-19,4299.34716796875
2016-01-20,4222.58251953125
2016-01-21,4258.47314453125
2016-01-22,4347.20166015625
2016-01-25,4426.95703125
2016-01-26,4402.03369140625
2016-01-27,4459.357421875
2016-01-28,4333.74169921875
2016-01-29,4473.8125
2016-02-01,4490.26318359375
2016-02-02,4485.279296875
2016-02-03,4398.5439453125
2016-02-04,4130.36376953125
2016-02-05,4096.96630859375
2016-02-08,3894.08740234375
2016-02-09,3902.56103515625
2016-02-10,3996.7724609375
2016-02-11,3978.828125
2016-02-12,4034.15869140625
2016-02-15,4138.33984375
2016-02-16,4171.23828125
2016-02-17,4266.447265625
2016-02-18,4118.16552734375
2016-02-19,4061.8212890625
2016-02-22,4131.62841796875
2016-02-23,4119.16357421875
2016-02-24,4075.28466796875
2016-02-25,4187.4755859375
2016-02-26,4192.9609375
2016-02-29,4095.728515625
2016-03-01,4081.76611328125
2016-03-02,4061.8212890625
2016-03-03,3989.02099609375
2016-03-04,4009.9638671875
2016-03-07,4005.4765625
2016-03-08,4043.37255859375
2016-03-09,4064.813232421875
2016-03-10,4007.470947265625
2016-03-11,4032.402099609375
2016-03-14,4040.87841796875
2016-03-15,4010.9609375
2016-03-16,3994.00830078125
2016-03-17,3935.668701171875
2016-03-18,3879.32373046875
2016-03-21,3890.7919921875
2016-03-22,3904.254638671875
2016-03-23,3941.1533203125
2016-03-24,3896.27685546875
2016-03-29,3903.756103515625
2016-03-30,3904.75390625
2016-03-31,3891.7890625
2016-04-01,3921.706298828125
2016-04-04,3960.1015625
2016-04-05,3940.15625
2016-04-06,4116.17138671875
2016-04-07,4156.0625
2016-04-08,4135.11865234375
2016-04-11,4053.84326171875
2016-04-12,4045.864990234375
2016-04-13,4088.248291015625
2016-04-14,4129.634765625
2016-04-15,4135.11865234375
2016-04-18,4156.56005859375
2016-04-19,4148.58203125
2016-04-20,4129.634765625
2016-04-21,4146.587890625
2016-04-22,4105.2021484375
2016-04-25,4072.790771484375
2016-04-26,3988.02490234375
2016-04-27,3985.53076171875
2016-04-28,3948.63232421875
2016-04-29,3917.219482421875
2016-05-03,3900.763916015625
