Date,AI.PA
2015-08-24,54.83332824707031
2015-08-25,57.36616516113281
2015-08-26,55.695556640625
2015-08-27,57.554771423339844
2015-08-28,58.012840270996094
2015-08-31,57.58173370361328
2015-09-01,56.746421813964844
2015-09-02,57.123661041259766
2015-09-03,58.28229904174805
2015-09-04,56.47697067260742
2015-09-07,57.123661041259766
2015-09-08,57.4200553894043
2015-09-09,58.12063217163086
2015-09-10,57.042823791503906
2015-09-11,56.53086853027344
2015-09-14,56.36918640136719
2015-09-15,56.773372650146484
2015-09-16,57.123661041259766
2015-09-17,56.88114929199219
2015-09-18,55.66862487792969
2015-09-21,56.773372650146484
2015-09-22,54.994998931884766
2015-09-23,54.994998931884766
2015-09-24,54.1866340637207
2015-09-25,56.01891326904297
2015-09-28,54.7794303894043
2015-09-29,55.5069465637207
2015-09-30,56.93503952026367
2015-10-01,56.3152961730957
2015-10-02,56.93503952026367
2015-10-05,58.578697204589844
2015-10-06,58.98286819458008
2015-10-07,58.87508773803711
2015-10-08,58.9559211730957
2015-10-09,59.52177047729492
2015-10-12,59.3600959777832
2015-10-13,58.63257598876953
2015-10-14,57.8242301940918
2015-10-15,59.22537612915039
2015-10-16,59.4678840637207
2015-10-19,59.52177047729492
2015-10-20,58.740360260009766
2015-10-21,59.09064483642578
2015-10-22,61.084590911865234
2015-10-23,62.45878601074219
2015-10-26,62.72823715209961
2015-10-27,63.18631362915039
2015-10-28,63.88688659667969
2015-10-29,63.77909469604492
2015-10-30,63.536590576171875
2015-11-02,64.37191009521484
2015-11-03,65.01858520507812
2015-11-04,65.18023681640625
2015-11-05,65.50357818603516
2015-11-06,66.12333679199219
2015-11-09,65.39582061767578
2015-11-10,65.31497192382812
2015-11-11,66.258056640625
2015-11-12,65.31497192382812
2015-11-13,64.47967529296875
2015-11-16,64.99163055419922
2015-11-17,66.63529205322266
2015-11-18,61.7043342590332
2015-11-19,61.94682312011719
2015-11-20,62.64740753173828
2015-11-23,62.566566467285156
2015-11-24,61.51572036743164
2015-11-25,62.674346923828125
2015-11-26,62.88991928100586
2015-11-27,62.5126838684082
2015-11-30,62.24323654174805
2015-12-01,59.14453887939453
2015-12-02,58.20145034790039
2015-12-03,56.88114929199219
2015-12-04,56.82725143432617
2015-12-07,57.8242301940918
2015-12-08,57.015865325927734
2015-12-09,56.45002365112305
2015-12-10,56.26141357421875
2015-12-11,55.47999572753906
2015-12-14,54.994998931884766
2015-12-15,56.423091888427734
2015-12-16,56.342254638671875
2015-12-17,57.09671401977539
2015-12-18,56.45002365112305
2015-12-21,54.80636978149414
2015-12-22,54.96805191040039
2015-12-23,56.20751953125
2015-12-24,56.04585266113281
2015-12-28,55.91112518310547
2015-12-29,56.908103942871094
2015-12-30,56.58475112915039
2016-01-04,54.348304748535156
2016-01-05,54.02497100830078
2016-01-06,53.27050018310547
2016-01-07,52.041805267333984
2016-01-08,51.24961471557617
2016-01-11,50.63526916503906
2016-01-12,52.0633659362793
2016-01-13,52.311248779296875
2016-01-14,51.66996765136719
2016-01-15,50.83466339111328
2016-01-18,50.39815139770508
2016-01-19,50.47898483276367
2016-01-20,49.870033264160156
2016-01-21,50.575992584228516
2016-01-22,51.939414978027344
2016-01-25,51.5136833190918
2016-01-26,51.583736419677734
2016-01-27,51.23884201049805
2016-01-28,50.996337890625
2016-01-29,51.31428909301758
2016-02-01,51.12028121948242
2016-02-02,50.667606353759766
2016-02-03,50.96399688720703
2016-02-04,51.37895584106445
2016-02-05,51.373565673828125
2016-02-08,49.79458236694336
2016-02-09,50.19876480102539
2016-02-10,51.01250076293945
2016-02-11,49.83769607543945
