Date,RAYMOND.NS
2015-08-21,431.34942626953125
2015-08-24,381.2799072265625
2015-08-25,377.47344970703125
2015-08-26,382.5975341796875
2015-08-27,386.59918212890625
2015-08-28,388.8928527832031
2015-08-31,383.37835693359375
2015-09-01,380.4991455078125
2015-09-02,377.668701171875
2015-09-03,389.91766357421875
2015-09-04,378.0591125488281
2015-09-07,366.7372741699219
2015-09-08,370.9341125488281
2015-09-09,383.32952880859375
2015-09-10,383.6711730957031
2015-09-11,379.1327209472656
2015-09-14,381.9631652832031
2015-09-15,376.44866943359375
2015-09-16,382.93914794921875
2015-09-18,397.3841552734375
2015-09-21,399.67779541015625
2015-09-22,381.8655090332031
2015-09-23,378.64471435546875
2015-09-24,379.327880859375
2015-09-28,391.3816833496094
2015-09-29,403.1914367675781
2015-09-30,417.0020446777344
2015-10-01,426.12774658203125
2015-10-05,443.3056335449219
2015-10-06,435.5462951660156
2015-10-07,435.9367370605469
2015-10-08,427.7869873046875
2015-10-09,423.59014892578125
2015-10-12,428.27496337890625
2015-10-13,425.8837890625
2015-10-14,439.8895568847656
2015-10-15,449.3569030761719
2015-10-16,445.355224609375
2015-10-19,441.2559814453125
2015-10-20,427.10382080078125
2015-10-21,433.3990783691406
2015-10-23,436.1806945800781
2015-10-26,430.2270202636719
2015-10-27,428.95819091796875
2015-10-28,434.2286682128906
2015-10-29,416.9044189453125
2015-10-30,410.4139404296875
2015-11-02,409.9747314453125
2015-11-03,410.80438232421875
2015-11-04,407.3883056640625
2015-11-05,404.70428466796875
2015-11-06,401.7762145996094
2015-11-09,404.9971008300781
2015-11-10,398.3601379394531
2015-11-13,398.506591796875
2015-11-16,401.87384033203125
2015-11-17,405.6314697265625
2015-11-18,397.96978759765625
2015-11-19,415.04998779296875
2015-11-20,406.4123229980469
2015-11-23,409.9747314453125
2015-11-24,411.7803649902344
2015-11-26,408.94989013671875
2015-11-27,407.0955505371094
2015-11-30,404.2651062011719
2015-12-01,405.2410583496094
2015-12-02,404.70428466796875
2015-12-03,407.24188232421875
2015-12-04,402.6058044433594
2015-12-07,408.12030029296875
2015-12-08,404.06982421875
2015-12-09,397.18896484375
2015-12-10,392.65045166015625
2015-12-11,393.33367919921875
2015-12-14,396.7497253417969
2015-12-15,394.992919921875
2015-12-16,394.6513366699219
2015-12-17,396.7009582519531
2015-12-18,408.16912841796875
2015-12-21,411.2923583984375
2015-12-22,409.0963134765625
2015-12-23,404.70428466796875
2015-12-24,419.2956848144531
2015-12-28,421.8821105957031
2015-12-29,417.0508728027344
2015-12-30,416.41644287109375
