Date,NETWEB.NS
2023-07-27,909.5968627929688
2023-07-28,897.6574096679688
2023-07-31,874.777587890625
2023-08-01,880.3726806640625
2023-08-02,855.894287109375
2023-08-03,889.5145874023438
2023-08-04,892.0123291015625
2023-08-07,887.1666259765625
2023-08-08,857.8925170898438
2023-08-09,851.2982788085938
2023-08-10,860.0405883789062
2023-08-11,870.2315673828125
2023-08-14,848.4508666992188
2023-08-16,825.4212036132812
2023-08-17,822.3738403320312
2023-08-18,814.380859375
2023-08-21,795.5974731445312
2023-08-22,791.8008422851562
2023-08-23,806.13818359375
2023-08-24,886.717041015625
2023-08-25,864.4866943359375
2023-08-28,862.9879760742188
2023-08-29,846.5025634765625
2023-08-30,836.4114990234375
2023-08-31,845.4534912109375
2023-09-01,845.0538330078125
2023-09-04,839.3588256835938
2023-09-05,844.454345703125
2023-09-06,846.0529174804688
2023-09-07,841.6568603515625
2023-09-08,838.1099243164062
2023-09-11,844.5542602539062
2023-09-12,835.0126953125
2023-09-13,820.0259399414062
2023-09-14,815.47998046875
2023-09-15,815.8296508789062
2023-09-18,807.6368408203125
2023-09-20,810.4344482421875
2023-09-21,809.68505859375
2023-09-22,809.185546875
2023-09-25,803.3406372070312
2023-09-26,803.4905395507812
2023-09-27,814.5807495117188
2023-09-28,809.135498046875
2023-09-29,826.9697875976562
2023-10-03,829.5175170898438
2023-10-04,829.917236328125
2023-10-05,824.3720703125
2023-10-06,812.032958984375
2023-10-09,812.2328491210938
2023-10-10,819.276611328125
2023-10-11,880.3726806640625
2023-10-12,879.0737915039062
2023-10-13,866.1851806640625
2023-10-16,898.3568115234375
2023-10-17,879.2736206054688
2023-10-18,868.8328247070312
2023-10-19,894.0105590820312
2023-10-20,886.966796875
2023-10-23,837.660400390625
2023-10-25,778.6624145507812
2023-10-26,748.5390625
2023-10-27,750.9368896484375
2023-10-30,752.4356079101562
2023-10-31,748.4891357421875
2023-11-01,756.7817993164062
2023-11-02,816.77880859375
2023-11-03,796.197021484375
2023-11-06,781.4099731445312
2023-11-07,774.8657836914062
2023-11-08,779.8613891601562
2023-11-09,771.1190795898438
2023-11-10,769.2208251953125
2023-11-13,788.2539672851562
2023-11-15,800.6929931640625
2023-11-16,829.1178588867188
2023-11-17,814.5807495117188
2023-11-20,823.6727294921875
2023-11-21,819.5762939453125
2023-11-22,820.4755249023438
2023-11-23,820.0758666992188
2023-11-24,810.584228515625
2023-11-28,878.6741333007812
2023-11-29,900.4548950195312
2023-11-30,899.3558959960938
2023-12-01,896.7081909179688
2023-12-04,896.558349609375
2023-12-05,964.4483642578125
2023-12-06,972.0916748046875
2023-12-07,998.8180541992188
2023-12-08,994.1221923828125
2023-12-11,1093.534423828125
2023-12-12,1196.2437744140625
2023-12-13,1186.20263671875
2023-12-14,1245.500244140625
2023-12-15,1289.4114990234375
2023-12-18,1225.018310546875
2023-12-19,1200.340087890625
2023-12-20,1140.343017578125
2023-12-21,1177.9598388671875
2023-12-22,1219.623046875
2023-12-26,1227.765869140625
2023-12-27,1219.3233642578125
2023-12-28,1203.0877685546875
2023-12-29,1186.50244140625
2024-01-01,1181.956298828125
2024-01-02,1180.8572998046875
2024-01-03,1193.895751953125
2024-01-04,1185.4031982421875
2024-01-05,1189.699462890625
2024-01-08,1201.938720703125
2024-01-09,1262.03564453125
2024-01-10,1325.1300048828125
2024-01-11,1391.3714599609375
2024-01-12,1449.81982421875
2024-01-15,1449.81982421875
2024-01-16,1418.697265625
2024-01-17,1397.9156494140625
2024-01-18,1389.722900390625
2024-01-19,1414.900634765625
2024-01-23,1359.699462890625
2024-01-24,1427.639404296875
2024-01-25,1498.9764404296875
2024-01-29,1449.3702392578125
2024-01-30,1407.5072021484375
2024-01-31,1395.517822265625
2024-02-01,1414.251220703125
2024-02-02,1372.8876953125
2024-02-05,1374.1365966796875
2024-02-06,1420.4456787109375
2024-02-07,1393.2197265625
2024-02-08,1392.6702880859375
2024-02-09,1370.689697265625
2024-02-12,1336.7197265625
2024-02-13,1325.6295166015625
2024-02-14,1391.8709716796875
2024-02-15,1432.73486328125
2024-02-16,1456.3140869140625
2024-02-19,1508.3680419921875
2024-02-20,1538.791259765625
2024-02-21,1496.029052734375
2024-02-22,1570.81298828125
2024-02-23,1649.34375
2024-02-26,1693.654541015625
2024-02-27,1629.6610107421875
2024-02-28,1672.822998046875
2024-02-29,1697.8009033203125
2024-03-01,1715.1854248046875
2024-03-04,1813.1490478515625
2024-03-05,1729.9224853515625
2024-03-06,1663.2813720703125
2024-03-07,1667.27783203125
2024-03-11,1584.301025390625
2024-03-12,1505.1209716796875
2024-03-13,1429.887451171875
2024-03-14,1501.374267578125
2024-03-15,1505.071044921875
2024-03-18,1535.34423828125
2024-03-19,1501.374267578125
2024-03-20,1515.8614501953125
2024-03-21,1591.6446533203125
2024-03-22,1629.6610107421875
2024-03-26,1590.895263671875
2024-03-27,1634.2569580078125
2024-03-28,1606.231689453125
2024-04-01,1684.0130615234375
2024-04-02,1661.1832275390625
2024-04-03,1660.6336669921875
2024-04-04,1647.6451416015625
2024-04-05,1646.895751953125
2024-04-08,1663.3812255859375
2024-04-09,1632.2088623046875
2024-04-10,1625.264892578125
2024-04-12,1614.774169921875
2024-04-15,1574.260009765625
2024-04-16,1614.6741943359375
2024-04-18,1693.9542236328125
2024-04-19,1667.527587890625
2024-04-22,1657.036865234375
2024-04-23,1656.0877685546875
2024-04-24,1729.322998046875
2024-04-25,1717.9830322265625
2024-04-26,1696.00244140625
2024-04-29,1677.91845703125
2024-04-30,1678.9674072265625
2024-05-02,1762.893310546875
2024-05-03,1851.015625
2024-05-06,1930.4454345703125
2024-05-07,1931.39453125
2024-05-08,1929.995849609375
2024-05-09,1983.1988525390625
2024-05-10,1958.470703125
2024-05-13,2053.63671875
2024-05-14,2155.296875
2024-05-15,2262.951904296875
2024-05-16,2304.614990234375
2024-05-17,2189.4169921875
2024-05-21,2053.6865234375
2024-05-22,2145.9052734375
2024-05-23,2092.452392578125
2024-05-24,2126.822021484375
2024-05-27,2151.800048828125
2024-05-28,2126.42236328125
2024-05-29,2232.728515625
2024-05-30,2232.37890625
2024-05-31,2341.032958984375
2024-06-03,2402.178955078125
2024-06-04,2282.0849609375
2024-06-05,2168.73486328125
2024-06-06,2277.13916015625
2024-06-07,2492.3994140625
2024-06-10,2470.01904296875
2024-06-11,2416.765869140625
2024-06-12,2446.289794921875
