Date,CPG.L
2015-08-24,1028.9010009765625
2015-08-25,1059.010009765625
2015-08-26,1040.3216552734375
2015-08-27,1062.124755859375
2015-08-28,1074.5838623046875
2015-09-01,1057.9716796875
2015-09-02,1059.010009765625
2015-09-03,1065.2393798828125
2015-09-04,1051.7421875
2015-09-07,1050.703857421875
2015-09-08,1059.010009765625
2015-09-09,1077.6983642578125
2015-09-10,1065.2393798828125
2015-09-11,1056.9334716796875
2015-09-14,1049.666015625
2015-09-15,1046.55126953125
2015-09-16,1056.9334716796875
2015-09-17,1073.54541015625
2015-09-18,1071.468994140625
2015-09-21,1068.354248046875
2015-09-22,1050.703857421875
2015-09-23,1064.2012939453125
2015-09-24,1056.9334716796875
2015-09-25,1081.8515625
2015-09-28,1062.124755859375
2015-09-29,1053.818603515625
2015-09-30,1093.27197265625
2015-10-01,1095.3482666015625
2015-10-02,1092.2335205078125
2015-10-05,1118.1898193359375
2015-10-06,1119.2283935546875
2015-10-07,1110.9217529296875
2015-10-08,1109.8837890625
2015-10-09,1115.075439453125
2015-10-12,1116.1134033203125
2015-10-13,1102.6160888671875
2015-10-14,1087.04248046875
2015-10-15,1102.6160888671875
2015-10-16,1094.3106689453125
2015-10-19,1112.99853515625
2015-10-20,1117.1519775390625
2015-10-21,1128.572265625
2015-10-22,1130.6488037109375
2015-10-23,1142.0697021484375
2015-10-26,1142.0697021484375
2015-10-27,1137.9166259765625
2015-10-28,1154.528564453125
2015-10-29,1160.7576904296875
2015-10-30,1161.7958984375
2015-11-02,1124.4195556640625
2015-11-03,1126.495849609375
2015-11-04,1110.9217529296875
2015-11-05,1109.8837890625
2015-11-06,1112.99853515625
2015-11-09,1098.4632568359375
2015-11-10,1092.2335205078125
2015-11-11,1098.4632568359375
2015-11-12,1084.96630859375
2015-11-13,1066.277587890625
2015-11-16,1069.392333984375
2015-11-17,1089.1190185546875
2015-11-18,1096.38671875
2015-11-19,1116.1134033203125
2015-11-20,1114.0369873046875
2015-11-23,1118.1898193359375
2015-11-24,1121.3046875
2015-11-25,1159.7198486328125
2015-11-26,1176.331787109375
2015-11-27,1184.6376953125
2015-11-30,1198.135009765625
2015-12-01,1213.7083740234375
2015-12-02,1223.0526123046875
2015-12-03,1198.135009765625
2015-12-04,1205.4027099609375
2015-12-07,1209.555419921875
2015-12-08,1182.5611572265625
2015-12-09,1177.3699951171875
2015-12-10,1168.0257568359375
2015-12-11,1156.6048583984375
2015-12-14,1151.413818359375
2015-12-15,1180.484619140625
2015-12-16,1192.9434814453125
2015-12-17,1197.096435546875
2015-12-18,1175.29345703125
2015-12-21,1183.599365234375
2015-12-22,1187.7523193359375
2015-12-23,1207.47900390625
2015-12-24,1204.3641357421875
2015-12-29,1235.5115966796875
2015-12-30,1236.5498046875
2015-12-31,1219.9378662109375
2016-01-04,1179.4464111328125
2016-01-05,1189.82861328125
2016-01-06,1179.4464111328125
2016-01-07,1162.83447265625
2016-01-08,1164.9110107421875
2016-01-11,1176.331787109375
2016-01-12,1189.82861328125
2016-01-13,1191.9052734375
2016-01-14,1177.3699951171875
2016-01-15,1163.872802734375
2016-01-18,1186.7138671875
2016-01-19,1208.5172119140625
2016-01-20,1177.3699951171875
2016-01-21,1129.80615234375
2016-01-22,1158.8818359375
2016-01-25,1165.1124267578125
2016-01-26,1169.265869140625
2016-01-27,1215.9951171875
2016-01-28,1223.2640380859375
2016-01-29,1249.224853515625
2016-02-01,1245.0706787109375
2016-02-02,1230.532958984375
2016-02-03,1219.1104736328125
2016-02-04,1264.8011474609375
2016-02-05,1266.8780517578125
2016-02-08,1236.763671875
2016-02-09,1252.33984375
2016-02-10,1242.994140625
2016-02-11,1218.072021484375
2016-02-12,1235.7252197265625
2016-02-15,1251.301513671875
2016-02-16,1261.685791015625
2016-02-17,1276.2237548828125
2016-02-18,1277.262451171875
2016-02-19,1276.2237548828125
2016-02-22,1292.83837890625
2016-02-23,1276.2237548828125
2016-02-24,1271.031494140625
2016-02-25,1290.76171875
2016-02-26,1296.9921875
2016-02-29,1314.6456298828125
2016-03-01,1325.02978515625
2016-03-02,1308.414794921875
2016-03-03,1288.68505859375
2016-03-04,1282.454345703125
2016-03-07,1266.8780517578125
2016-03-08,1263.7628173828125
2016-03-09,1260.6473388671875
2016-03-10,1240.9171142578125
2016-03-11,1262.724365234375
2016-03-14,1261.685791015625
2016-03-15,1268.954833984375
2016-03-16,1268.954833984375
2016-03-17,1272.0701904296875
2016-03-18,1267.9163818359375
2016-03-21,1272.0701904296875
2016-03-22,1266.8780517578125
2016-03-23,1261.685791015625
2016-03-24,1258.5703125
2016-03-29,1261.685791015625
2016-03-30,1277.262451171875
2016-03-31,1275.1854248046875
2016-04-01,1285.5697021484375
2016-04-04,1293.877197265625
2016-04-05,1293.877197265625
2016-04-06,1317.7607421875
2016-04-07,1316.7222900390625
2016-04-08,1312.5684814453125
2016-04-11,1312.5684814453125
2016-04-12,1311.5302734375
2016-04-13,1308.414794921875
2016-04-14,1326.0682373046875
2016-04-15,1329.1834716796875
2016-04-18,1330.2216796875
2016-04-19,1322.952880859375
2016-04-20,1318.7994384765625
2016-04-21,1295.9537353515625
2016-04-22,1265.839599609375
2016-04-25,1269.993408203125
2016-04-26,1271.031494140625
2016-04-27,1290.76171875
2016-04-28,1279.3388671875
2016-04-29,1265.839599609375
2016-05-03,1262.724365234375
2016-05-04,1266.8780517578125
2016-05-05,1268.954833984375
2016-05-06,1288.68505859375
2016-05-09,1306.3380126953125
2016-05-10,1310.49169921875
2016-05-11,1299.0692138671875
2016-05-12,1319.8375244140625
