Date,PNR
2015-08-03,34.10439682006836
2015-08-04,33.94013977050781
2015-08-05,34.47257614135742
2015-08-06,34.534881591796875
2015-08-07,34.63116455078125
2015-08-10,35.3278694152832
2015-08-11,34.60851287841797
2015-08-12,34.71612548828125
2015-08-13,34.6651611328125
2015-08-14,34.93137741088867
2015-08-17,35.45814895629883
2015-08-18,35.27123260498047
2015-08-19,34.415931701660156
2015-08-20,33.36238098144531
2015-08-21,32.303165435791016
2015-08-24,30.955074310302734
2015-08-25,30.014808654785156
2015-08-26,30.739830017089844
2015-08-27,31.578149795532227
2015-08-28,31.702762603759766
2015-08-31,31.317584991455078
2015-09-01,30.298023223876953
2015-09-02,30.501930236816406
2015-09-03,30.717180252075195
2015-09-04,30.12809944152832
2015-09-08,30.915428161621094
2015-09-09,30.632219314575195
2015-09-10,30.705856323242188
2015-09-11,30.819135665893555
2015-09-14,30.298023223876953
2015-09-15,30.609560012817383
2015-09-16,31.085357666015625
2015-09-17,30.139415740966797
2015-09-18,28.887622833251953
2015-09-21,28.581768035888672
2015-09-22,29.040565490722656
2015-09-23,28.64973258972168
2015-09-24,28.92728614807129
2015-09-25,29.442729949951172
2015-09-28,29.040565490722656
2015-09-29,28.76868438720703
2015-09-30,28.910287857055664
2015-10-01,28.066314697265625
2015-10-02,29.085874557495117
2015-10-05,30.87576675415039
2015-10-06,30.790817260742188
2015-10-07,31.26094627380371
2015-10-08,32.58638000488281
2015-10-09,32.37113952636719
2015-10-12,32.21821594238281
2015-10-13,31.884017944335938
2015-10-14,31.425203323364258
2015-10-15,32.08793258666992
2015-10-16,31.476181030273438
2015-10-19,31.272279739379883
2015-10-20,30.802146911621094
2015-10-21,30.745168685913086
2015-10-22,31.719478607177734
2015-10-23,31.787864685058594
2015-10-26,31.3491153717041
2015-10-27,31.11553192138672
2015-10-28,31.25227928161621
2015-10-29,31.531461715698242
2015-10-30,31.861928939819336
2015-11-02,32.39752960205078
2015-11-03,33.309165954589844
2015-11-04,33.42879867553711
2015-11-05,33.84473419189453
2015-11-06,32.62543487548828
2015-11-09,32.084129333496094
2015-11-10,32.46589279174805
2015-11-11,32.32914733886719
2015-11-12,31.024356842041016
2015-11-13,31.269357681274414
2015-11-16,31.651105880737305
2015-11-17,31.280752182006836
2015-11-18,32.049957275390625
2015-11-19,32.34623718261719
2015-11-20,32.294952392578125
2015-11-23,32.15821075439453
2015-11-24,32.21519470214844
2015-11-25,32.01006317138672
2015-11-27,32.12971878051758
2015-11-30,32.30635070800781
2015-12-01,32.52287292480469
2015-12-02,31.9132080078125
2015-12-03,31.810646057128906
2015-12-04,31.810646057128906
2015-12-07,31.326330184936523
2015-12-08,29.981658935546875
2015-12-09,29.913291931152344
2015-12-10,30.352014541625977
2015-12-11,29.474565505981445
2015-12-14,29.770858764648438
2015-12-15,28.96745491027832
2015-12-16,29.503049850463867
2015-12-17,28.24954605102539
2015-12-18,27.46894645690918
2015-12-21,27.713947296142578
2015-12-22,28.06720733642578
2015-12-23,28.7110595703125
2015-12-24,28.64838409423828
2015-12-28,28.260934829711914
2015-12-29,28.762344360351562
2015-12-30,28.48884391784668
2015-12-31,28.22105598449707
2016-01-04,28.078609466552734
2016-01-05,27.83930206298828
2016-01-06,27.201154708862305
2016-01-07,26.48323631286621
2016-01-08,26.004621505737305
2016-01-11,25.92485237121582
2016-01-12,26.278112411499023
2016-01-13,25.679841995239258
2016-01-14,25.93054962158203
2016-01-15,25.423452377319336
2016-01-19,25.11577033996582
2016-01-20,24.494709014892578
2016-01-21,24.7169246673584
2016-01-22,25.12716293334961
2016-01-25,24.83087730407715
2016-01-26,25.816598892211914
2016-01-27,25.89694595336914
2016-01-28,26.09783935546875
2016-01-29,27.044864654541016
2016-02-01,26.76362419128418
2016-02-02,25.598493576049805
2016-02-03,26.086355209350586
2016-02-04,26.8669376373291
2016-02-05,26.545516967773438
2016-02-08,26.189664840698242
2016-02-09,25.942867279052734
2016-02-10,24.61128044128418
2016-02-11,24.726072311401367
2016-02-12,25.483699798583984
2016-02-16,26.252796173095703
2016-02-17,27.257225036621094
2016-02-18,27.70491600036621
2016-02-19,27.55569076538086
2016-02-22,28.198518753051758
2016-02-23,27.400714874267578
2016-02-24,27.48106575012207
2016-02-25,27.492551803588867
2016-02-26,27.859882354736328
2016-02-29,27.38349151611328
2016-03-01,28.215736389160156
2016-03-02,29.047975540161133
2016-03-03,29.20293617248535
2016-03-04,29.007795333862305
2016-03-07,29.776893615722656
2016-03-08,28.65767478942871
2016-03-09,28.812644958496094
2016-03-10,28.399398803710938
2016-03-11,28.927440643310547
2016-03-14,29.030752182006836
2016-03-15,28.841354370117188
2016-03-16,29.702285766601562
2016-03-17,30.88463592529297
2016-03-18,30.878896713256836
2016-03-21,31.028121948242188
2016-03-22,30.964994430541992
2016-03-23,30.38529396057129
2016-03-24,30.218843460083008
2016-03-28,30.218843460083008
2016-03-29,30.65505599975586
2016-03-30,31.033870697021484
2016-03-31,31.142908096313477
2016-04-01,30.735403060913086
2016-04-04,30.494342803955078
2016-04-05,29.478437423706055
2016-04-06,29.3751277923584
2016-04-07,29.099628448486328
2016-04-08,29.564529418945312
2016-04-11,29.67359161376953
2016-04-12,30.482872009277344
2016-04-13,31.579126358032227
2016-04-14,31.74556541442871
2016-04-15,31.630773544311523
2016-04-18,31.665224075317383
2016-04-19,32.29083251953125
2016-04-20,32.5564079284668
2016-04-21,32.58526611328125
2016-04-22,33.070255279541016
2016-04-25,32.40630340576172
2016-04-26,33.65913772583008
2016-04-27,34.60598373413086
