Date,PEP
2015-08-03,72.43405151367188
2015-08-04,72.7016372680664
2015-08-05,73.7273941040039
2015-08-06,73.6976547241211
2015-08-07,73.66048431396484
2015-08-10,73.65304565429688
2015-08-11,73.3037109375
2015-08-12,73.12531280517578
2015-08-13,73.43006134033203
2015-08-14,73.75709533691406
2015-08-17,74.22538757324219
2015-08-18,74.15850067138672
2015-08-19,73.57870483398438
2015-08-20,72.82798767089844
2015-08-21,71.54212951660156
2015-08-24,68.2567367553711
2015-08-25,66.62893676757812
2015-08-26,68.747314453125
2015-08-27,69.57239532470703
2015-08-28,69.52032470703125
2015-08-31,69.07437133789062
2015-09-01,67.88507843017578
2015-09-02,68.64389038085938
2015-09-03,69.01091766357422
2015-09-04,68.10455322265625
2015-09-08,69.19070434570312
2015-09-09,68.03713989257812
2015-09-10,68.20943450927734
2015-09-11,68.62892150878906
2015-09-14,68.31430053710938
2015-09-15,68.95848846435547
2015-09-16,69.71505737304688
2015-09-17,69.93976593017578
2015-09-18,69.70005798339844
2015-09-21,70.19445037841797
2015-09-22,69.19070434570312
2015-09-23,69.21317291259766
2015-09-24,69.26561737060547
2015-09-25,70.01466369628906
2015-09-28,69.26561737060547
2015-09-29,69.69257354736328
2015-09-30,70.63640594482422
2015-10-01,70.29930114746094
2015-10-02,70.53150177001953
2015-10-05,71.76747131347656
2015-10-06,72.7112808227539
2015-10-07,73.79742431640625
2015-10-08,74.134521484375
2015-10-09,74.509033203125
2015-10-12,74.2618408203125
2015-10-13,73.34801483154297
2015-10-14,73.02588653564453
2015-10-15,73.61764526367188
2015-10-16,74.68132019042969
2015-10-19,75.04086303710938
2015-10-20,75.10826873779297
2015-10-21,75.09329223632812
2015-10-22,77.213134765625
2015-10-23,76.72624206542969
2015-10-26,76.80864715576172
2015-10-27,77.10826110839844
2015-10-28,76.9584732055664
2015-10-29,77.00340270996094
2015-10-30,76.54646301269531
2015-11-02,75.95472717285156
2015-11-03,75.59517669677734
2015-11-04,75.37043762207031
2015-11-05,75.36294555664062
2015-11-06,74.69629669189453
2015-11-09,74.06708526611328
2015-11-10,74.02962493896484
2015-11-11,74.47907257080078
2015-11-12,73.68506622314453
2015-11-13,73.43785858154297
2015-11-16,74.57644653320312
2015-11-17,74.02962493896484
2015-11-18,75.10826873779297
2015-11-19,75.6026611328125
2015-11-20,74.98095703125
2015-11-23,75.54273986816406
2015-11-24,75.37792205810547
2015-11-25,75.28056335449219
2015-11-27,75.46035766601562
2015-11-30,75.02588653564453
2015-12-01,75.70003509521484
2015-12-02,75.03852081298828
2015-12-03,74.74430847167969
2015-12-04,76.23030853271484
2015-12-07,75.93612670898438
2015-12-08,75.55897521972656
2015-12-09,74.77449035644531
2015-12-10,74.60101318359375
2015-12-11,73.75618743896484
2015-12-14,73.8844223022461
2015-12-15,74.97061157226562
2015-12-16,76.24540710449219
2015-12-17,75.58161926269531
2015-12-18,73.8467025756836
