Date,HII
2015-08-03,95.83605194091797
2015-08-04,96.01821899414062
2015-08-05,96.98710632324219
2015-08-06,101.2435531616211
2015-08-07,95.90231323242188
2015-08-10,99.82750701904297
2015-08-11,98.52741241455078
2015-08-12,97.45913696289062
2015-08-13,97.03679656982422
2015-08-14,98.70956420898438
2015-08-17,99.47969055175781
2015-08-18,99.81095123291016
2015-08-19,97.97254180908203
2015-08-20,93.39315032958984
2015-08-21,91.14900970458984
2015-08-24,88.90486145019531
2015-08-25,86.84288787841797
2015-08-26,90.93272399902344
2015-08-27,94.04168701171875
2015-08-28,94.40744018554688
2015-08-31,93.5844955444336
2015-09-01,89.4031982421875
2015-09-02,94.98102569580078
2015-09-03,94.756591796875
2015-09-04,93.60942077636719
2015-09-08,96.42742156982422
2015-09-09,95.42157745361328
2015-09-10,95.787353515625
2015-09-11,96.04505157470703
2015-09-14,95.62940216064453
2015-09-15,96.67682647705078
2015-09-16,96.75994873046875
2015-09-17,95.82891082763672
2015-09-18,92.76984405517578
2015-09-21,92.12977600097656
2015-09-22,90.61685180664062
2015-09-23,89.1455078125
2015-09-24,89.01249694824219
2015-09-25,87.88195037841797
2015-09-28,86.43558502197266
2015-09-29,87.57441711425781
2015-09-30,89.07067108154297
2015-10-01,87.90691375732422
2015-10-02,88.89613342285156
2015-10-05,90.02665710449219
2015-10-06,90.02665710449219
2015-10-07,91.62266540527344
2015-10-08,92.66178131103516
2015-10-09,94.35758209228516
2015-10-12,93.01093292236328
2015-10-13,91.0407943725586
2015-10-14,90.28433990478516
2015-10-15,90.02665710449219
2015-10-16,88.31421661376953
2015-10-19,86.97587585449219
2015-10-20,87.4663314819336
2015-10-21,87.48297119140625
2015-10-22,88.67169189453125
2015-10-23,90.38410186767578
2015-10-26,89.47802734375
2015-10-27,91.5478744506836
2015-10-28,93.69254302978516
2015-10-29,94.61524200439453
2015-10-30,99.70265197753906
2015-11-02,100.65031433105469
2015-11-03,101.10747528076172
2015-11-04,100.06009674072266
2015-11-05,108.17330169677734
2015-11-06,107.23395538330078
2015-11-09,106.0535659790039
2015-11-10,106.53569793701172
2015-11-11,108.54737091064453
2015-11-12,106.3943862915039
2015-11-13,105.9787368774414
2015-11-16,109.27056884765625
