Date,STE-R.ST
2015-08-24,63.11551284790039
2015-08-25,63.990909576416016
2015-08-26,64.86630249023438
2015-08-27,66.96721649169922
2015-08-28,66.92345428466797
2015-08-31,65.96053314208984
2015-09-01,64.12220764160156
2015-09-02,63.2468147277832
2015-09-03,65.04137420654297
2015-09-04,64.03468322753906
2015-09-07,64.69120788574219
2015-09-08,65.65412902832031
2015-09-09,66.92345428466797
2015-09-10,65.9167709350586
2015-09-11,62.80912780761719
2015-09-14,61.05834197998047
2015-09-15,61.32097625732422
2015-09-16,60.358036041259766
2015-09-17,59.70149612426758
2015-09-18,57.46925735473633
2015-09-21,58.34465026855469
2015-09-22,56.33124923706055
2015-09-23,56.76896286010742
2015-09-24,55.71848678588867
2015-09-25,57.46925735473633
2015-09-28,55.981101989746094
2015-09-29,55.45587921142578
2015-09-30,55.4996337890625
2015-10-01,55.5871696472168
2015-10-02,56.15618133544922
2015-10-05,59.52642059326172
2015-10-06,60.358036041259766
2015-10-07,60.795738220214844
2015-10-08,61.67112731933594
2015-10-09,63.37812423706055
2015-10-12,67.36114501953125
2015-10-13,67.3173828125
2015-10-14,67.49246215820312
2015-10-15,69.33077239990234
2015-10-16,68.14899444580078
2015-10-19,69.50585174560547
2015-10-20,70.95024871826172
2015-10-21,70.42500305175781
2015-10-22,71.51923370361328
2015-10-23,71.3003921508789
2015-10-26,72.96363830566406
2015-10-27,70.86270904541016
2015-10-28,68.54293060302734
2015-10-29,69.11194610595703
2015-10-30,69.28700256347656
2015-11-02,71.2128677368164
2015-11-03,72.3946304321289
2015-11-04,73.00740814208984
2015-11-05,72.43840789794922
2015-11-06,74.36425018310547
2015-11-09,74.23294830322266
2015-11-10,74.32049560546875
2015-11-11,76.90288543701172
2015-11-12,74.97702026367188
2015-11-13,74.49556732177734
2015-11-16,74.5831069946289
2015-11-17,76.64027404785156
2015-11-18,77.07797241210938
2015-11-19,75.19587707519531
2015-11-20,74.49556732177734
2015-11-23,75.32718658447266
2015-11-24,73.79525756835938
2015-11-25,73.3575668334961
2015-11-26,74.27672576904297
2015-11-27,74.670654296875
2015-11-30,75.10834503173828
2015-12-01,75.06458282470703
2015-12-02,74.32049560546875
2015-12-03,71.25664520263672
2015-12-04,70.95024871826172
2015-12-07,71.47547149658203
2015-12-08,70.20616149902344
2015-12-09,68.06145477294922
2015-12-10,71.03778839111328
2015-12-11,67.5362319946289
2015-12-14,66.31068420410156
2015-12-15,68.84931182861328
2015-12-16,68.49916076660156
2015-12-17,68.49916076660156
2015-12-18,69.0243911743164
2015-12-21,67.88639068603516
2015-12-22,67.22985076904297
2015-12-23,68.23654174804688
2015-12-28,67.01099395751953
2015-12-29,67.01099395751953
2015-12-30,67.22985076904297
2016-01-04,64.99761199951172
2016-01-05,65.65412902832031
2016-01-07,63.071746826171875
2016-01-08,63.421897888183594
2016-01-11,64.42860412597656
2016-01-12,65.39153289794922
2016-01-13,65.87298583984375
2016-01-14,61.05834197998047
2016-01-15,58.257118225097656
2016-01-18,58.95741653442383
2016-01-19,59.570186614990234
2016-01-20,58.475955963134766
2016-01-21,59.08872985839844
2016-01-22,60.53312683105469
2016-01-25,59.87656784057617
2016-01-26,61.01457595825195
2016-01-27,60.70820999145508
2016-01-28,60.18296432495117
2016-01-29,60.75196075439453
2016-02-01,60.795738220214844
2016-02-02,61.88997268676758
2016-02-03,61.36472702026367
2016-02-04,57.644344329833984
2016-02-05,58.432193756103516
2016-02-08,55.80601501464844
2016-02-09,55.324554443359375
2016-02-10,57.29417419433594
2016-02-11,55.324554443359375
2016-02-12,56.46257019042969
2016-02-15,59.74526596069336
2016-02-16,59.35135269165039
2016-02-17,62.458980560302734
2016-02-18,62.677818298339844
2016-02-19,62.94044494628906
