Date,LTIM.NS
2016-07-21,611.5755004882812
2016-07-22,613.679443359375
2016-07-25,607.586669921875
2016-07-26,606.7974853515625
2016-07-27,604.824951171875
2016-07-28,596.05810546875
2016-07-29,606.490478515625
2016-08-01,602.1947631835938
2016-08-02,599.3456420898438
2016-08-03,596.1456298828125
2016-08-04,597.0662231445312
2016-08-05,611.6192626953125
2016-08-08,614.4683837890625
2016-08-09,612.1891479492188
2016-08-10,605.1317749023438
2016-08-11,599.6963500976562
2016-08-12,600.7044677734375
2016-08-16,597.8552856445312
2016-08-17,595.2252807617188
2016-08-18,591.718505859375
2016-08-19,582.644775390625
2016-08-22,575.1490478515625
2016-08-23,566.294677734375
2016-08-24,560.9467163085938
2016-08-25,573.2642822265625
2016-08-26,567.9165649414062
2016-08-29,561.8672485351562
2016-08-30,571.3795166015625
2016-08-31,572.3876342773438
2016-09-01,565.9878540039062
2016-09-02,564.541259765625
2016-09-06,571.2039794921875
2016-09-07,574.4039306640625
2016-09-08,570.108154296875
2016-09-09,563.7522583007812
2016-09-12,560.8592529296875
2016-09-14,558.404541015625
2016-09-15,557.2647705078125
2016-09-16,556.69482421875
2016-09-19,561.34130859375
2016-09-20,560.2017211914062
2016-09-21,560.508544921875
2016-09-22,559.76318359375
2016-09-23,559.8071899414062
2016-09-26,559.5003662109375
2016-09-27,559.105712890625
2016-09-28,559.6317138671875
2016-09-29,538.8543701171875
2016-09-30,541.7474365234375
2016-10-03,546.087158203125
2016-10-04,542.0103759765625
2016-10-05,539.6434326171875
2016-10-06,538.9420776367188
2016-10-07,536.8379516601562
2016-10-10,535.91748046875
2016-10-13,530.4381713867188
2016-10-14,533.9448852539062
2016-10-17,542.4925537109375
2016-10-18,544.9912719726562
2016-10-19,545.56103515625
2016-10-20,547.2266845703125
2016-10-21,546.7007446289062
2016-10-24,549.1992797851562
2016-10-25,569.1878051757812
2016-10-26,570.0643310546875
2016-10-27,567.2589721679688
2016-10-28,567.7850341796875
2016-11-01,565.5494995117188
2016-11-02,559.3688354492188
2016-11-03,554.3717041015625
2016-11-04,548.7609252929688
2016-11-07,550.1197509765625
2016-11-08,553.4512939453125
2016-11-09,550.3388671875
2016-11-10,553.4512939453125
2016-11-11,543.6761474609375
2016-11-15,529.2108154296875
2016-11-16,535.3477783203125
2016-11-17,539.913818359375
2016-11-18,539.1158447265625
2016-11-21,532.421875
2016-11-22,532.998046875
2016-11-23,536.5889892578125
2016-11-24,536.5889892578125
2016-11-25,549.7996826171875
2016-11-28,550.9522705078125
2016-11-29,560.2620239257812
2016-11-30,570.8129272460938
2016-12-01,576.3099365234375
2016-12-02,576.3099365234375
2016-12-05,573.871826171875
2016-12-06,572.763427734375
2016-12-07,568.0643920898438
2016-12-08,570.2366333007812
2016-12-09,580.6101684570312
2016-12-12,579.3246459960938
2016-12-13,577.4183349609375
2016-12-14,589.21044921875
2016-12-15,598.564453125
2016-12-16,602.1996459960938
2016-12-19,602.9532470703125
2016-12-20,603.1747436523438
2016-12-21,603.4408569335938
2016-12-22,602.99755859375
2016-12-23,600.781005859375
2016-12-26,594.0426025390625
2016-12-27,596.8798217773438
2016-12-28,603.1304321289062
2016-12-29,602.908935546875
2016-12-30,602.9532470703125
2017-01-02,603.1747436523438
2017-01-03,602.99755859375
2017-01-04,618.8682250976562
2017-01-05,613.19384765625
2017-01-06,602.9532470703125
2017-01-09,603.5738525390625
2017-01-10,602.9532470703125
2017-01-11,602.908935546875
2017-01-12,602.99755859375
2017-01-13,602.908935546875
2017-01-16,602.99755859375
2017-01-17,603.3078002929688
2017-01-18,612.3515014648438
2017-01-19,607.5193481445312
2017-01-20,601.2241821289062
2017-01-23,589.7868041992188
2017-01-24,602.9532470703125
2017-01-25,608.8494262695312
2017-01-27,609.4257202148438
2017-01-30,600.8253173828125
2017-01-31,592.934326171875
2017-02-01,590.3629760742188
2017-02-02,606.9873657226562
2017-02-03,610.489501953125
2017-02-06,611.7308349609375
2017-02-07,609.647216796875
2017-02-08,611.7752685546875
2017-02-09,611.8195190429688
2017-02-10,616.1640014648438
2017-02-13,612.218505859375
2017-02-14,611.9969482421875
2017-02-15,611.7752685546875
2017-02-16,612.75048828125
2017-02-17,612.5731811523438
2017-02-20,621.4395141601562
2017-02-21,631.01513671875
2017-02-22,632.3893432617188
2017-02-23,631.2811889648438
2017-02-27,630.4387817382812
2017-02-28,630.7491455078125
2017-03-01,629.9955444335938
2017-03-02,621.0848388671875
2017-03-03,620.6857299804688
2017-03-06,621.5725708007812
2017-03-07,622.0155639648438
2017-03-08,622.1043701171875
2017-03-09,622.1043701171875
2017-03-10,622.5478515625
2017-03-14,626.3159790039062
2017-03-15,629.6851806640625
2017-03-16,631.7687377929688
2017-03-17,630.5717163085938
2017-03-20,623.1241455078125
2017-03-21,625.8727416992188
2017-03-22,614.5237426757812
2017-03-23,606.6328125
2017-03-24,612.661865234375
2017-03-27,610.0463256835938
2017-03-28,612.4845581054688
2017-03-29,635.2266845703125
2017-03-30,635.6698608398438
2017-03-31,633.8080444335938
2017-04-03,640.3690185546875
2017-04-05,636.6895141601562
2017-04-06,635.4927368164062
2017-04-07,630.2615356445312
2017-04-10,640.6793212890625
2017-04-11,636.8668823242188
2017-04-12,632.611083984375
2017-04-13,636.2461547851562
2017-04-17,628.7984008789062
2017-04-18,627.3355102539062
2017-04-19,629.3305053710938
2017-04-20,637.3544311523438
2017-04-21,643.1619262695312
2017-04-24,642.8073120117188
2017-04-25,641.3887329101562
2017-04-26,635.581298828125
2017-04-27,632.3006591796875
