Date,SCHNEIDER.NS
2015-08-21,199.10000610351562
2015-08-24,184.85000610351562
2015-08-25,178.6999969482422
2015-08-26,175.89999389648438
2015-08-27,187.60000610351562
2015-08-28,184.85000610351562
2015-08-31,184.14999389648438
2015-09-01,177.39999389648438
2015-09-02,171.85000610351562
2015-09-03,172.5500030517578
2015-09-04,167.5
2015-09-07,161.64999389648438
2015-09-08,164.39999389648438
2015-09-09,168.35000610351562
2015-09-10,166.6999969482422
2015-09-11,166.4499969482422
2015-09-14,168.6999969482422
2015-09-15,166.39999389648438
2015-09-16,166.0500030517578
2015-09-18,165.85000610351562
2015-09-21,168.0500030517578
2015-09-22,165.6999969482422
2015-09-23,166.1999969482422
2015-09-24,165.10000610351562
2015-09-28,162.8000030517578
2015-09-29,163.25
2015-09-30,166.75
2015-10-01,167.1999969482422
2015-10-05,168.10000610351562
2015-10-06,168.14999389648438
2015-10-07,168.85000610351562
2015-10-08,166.4499969482422
2015-10-09,169.6999969482422
2015-10-12,168.35000610351562
2015-10-13,166.64999389648438
2015-10-14,165.5500030517578
2015-10-15,166.5
2015-10-16,166.9499969482422
2015-10-19,168.64999389648438
2015-10-20,176.64999389648438
2015-10-21,174.1999969482422
2015-10-23,170.5
2015-10-26,166.25
2015-10-27,167.0500030517578
2015-10-28,167.5
2015-10-29,166.6999969482422
2015-10-30,167.3000030517578
2015-11-02,166.9499969482422
2015-11-03,167.5
2015-11-04,169.5
2015-11-05,168.39999389648438
2015-11-06,167.0500030517578
2015-11-09,163.5500030517578
2015-11-10,164.35000610351562
2015-11-13,171.0500030517578
2015-11-16,174.1999969482422
2015-11-17,172.35000610351562
2015-11-18,170.5500030517578
2015-11-19,170.5500030517578
2015-11-20,171.14999389648438
2015-11-23,170.25
2015-11-24,168.35000610351562
2015-11-26,168.6999969482422
2015-11-27,168.35000610351562
2015-11-30,171.0
2015-12-01,174.39999389648438
2015-12-02,171.5
2015-12-03,170.5500030517578
2015-12-04,168.9499969482422
2015-12-07,166.25
2015-12-08,162.1999969482422
2015-12-09,155.5
2015-12-10,158.5500030517578
2015-12-11,153.4499969482422
2015-12-14,161.5500030517578
2015-12-15,165.5
2015-12-16,164.4499969482422
2015-12-17,166.60000610351562
2015-12-18,163.89999389648438
2015-12-21,163.0
2015-12-22,162.9499969482422
2015-12-23,165.0
2015-12-24,163.35000610351562
2015-12-28,163.4499969482422
2015-12-29,164.64999389648438
2015-12-30,165.5500030517578
2015-12-31,164.3000030517578
2016-01-01,171.0
2016-01-04,165.75
2016-01-05,170.25
2016-01-06,173.64999389648438
2016-01-07,167.25
2016-01-08,177.9499969482422
2016-01-11,182.8000030517578
2016-01-12,173.25
2016-01-13,169.6999969482422
2016-01-14,168.0500030517578
2016-01-15,156.9499969482422
2016-01-18,147.0
2016-01-19,149.8000030517578
2016-01-20,144.64999389648438
2016-01-21,146.3000030517578
2016-01-22,151.60000610351562
2016-01-25,150.35000610351562
2016-01-27,152.0
2016-01-28,158.25
2016-01-29,160.3000030517578
2016-02-01,158.1999969482422
2016-02-02,153.4499969482422
2016-02-03,148.64999389648438
2016-02-04,147.0
2016-02-05,155.5500030517578
2016-02-08,149.3000030517578
2016-02-09,148.75
2016-02-10,145.6999969482422
2016-02-11,138.5
2016-02-12,136.5
2016-02-15,142.14999389648438
2016-02-16,139.39999389648438
2016-02-17,137.35000610351562
2016-02-18,143.0
2016-02-19,146.5
2016-02-22,145.5
2016-02-23,139.0500030517578
2016-02-24,138.35000610351562
2016-02-25,138.35000610351562
2016-02-26,136.4499969482422
2016-02-29,132.4499969482422
2016-03-01,142.0500030517578
2016-03-02,144.0500030517578
2016-03-03,149.8000030517578
2016-03-04,148.85000610351562
2016-03-08,149.0
2016-03-09,147.3000030517578
2016-03-10,146.25
2016-03-11,144.0500030517578
2016-03-14,141.6999969482422
2016-03-15,143.0500030517578
2016-03-16,146.75
2016-03-17,145.10000610351562
2016-03-18,143.89999389648438
2016-03-21,153.89999389648438
2016-03-22,151.1999969482422
2016-03-23,148.85000610351562
2016-03-28,144.39999389648438
2016-03-29,142.9499969482422
2016-03-30,144.64999389648438
2016-03-31,146.0500030517578
2016-04-01,143.9499969482422
2016-04-04,145.89999389648438
2016-04-05,143.5500030517578
2016-04-06,141.3000030517578
2016-04-07,140.5
2016-04-08,139.5
2016-04-11,139.3000030517578
2016-04-12,144.1999969482422
2016-04-13,147.9499969482422
2016-04-18,149.75
2016-04-20,148.60000610351562
2016-04-21,146.60000610351562
2016-04-22,145.35000610351562
2016-04-25,142.85000610351562
2016-04-26,143.89999389648438
2016-04-27,143.3000030517578
2016-04-28,141.75
2016-04-29,140.4499969482422
2016-05-02,138.39999389648438
2016-05-03,138.25
2016-05-04,136.0500030517578
2016-05-05,138.0500030517578
2016-05-06,139.8000030517578
2016-05-09,139.85000610351562
2016-05-10,137.64999389648438
2016-05-11,135.9499969482422
2016-05-12,135.3000030517578
2016-05-13,136.35000610351562
2016-05-16,134.9499969482422
2016-05-17,134.5
2016-05-18,134.10000610351562
2016-05-19,136.0500030517578
2016-05-20,133.6999969482422
2016-05-23,131.0500030517578
2016-05-24,129.64999389648438
2016-05-25,132.60000610351562
2016-05-26,129.5
2016-05-27,131.10000610351562
2016-05-30,131.64999389648438
2016-05-31,129.89999389648438
2016-06-01,135.39999389648438
2016-06-02,137.5500030517578
2016-06-03,137.85000610351562
2016-06-06,137.5
2016-06-07,135.5500030517578
2016-06-08,137.75
2016-06-09,143.9499969482422
2016-06-10,141.89999389648438
2016-06-13,138.5500030517578
