Date,RIPLEY.SN
2015-08-24,150.1283721923828
2015-08-25,151.6569366455078
2015-08-26,150.6811065673828
2015-08-27,156.938720703125
2015-08-28,156.84317016601562
2015-08-31,157.06837463378906
2015-09-01,156.53610229492188
2015-09-02,161.07406616210938
2015-09-03,167.15426635742188
2015-09-04,162.41156005859375
2015-09-07,160.0914306640625
2015-09-08,162.39793395996094
2015-09-09,161.7291717529297
2015-09-10,161.0331268310547
2015-09-11,162.53440856933594
2015-09-14,161.84519958496094
2015-09-15,165.34591674804688
2015-09-16,167.18836975097656
2015-09-17,166.430908203125
2015-09-21,165.3595733642578
2015-09-22,162.41156005859375
2015-09-23,163.639892578125
2015-09-24,160.36436462402344
2015-09-25,160.36436462402344
2015-09-28,158.57647705078125
2015-09-29,156.95236206054688
2015-09-30,156.9591827392578
2015-10-01,156.26995849609375
2015-10-02,155.9151153564453
2015-10-05,156.95236206054688
2015-10-06,157.634765625
2015-10-07,159.78431701660156
2015-10-08,159.17698669433594
2015-10-09,161.9270477294922
2015-10-13,162.82101440429688
2015-10-14,157.8804473876953
2015-10-15,159.68878173828125
2015-10-16,159.5045623779297
2015-10-19,157.7098388671875
2015-10-20,157.97596740722656
2015-10-21,157.06837463378906
2015-10-22,156.95236206054688
2015-10-23,156.74765014648438
2015-10-26,156.28363037109375
2015-10-27,155.5875701904297
2015-10-28,156.0311279296875
2015-10-29,156.17442321777344
2015-10-30,156.26315307617188
2015-11-02,155.62852478027344
2015-11-03,155.5875701904297
2015-11-04,155.5875701904297
2015-11-05,155.7103729248047
2015-11-06,154.56394958496094
2015-11-09,154.56394958496094
2015-11-10,153.19915771484375
2015-11-11,153.867919921875
2015-11-12,154.13404846191406
2015-11-13,152.85797119140625
2015-11-16,150.8926544189453
2015-11-17,148.8522491455078
2015-11-18,200.54420471191406
2015-11-19,188.80006408691406
2015-11-20,196.92745971679688
2015-11-23,186.3160858154297
2015-11-24,186.05677795410156
2015-11-25,181.0138702392578
2015-11-26,179.7445831298828
2015-11-27,181.35504150390625
2015-11-30,178.26376342773438
2015-12-01,173.10479736328125
2015-12-02,170.59356689453125
2015-12-03,167.95266723632812
2015-12-04,177.3834686279297
2015-12-07,187.6604461669922
2015-12-09,185.7974853515625
2015-12-10,187.6399383544922
2015-12-11,190.3627166748047
2015-12-14,189.9738006591797
2015-12-15,187.09405517578125
2015-12-16,186.70509338378906
2015-12-17,186.63002014160156
