Date,ULVR.L
2015-08-24,2515.561279296875
2015-08-25,2576.357666015625
2015-08-26,2535.494873046875
2015-08-27,2604.263671875
2015-08-28,2614.22998046875
2015-09-01,2554.430908203125
2015-09-02,2569.380126953125
2015-09-03,2613.234130859375
2015-09-04,2562.4033203125
2015-09-07,2581.340576171875
2015-09-08,2589.313720703125
2015-09-09,2617.220458984375
2015-09-10,2558.418212890625
2015-09-11,2547.454345703125
2015-09-14,2540.477294921875
2015-09-15,2570.377197265625
2015-09-16,2630.177490234375
2015-09-17,2627.187255859375
2015-09-18,2607.25439453125
2015-09-21,2619.2138671875
2015-09-22,2542.4716796875
2015-09-23,2572.370361328125
2015-09-24,2529.514404296875
2015-09-25,2641.14013671875
2015-09-28,2599.281005859375
2015-09-29,2594.297607421875
2015-09-30,2677.0185546875
2015-10-01,2673.033203125
2015-10-02,2692.9658203125
2015-10-05,2768.711669921875
2015-10-06,2778.6796875
2015-10-07,2742.799072265625
2015-10-08,2761.7353515625
2015-10-09,2776.684326171875
2015-10-12,2807.581787109375
2015-10-13,2813.5615234375
2015-10-14,2780.67138671875
2015-10-15,2880.337646484375
2015-10-16,2907.246337890625
2015-10-19,2911.234619140625
2015-10-20,2910.236572265625
2015-10-21,2926.18310546875
2015-10-22,2937.1474609375
2015-10-23,2938.143798828125
2015-10-26,2932.163818359375
2015-10-27,2930.170654296875
2015-10-28,2950.103759765625
2015-10-29,2926.40673828125
2015-10-30,2883.547607421875
2015-11-02,2865.6064453125
2015-11-03,2860.623046875
2015-11-04,2863.61328125
2015-11-05,2870.590087890625
2015-11-06,2848.661376953125
2015-11-09,2807.796142578125
2015-11-10,2799.8212890625
2015-11-11,2833.710693359375
2015-11-12,2788.858154296875
2015-11-13,2745.001708984375
2015-11-16,2748.988525390625
2015-11-17,2810.78662109375
2015-11-18,2791.848876953125
2015-11-19,2810.78662109375
2015-11-20,2841.684814453125
2015-11-23,2841.684814453125
2015-11-24,2823.744384765625
2015-11-25,2859.62548828125
2015-11-26,2871.586669921875
2015-11-27,2866.602783203125
2015-11-30,2824.739990234375
2015-12-01,2815.77001953125
2015-12-02,2860.623046875
2015-12-03,2776.896240234375
2015-12-04,2783.87451171875
2015-12-07,2842.681396484375
2015-12-08,2812.779541015625
2015-12-09,2804.805908203125
2015-12-10,2782.876953125
2015-12-11,2738.024658203125
2015-12-14,2711.11279296875
2015-12-15,2789.85400390625
2015-12-16,2815.77001953125
2015-12-17,2848.661376953125
2015-12-18,2811.78271484375
2015-12-21,2786.36572265625
2015-12-22,2807.297607421875
2015-12-23,2873.580322265625
2015-12-24,2881.553466796875
2015-12-29,2931.390625
2015-12-30,2930.393798828125
2015-12-31,2916.937744140625
2016-01-04,2811.78271484375
2016-01-05,2841.18701171875
2016-01-06,2808.792236328125
2016-01-07,2782.876953125
2016-01-08,2769.42236328125
2016-01-11,2753.971923828125
2016-01-12,2818.26171875
2016-01-13,2851.153564453125
2016-01-14,2810.78662109375
2016-01-15,2789.35693359375
2016-01-18,2833.710693359375
2016-01-19,2924.413818359375
2016-01-20,2822.74609375
2016-01-21,2867.599609375
2016-01-22,2909.46240234375
2016-01-25,2940.8603515625
2016-01-26,2945.8427734375
2016-01-27,2995.181640625
2016-01-28,2956.806640625
2016-01-29,3074.92041015625
2016-02-01,3061.463623046875
2016-02-02,3067.943359375
2016-02-03,3010.13232421875
2016-02-04,2944.074951171875
2016-02-05,2958.029541015625
2016-02-08,2930.11865234375
2016-02-09,2922.144775390625
2016-02-10,2931.115478515625
2016-02-11,2895.729248046875
2016-02-12,2935.10302734375
2016-02-15,3002.387451171875
2016-02-16,3005.37744140625
2016-02-17,3040.26513671875
2016-02-18,3015.843994140625
2016-02-19,3024.316650390625
2016-02-22,3072.163818359375
2016-02-23,3056.21435546875
2016-02-24,3028.304443359375
2016-02-25,3094.093994140625
2016-02-26,3087.1162109375
2016-02-29,3082.1318359375
2016-03-01,3138.45166015625
2016-03-02,3063.69091796875
2016-03-03,3047.742431640625
2016-03-04,3099.0771484375
2016-03-07,3077.148193359375
2016-03-08,3100.07470703125
2016-03-09,3109.544677734375
2016-03-10,3071.66650390625
2016-03-11,3086.119140625
2016-03-14,3100.5732421875
2016-03-15,3133.46826171875
2016-03-16,3114.527587890625
2016-03-17,3100.07470703125
2016-03-18,3088.611083984375
2016-03-21,3090.106689453125
2016-03-22,3092.598876953125
2016-03-23,3154.898681640625
2016-03-24,3130.975830078125
2016-03-29,3154.40087890625
2016-03-30,3179.8193359375
2016-03-31,3142.439453125
2016-04-01,3154.898681640625
2016-04-04,3167.857421875
2016-04-05,3178.822265625
2016-04-06,3231.65283203125
2016-04-07,3230.6572265625
2016-04-08,3228.16455078125
2016-04-11,3225.174072265625
2016-04-12,3229.160888671875
2016-04-13,3253.08544921875
2016-04-14,3274.017822265625
2016-04-15,3269.03369140625
2016-04-18,3268.53564453125
2016-04-19,3320.369140625
2016-04-20,3319.37255859375
2016-04-21,3258.566650390625
2016-04-22,3180.816162109375
2016-04-25,3176.8291015625
2016-04-26,3137.4541015625
2016-04-27,3121.00732421875
2016-04-28,3097.33740234375
2016-04-29,3045.001220703125
2016-05-03,3073.91015625
2016-05-04,3073.411376953125
2016-05-05,3085.873046875
2016-05-06,3097.83544921875
2016-05-09,3144.689697265625
2016-05-10,3147.181396484375
2016-05-11,3140.70166015625
2016-05-12,3129.237060546875
2016-05-13,3155.6552734375
2016-05-16,3153.16259765625
2016-05-17,3096.8388671875
2016-05-18,3080.39013671875
2016-05-19,3032.040771484375
2016-05-20,3071.418701171875
2016-05-23,3060.950439453125
2016-05-24,3103.81689453125
2016-05-25,3097.33740234375
2016-05-26,3117.77294921875
2016-05-27,3142.69580078125
2016-05-31,3136.2158203125
2016-06-01,3167.6181640625
2016-06-02,3154.160888671875
2016-06-03,3189.05126953125
2016-06-06,3218.45947265625
2016-06-07,3223.44384765625
2016-06-08,3222.945068359375
2016-06-09,3202.01025390625
2016-06-10,3154.657958984375
2016-06-13,3106.309326171875
2016-06-14,3058.9560546875
2016-06-15,3076.901123046875
2016-06-16,3096.339599609375
2016-06-17,3059.455322265625
2016-06-20,3106.807861328125
2016-06-21,3145.1884765625
2016-06-22,3149.17529296875
2016-06-23,3176.58984375
2016-06-24,3255.3447265625
2016-06-27,3300.20361328125
2016-06-28,3356.529052734375
2016-06-29,3438.771484375
2016-06-30,3567.869873046875
2016-07-01,3608.74169921875
2016-07-04,3585.31494140625
2016-07-05,3667.06005859375
2016-07-06,3615.72021484375
2016-07-07,3648.616943359375
2016-07-08,3640.143798828125
2016-07-11,3644.629638671875
2016-07-12,3574.846923828125
2016-07-13,3590.798095703125
2016-07-14,3544.9404296875
2016-07-15,3572.853271484375
2016-07-18,3566.373779296875
