Date,III.L
2015-08-24,469.4059143066406
2015-08-25,489.8407897949219
2015-08-26,477.8789978027344
2015-08-27,494.42620849609375
2015-08-28,490.23956298828125
2015-09-01,457.74298095703125
2015-09-02,471.2001647949219
2015-09-03,481.0688171386719
2015-09-04,470.8013916015625
2015-09-07,471.79827880859375
2015-09-08,479.6732482910156
2015-09-09,484.25860595703125
2015-09-10,477.4801940917969
2015-09-11,473.29351806640625
2015-09-14,468.0103454589844
2015-09-15,474.8884582519531
2015-09-16,477.1811828613281
2015-09-17,472.8947448730469
2015-09-18,465.31884765625
2015-09-21,469.8045959472656
2015-09-22,460.83319091796875
2015-09-23,472.3963317871094
2015-09-24,467.511962890625
2015-09-25,480.96905517578125
2015-09-28,469.70489501953125
2015-09-29,455.5498962402344
2015-09-30,464.82049560546875
2015-10-01,465.9170227050781
2015-10-02,470.20343017578125
2015-10-05,485.25537109375
2015-10-06,491.0370788574219
2015-10-07,487.1494140625
2015-10-08,480.96905517578125
2015-10-09,478.27764892578125
2015-10-12,473.8915710449219
2015-10-13,466.51507568359375
2015-10-14,459.03887939453125
2015-10-15,466.51507568359375
2015-10-16,475.68597412109375
2015-10-19,478.3773498535156
2015-10-20,484.95635986328125
2015-10-21,483.95947265625
2015-10-22,492.9310302734375
2015-10-23,501.9024353027344
2015-10-26,498.0148010253906
2015-10-27,496.6192626953125
2015-10-28,502.8992004394531
2015-10-29,500.4072265625
2015-10-30,499.4103698730469
2015-11-02,500.9056091308594
2015-11-03,499.9087829589844
2015-11-04,501.404052734375
2015-11-05,498.9120178222656
2015-11-06,494.42620849609375
2015-11-09,492.5323486328125
2015-11-10,487.4484558105469
2015-11-11,490.9373474121094
2015-11-12,476.882080078125
2015-11-13,471.79827880859375
2015-11-16,478.27764892578125
2015-11-17,490.23956298828125
2015-11-18,487.3487548828125
2015-11-19,495.1240539550781
2015-11-20,496.41986083984375
2015-11-23,493.9277648925781
2015-11-24,491.5354919433594
2015-11-25,497.3170471191406
2015-11-26,499.9087829589844
2015-11-27,499.4103698730469
2015-11-30,500.9056091308594
2015-12-01,499.9087829589844
2015-12-02,495.4231262207031
2015-12-03,475.5862121582031
2015-12-04,479.77288818359375
2015-12-07,486.55126953125
2015-12-08,481.5672302246094
2015-12-09,485.6541442871094
2015-12-10,474.5159912109375
2015-12-11,461.5565490722656
2015-12-14,449.99273681640625
2015-12-15,462.4537353515625
2015-12-16,465.14532470703125
2015-12-17,468.2357177734375
2015-12-18,465.24505615234375
2015-12-21,464.5471496582031
2015-12-22,468.13592529296875
2015-12-23,473.81817626953125
2015-12-24,478.3041687011719
2015-12-29,484.2854309082031
2015-12-30,481.69354248046875
2015-12-31,480.0986022949219
2016-01-04,464.1484680175781
2016-01-05,470.32904052734375
2016-01-06,464.1484680175781
2016-01-07,449.7933349609375
2016-01-08,447.60015869140625
2016-01-11,445.0082702636719
2016-01-12,451.1889953613281
2016-01-13,458.1671447753906
2016-01-14,446.80267333984375
2016-01-15,431.650146484375
2016-01-18,424.7716064453125
2016-01-19,430.0550537109375
2016-01-20,414.7030334472656
2016-01-21,425.4693908691406
2016-01-22,434.6407165527344
2016-01-25,434.241943359375
2016-01-26,433.7435302734375
2016-01-27,438.2294921875
2016-01-28,432.5472412109375
2016-01-29,440.6219482421875
2016-02-01,438.528564453125
2016-02-02,429.4569396972656
2016-02-03,416.8962097167969
2016-02-04,424.6718444824219
2016-02-05,420.68438720703125
2016-02-08,403.6376647949219
2016-02-09,390.77789306640625
2016-02-10,402.44140625
2016-02-11,388.5846862792969
2016-02-12,399.6501770019531
2016-02-15,411.0146179199219
2016-02-16,408.1236572265625
2016-02-17,422.7778625488281
2016-02-18,421.98028564453125
2016-02-19,419.4880676269531
2016-02-22,422.2793884277344
2016-02-23,420.88372802734375
2016-02-24,423.67498779296875
2016-02-25,433.2450866699219
2016-02-26,437.9304504394531
2016-02-29,436.7341613769531
2016-03-01,446.30426025390625
2016-03-02,444.0114440917969
2016-03-03,443.3135681152344
2016-03-04,443.71234130859375
2016-03-07,435.83697509765625
2016-03-08,424.6718444824219
2016-03-09,423.0768127441406
2016-03-10,421.08306884765625
2016-03-11,436.5347595214844
2016-03-14,438.4289245605469
2016-03-15,437.33233642578125
2016-03-16,444.80889892578125
2016-03-17,445.10791015625
2016-03-18,449.09552001953125
2016-03-21,446.9023742675781
2016-03-22,456.0736389160156
2016-03-23,456.77154541015625
2016-03-24,451.6873779296875
2016-03-29,453.2824401855469
2016-03-30,460.1608581542969
2016-03-31,454.97711181640625
2016-04-01,453.0830078125
2016-04-04,455.7746276855469
2016-04-05,447.4007263183594
2016-04-06,450.59075927734375
2016-04-07,441.9179382324219
2016-04-08,450.7901916503906
2016-04-11,447.6997985839844
2016-04-12,458.266845703125
2016-04-13,477.9054870605469
2016-04-14,485.38201904296875
2016-04-15,478.5035705566406
2016-04-18,478.1048278808594
2016-04-19,480.69671630859375
2016-04-20,477.1079406738281
2016-04-21,476.8088073730469
2016-04-22,475.41326904296875
2016-04-25,476.6094665527344
2016-04-26,481.69354248046875
2016-04-27,483.5876159667969
2016-04-28,480.0986022949219
2016-04-29,472.1234436035156
2016-05-03,465.5440673828125
2016-05-04,460.4599609375
2016-05-05,461.85565185546875
2016-05-06,456.5721740722656
2016-05-09,462.9521179199219
2016-05-10,470.1297302246094
2016-05-11,475.6125793457031
2016-05-12,473.9178466796875
2016-05-13,479.79949951171875
2016-05-16,479.6998596191406
2016-05-17,481.0954895019531
2016-05-18,485.9801025390625
2016-05-19,497.9427490234375
2016-05-20,503.92401123046875
2016-05-23,518.3787231445312
2016-05-24,524.3600463867188
2016-05-25,530.83984375
2016-05-26,541.30712890625
2016-05-27,550.2791137695312
2016-05-31,559.7495727539062
2016-06-01,544.7962646484375
2016-06-02,545.2946166992188
2016-06-03,543.3009643554688
2016-06-06,551.2759399414062
2016-06-07,554.7649536132812
2016-06-08,571.2138061523438
2016-06-09,562.740234375
2016-06-10,552.7711791992188
2016-06-13,539.3133544921875
2016-06-14,522.3663330078125
2016-06-15,520.87109375
2016-06-16,507.56866455078125
2016-06-17,518.5374755859375
2016-06-20,547.4560546875
2016-06-21,544.963134765625
2016-06-22,554.4364624023438
2016-06-23,560.4194946289062
2016-06-24,511.0586853027344
2016-06-27,468.2793884277344
2016-06-28,495.20343017578125
2016-06-29,503.0811767578125
2016-06-30,545.9603271484375
2016-07-01,564.4082641601562
2016-07-04,557.4278564453125
2016-07-05,538.4814453125
2016-07-06,529.5067749023438
2016-07-07,547.4560546875
2016-07-08,554.4364624023438
2016-07-11,569.8927001953125
2016-07-12,579.8646240234375
2016-07-13,579.8646240234375
2016-07-14,587.3434448242188
2016-07-15,580.3632202148438
2016-07-18,587.3434448242188
2016-07-19,589.3380737304688
2016-07-20,594.3238525390625
2016-07-21,584.8507690429688
2016-07-22,589.3380737304688
2016-07-25,608.7830200195312
2016-07-26,606.788818359375
2016-07-27,619.2534790039062
2016-07-28,611.2761840820312
2016-07-29,615.2647705078125
2016-08-01,616.2620849609375
2016-08-02,616.2620849609375
2016-08-03,613.76904296875
2016-08-04,622.74365234375
2016-08-05,630.2227172851562
2016-08-08,632.2172241210938
2016-08-09,630.2227172851562
2016-08-10,623.2421875
2016-08-11,638.2001342773438
2016-08-12,632.2172241210938
2016-08-15,631.7184448242188
2016-08-16,623.2421875
2016-08-17,619.2534790039062
2016-08-18,622.2452392578125
2016-08-19,620.7493286132812
2016-08-22,623.2421875
2016-08-23,621.7466430664062
2016-08-24,618.2564086914062
2016-08-25,611.2761840820312
2016-08-26,611.2761840820312
2016-08-30,617.25927734375
2016-08-31,612.7719116210938
2016-09-01,628.7268676757812
2016-09-02,640.6932983398438
2016-09-05,638.6987915039062
2016-09-06,631.2198486328125
2016-09-07,628.7268676757812
2016-09-08,635.7071533203125
2016-09-09,624.2394409179688
2016-09-12,615.7636108398438
2016-09-13,614.2677001953125
2016-09-14,624.7378540039062
2016-09-15,632.7156372070312
2016-09-16,629.7240600585938
2016-09-19,638.6987915039062
2016-09-20,642.1889038085938
2016-09-21,647.1748657226562
2016-09-22,650.6650390625
2016-09-23,643.1859130859375
2016-09-26,637.7015380859375
2016-09-27,635.2086791992188
2016-09-28,638.6987915039062
2016-09-29,648.1719970703125
2016-09-30,648.6705932617188
2016-10-03,650.16650390625
2016-10-04,668.11572265625
2016-10-05,671.60595703125
2016-10-06,669.1130981445312
2016-10-07,673.1018676757812
2016-10-10,670.6087646484375
2016-10-11,667.1187744140625
2016-10-12,664.1270141601562
2016-10-13,656.648193359375
2016-10-14,655.1524047851562
2016-10-17,648.1719970703125
2016-10-18,648.6705932617188
2016-10-19,652.6593627929688
2016-10-20,660.13818359375
2016-10-21,659.1409912109375
2016-10-24,661.634033203125
2016-10-25,662.1326293945312
2016-10-26,651.662109375
2016-10-27,657.6453247070312
2016-10-28,663.1298217773438
2016-10-31,669.1130981445312
2016-11-01,664.6256103515625
2016-11-02,652.6593627929688
2016-11-03,651.1636962890625
2016-11-04,630.2227172851562
2016-11-07,638.2001342773438
2016-11-08,637.7015380859375
2016-11-09,653.656494140625
2016-11-10,602.8001098632812
2016-11-11,605.2930297851562
2016-11-14,609.2816162109375
2016-11-15,619.7522583007812
2016-11-16,628.2283935546875
2016-11-17,642.1889038085938
2016-11-18,644.183349609375
2016-11-21,645.678955078125
2016-11-22,653.656494140625
2016-11-23,663.62841796875
2016-11-24,672.1046142578125
2016-11-25,676.591796875
2016-11-28,673.6002807617188
2016-11-29,670.6087646484375
2016-11-30,687.0623168945312
2016-12-01,681.5779418945312
2016-12-02,677.0903930664062
2016-12-05,685.0679931640625
2016-12-06,688.0596923828125
2016-12-07,698.5299682617188
2016-12-08,697.1138305664062
2016-12-09,691.628662109375
2016-12-12,673.67724609375
2016-12-13,688.1383056640625
2016-12-14,677.1677856445312
2016-12-15,678.1651000976562
2016-12-16,678.1651000976562
2016-12-19,684.1489868164062
2016-12-20,688.63671875
2016-12-21,680.1597290039062
2016-12-22,685.146240234375
2016-12-23,693.1245727539062
2016-12-28,693.6233520507812
2016-12-29,694.6205444335938
2016-12-30,702.100341796875
2017-01-03,710.0787963867188
2017-01-04,715.065185546875
2017-01-05,720.550537109375
2017-01-06,721.547607421875
2017-01-09,723.5424194335938
2017-01-10,714.0679321289062
