Date,GGBR4.SA
2015-08-24,2.4241161346435547
2015-08-25,2.2973318099975586
2015-08-26,2.4748291969299316
2015-08-27,2.7689688205718994
2015-08-28,2.6827552318573
2015-08-31,2.6624701023101807
2015-09-01,2.774040937423706
2015-09-02,3.0529651641845703
2015-09-03,3.007324457168579
2015-09-04,3.078321933746338
2015-09-08,3.179750919342041
2015-09-09,3.1645359992980957
2015-09-10,3.4079625606536865
2015-09-11,3.38767671585083
2015-09-14,3.194965362548828
2015-09-15,3.235537052154541
2015-09-16,3.2862484455108643
2015-09-17,3.2811779975891113
2015-09-18,3.2406070232391357
2015-09-21,3.1543941497802734
2015-09-22,3.103679895401001
2015-09-23,2.992109775543213
2015-09-24,3.0935370922088623
2015-09-25,3.0986087322235107
2015-09-28,2.981966972351074
2015-09-29,2.880540132522583
2015-09-30,2.774040937423706
2015-10-01,2.763897657394409
2015-10-02,2.8703970909118652
2015-10-05,3.022538423538208
2015-10-06,3.0478951930999756
2015-10-07,3.260892152786255
2015-10-08,3.38260555267334
2015-10-09,3.40289044380188
2015-10-13,3.194965362548828
2015-10-14,3.200035810470581
2015-10-15,3.2406070232391357
2015-10-16,3.1442503929138184
2015-10-19,3.0986087322235107
2015-10-20,3.078321933746338
2015-10-21,3.1594643592834473
2015-10-22,3.0478951930999756
2015-10-23,2.9211103916168213
2015-10-26,2.895753860473633
2015-10-27,2.8602540493011475
2015-10-28,2.8602540493011475
2015-10-29,2.7537548542022705
2015-10-30,2.7537548542022705
2015-11-03,2.981966972351074
2015-11-04,2.880540132522583
2015-11-05,2.9363253116607666
2015-11-06,2.8703970909118652
2015-11-09,2.81968355178833
2015-11-10,2.8350067138671875
2015-11-11,2.840115785598755
2015-11-12,2.6715476512908936
2015-11-13,2.6715476512908936
2015-11-16,2.5744941234588623
2015-11-17,2.6919803619384766
2015-11-18,2.732844114303589
2015-11-19,2.9831418991088867
2015-11-23,2.9371702671051025
2015-11-24,3.1312777996063232
2015-11-25,3.1925764083862305
2015-11-26,3.1159539222717285
2015-11-27,3.080197811126709
2015-11-30,3.1159539222717285
2015-12-01,3.0240073204040527
2015-12-02,3.0240073204040527
2015-12-03,3.0750882625579834
2015-12-04,2.778818368911743
2015-12-07,2.7073047161102295
2015-12-08,2.548952341079712
2015-12-09,2.523411750793457
2015-12-10,2.554060697555542
2015-12-11,2.4978718757629395
2015-12-14,2.472330093383789
2015-12-15,2.5029795169830322
