Date,ULTRACEMCO.NS
2015-08-03,3027.488525390625
2015-08-04,3009.831787109375
2015-08-05,3078.1142578125
2015-08-06,3086.966552734375
2015-08-07,3064.76416015625
2015-08-10,3038.063720703125
2015-08-11,3019.737060546875
2015-08-12,2932.0751953125
2015-08-13,2937.86474609375
2015-08-14,2979.18505859375
2015-08-17,2957.972900390625
2015-08-18,3002.748291015625
2015-08-19,3034.27880859375
2015-08-20,2922.699462890625
2015-08-21,2853.44873046875
2015-08-24,2727.951904296875
2015-08-25,2775.991455078125
2015-08-26,2788.373046875
2015-08-27,2784.4853515625
2015-08-28,2828.349365234375
2015-08-31,2773.687744140625
2015-09-01,2720.2255859375
2015-09-02,2770.135986328125
2015-09-03,2883.202880859375
2015-09-04,2797.970947265625
2015-09-07,2739.662353515625
2015-09-08,2768.0244140625
2015-09-09,2865.062255859375
2015-09-10,2845.289794921875
2015-09-11,2823.98193359375
2015-09-14,2830.5087890625
2015-09-15,2802.67431640625
2015-09-16,2816.015869140625
2015-09-18,2819.9033203125
2015-09-21,2789.4287109375
2015-09-22,2695.654296875
2015-09-23,2671.17919921875
2015-09-24,2698.150146484375
2015-09-28,2608.598876953125
2015-09-29,2601.5439453125
2015-09-30,2565.982666015625
2015-10-01,2662.0126953125
2015-10-05,2703.284912109375
2015-10-06,2656.589599609375
2015-10-07,2642.864501953125
2015-10-08,2704.4365234375
2015-10-09,2705.492431640625
2015-10-12,2730.44775390625
2015-10-13,2790.196533203125
2015-10-14,2789.8125
2015-10-15,2828.301025390625
2015-10-16,2835.931884765625
2015-10-19,2782.421875
2015-10-20,2801.810546875
2015-10-21,2780.3583984375
2015-10-23,2784.437744140625
2015-10-26,2730.783935546875
2015-10-27,2792.739990234375
2015-10-28,2775.6552734375
2015-10-29,2797.68310546875
2015-10-30,2770.135986328125
2015-11-02,2810.065185546875
2015-11-03,2807.953369140625
2015-11-04,2775.607421875
2015-11-05,2720.99365234375
2015-11-06,2681.113037109375
2015-11-09,2644.687744140625
2015-11-10,2594.201171875
2015-11-13,2572.9892578125
2015-11-16,2625.539306640625
2015-11-17,2629.23486328125
2015-11-18,2625.059326171875
2015-11-19,2643.5361328125
2015-11-20,2664.891845703125
2015-11-23,2687.591796875
2015-11-24,2666.81201171875
2015-11-26,2690.375244140625
2015-11-27,2717.2021484375
2015-11-30,2688.503662109375
2015-12-01,2749.068359375
2015-12-02,2734.14306640625
2015-12-03,2744.461669921875
2015-12-04,2751.899658203125
2015-12-07,2749.54833984375
2015-12-08,2746.14111328125
2015-12-09,2672.042724609375
2015-12-10,2700.11767578125
2015-12-11,2671.562744140625
2015-12-14,2716.866455078125
2015-12-15,2748.25244140625
2015-12-16,2733.375
2015-12-17,2781.41455078125
2015-12-18,2701.9892578125
2015-12-21,2692.438720703125
2015-12-22,2686.34423828125
2015-12-23,2705.5888671875
2015-12-24,2700.21337890625
2015-12-28,2698.7255859375
2015-12-29,2705.156005859375
2015-12-30,2672.618408203125
2015-12-31,2668.82763671875
2016-01-01,2710.53173828125
2016-01-04,2638.688720703125
2016-01-05,2623.236328125
2016-01-06,2625.39599609375
2016-01-07,2560.511474609375
2016-01-08,2596.504638671875
2016-01-11,2617.237060546875
2016-01-12,2562.767578125
2016-01-13,2576.492919921875
2016-01-14,2521.2548828125
2016-01-15,2513.000732421875
2016-01-18,2534.980712890625
2016-01-19,2532.677001953125
2016-01-20,2512.472412109375
2016-01-21,2586.762939453125
2016-01-22,2604.37548828125
2016-01-25,2639.9365234375
2016-01-27,2640.992431640625
2016-01-28,2634.41796875
2016-01-29,2725.98486328125
2016-02-01,2706.0205078125
2016-02-02,2690.087158203125
2016-02-03,2657.7890625
2016-02-04,2658.269287109375
2016-02-05,2728.528076171875
2016-02-08,2708.179931640625
2016-02-09,2655.101806640625
2016-02-10,2685.47998046875
2016-02-11,2608.69482421875
2016-02-12,2656.54150390625
2016-02-15,2689.751708984375
2016-02-16,2675.593994140625
2016-02-17,2664.98828125
2016-02-18,2682.792724609375
2016-02-19,2730.39990234375
2016-02-22,2805.6494140625
2016-02-23,2703.18896484375
2016-02-24,2684.9521484375
2016-02-25,2667.435546875
2016-02-26,2659.613037109375
2016-02-29,2657.357421875
2016-03-01,2769.36865234375
2016-03-02,2853.544677734375
2016-03-03,2825.949951171875
2016-03-04,2790.1005859375
2016-03-08,2831.46923828125
2016-03-09,2871.3974609375
2016-03-10,2877.300048828125
2016-03-11,2874.133056640625
2016-03-14,2887.426513671875
2016-03-15,2869.4775390625
2016-03-16,2848.985107421875
2016-03-17,2907.294921875
2016-03-18,2985.6640625
2016-03-21,3099.738525390625
2016-03-22,3081.40576171875
2016-03-23,3069.93603515625
2016-03-28,3049.300048828125
2016-03-29,3010.235107421875
2016-03-30,3056.16259765625
2016-03-31,3099.01904296875
2016-04-01,3074.97509765625
2016-04-04,3043.445068359375
2016-04-05,2975.82568359375
2016-04-06,3060.482177734375
2016-04-07,3011.38720703125
2016-04-08,3031.92724609375
2016-04-11,3025.54443359375
2016-04-12,3039.174072265625
2016-04-13,3142.16259765625
2016-04-18,3268.810546875
2016-04-20,3231.281982421875
2016-04-21,3132.852294921875
2016-04-22,3139.667236328125
2016-04-25,3144.562744140625
2016-04-26,3134.820068359375
2016-04-27,3063.552978515625
2016-04-28,3041.9091796875
2016-04-29,3034.4228515625
2016-05-02,3048.484375
2016-05-03,3085.821044921875
2016-05-04,3055.730712890625
2016-05-05,2993.6787109375
2016-05-06,2975.345947265625
2016-05-09,3038.5498046875
2016-05-10,3038.5498046875
2016-05-11,3070.559814453125
2016-05-12,3097.914794921875
2016-05-13,3025.016357421875
2016-05-16,3044.2607421875
2016-05-17,3122.05419921875
2016-05-18,3094.075927734375
2016-05-19,3061.345703125
2016-05-20,3008.075927734375
2016-05-23,2996.941650390625
2016-05-24,3046.900146484375
2016-05-25,3080.493896484375
2016-05-26,3084.525634765625
2016-05-27,3117.78271484375
2016-05-30,3083.13330078125
2016-05-31,3097.05126953125
2016-06-01,3098.538818359375
2016-06-02,3103.0498046875
2016-06-03,3061.105712890625
2016-06-06,3097.626953125
2016-06-07,3200.95166015625
2016-06-08,3235.88916015625
2016-06-09,3243.9033203125
2016-06-10,3248.654296875
