Date,JUBLFOOD.NS
2015-08-21,168.72117614746094
2015-08-24,159.48326110839844
2015-08-25,157.16644287109375
2015-08-26,159.3061065673828
2015-08-27,166.83396911621094
2015-08-28,165.51499938964844
2015-08-31,162.8868408203125
2015-09-01,160.12680053710938
2015-09-02,160.97679138183594
2015-09-03,161.05982971191406
2015-09-04,154.46502685546875
2015-09-07,148.47596740722656
2015-09-08,148.87652587890625
2015-09-09,155.15382385253906
2015-09-10,158.36326599121094
2015-09-11,159.4868621826172
2015-09-14,162.7549591064453
2015-09-15,161.2063751220703
2015-09-16,159.44775390625
2015-09-18,153.3414764404297
2015-09-21,155.87680053710938
2015-09-22,153.25843811035156
2015-09-23,154.640869140625
2015-09-24,157.61099243164062
2015-09-28,158.7394256591797
2015-09-29,155.46644592285156
2015-09-30,156.4532470703125
2015-10-01,160.19515991210938
2015-10-05,162.3494873046875
2015-10-06,163.126220703125
2015-10-07,154.53829956054688
2015-10-08,152.3107147216797
2015-10-09,152.2716522216797
2015-10-12,151.6658935546875
2015-10-13,151.32394409179688
2015-10-14,152.60385131835938
2015-10-15,151.90040588378906
2015-10-16,152.70640563964844
2015-10-19,150.89895629882812
2015-10-20,149.14520263671875
2015-10-21,147.37684631347656
2015-10-23,148.40757751464844
2015-10-26,147.10818481445312
2015-10-27,146.85902404785156
2015-10-28,147.83114624023438
2015-10-29,144.7633056640625
2015-10-30,143.09263610839844
2015-11-02,146.21905517578125
2015-11-03,143.0291290283203
2015-11-04,142.27684020996094
2015-11-05,135.02256774902344
2015-11-06,139.28231811523438
2015-11-09,139.50701904296875
2015-11-10,137.11334228515625
2015-11-13,132.43836975097656
2015-11-16,133.8647918701172
2015-11-17,137.99752807617188
2015-11-18,134.60733032226562
2015-11-19,137.78262329101562
2015-11-20,139.96620178222656
2015-11-23,142.5406494140625
2015-11-24,148.98890686035156
2015-11-26,150.82080078125
2015-11-27,148.246337890625
2015-11-30,150.59117126464844
2015-12-01,148.57366943359375
2015-12-02,148.23170471191406
2015-12-03,147.2937774658203
2015-12-04,144.2015380859375
2015-12-07,143.01449584960938
2015-12-08,141.5782928466797
2015-12-09,141.44638061523438
2015-12-10,141.85183715820312
2015-12-11,137.61651611328125
2015-12-14,139.69265747070312
2015-12-15,139.78060913085938
2015-12-16,139.83921813964844
2015-12-17,142.6578826904297
2015-12-18,139.5119171142578
2015-12-21,142.01307678222656
2015-12-22,140.11764526367188
2015-12-23,142.26219177246094
2015-12-24,148.92538452148438
2015-12-28,148.51502990722656
2015-12-29,146.75155639648438
2015-12-30,145.96505737304688
2015-12-31,144.97337341308594
2016-01-01,145.05641174316406
2016-01-04,142.74095153808594
2016-01-05,141.84695434570312
2016-01-06,140.42051696777344
2016-01-07,136.32684326171875
2016-01-08,133.0978546142578
2016-01-11,132.20388793945312
2016-01-12,130.29385375976562
2016-01-13,129.8248748779297
2016-01-14,126.40535736083984
2016-01-15,121.37376403808594
2016-01-18,117.6659927368164
2016-01-19,117.18726348876953
2016-01-20,114.72032165527344
2016-01-21,113.20596313476562
2016-01-22,117.83698272705078
2016-01-25,122.41915130615234
2016-01-27,121.81341552734375
2016-01-28,120.02059936523438
2016-01-29,124.29011535644531
2016-02-01,119.60536193847656
2016-02-02,119.12664794921875
2016-02-03,117.60738372802734
2016-02-04,115.30164337158203
2016-02-05,114.48095703125
2016-02-08,117.57807922363281
2016-02-09,116.3666000366211
2016-02-10,115.89762115478516
2016-02-11,103.78760528564453
2016-02-12,94.16405487060547
2016-02-15,100.27037048339844
2016-02-16,101.22296142578125
2016-02-17,102.48328399658203
2016-02-18,99.32756042480469
2016-02-19,100.02611541748047
2016-02-22,98.45313262939453
2016-02-23,95.00919342041016
2016-02-24,96.28417205810547
2016-02-25,94.3643569946289
2016-02-26,94.59394073486328
2016-02-29,97.19767761230469
2016-03-01,103.66059112548828
2016-03-02,107.2071304321289
2016-03-03,113.19129180908203
2016-03-04,110.7585678100586
2016-03-08,115.3602523803711
2016-03-09,112.15567016601562
2016-03-10,108.24276733398438
2016-03-11,110.22608947753906
2016-03-14,114.61284637451172
2016-03-15,111.20308685302734
2016-03-16,111.55481719970703
2016-03-17,111.61343383789062
2016-03-18,116.91371154785156
2016-03-21,120.6751937866211
2016-03-22,120.16226196289062
2016-03-23,120.54817962646484
2016-03-28,117.99330139160156
2016-03-29,119.25852966308594
2016-03-30,120.11830139160156
2016-03-31,124.74932098388672
2016-04-01,126.5519027709961
2016-04-04,124.23638916015625
2016-04-05,119.45393371582031
2016-04-06,119.90335845947266
2016-04-07,120.64588165283203
2016-04-08,122.67805480957031
2016-04-11,122.99559020996094
2016-04-12,120.65564727783203
2016-04-13,122.8050765991211
2016-04-18,122.01856994628906
2016-04-20,126.38092803955078
2016-04-21,124.63207244873047
2016-04-22,121.32489776611328
2016-04-25,125.27690887451172
2016-04-26,128.94068908691406
2016-04-27,130.17172241210938
2016-04-28,116.32750701904297
2016-04-29,113.03497314453125
2016-05-02,115.02318572998047
2016-05-03,112.35108184814453
2016-05-04,112.24848175048828
2016-05-05,113.02520751953125
2016-05-06,115.07693481445312
2016-05-09,116.05882263183594
2016-05-10,115.20883178710938
2016-05-11,113.90452575683594
2016-05-12,115.0915756225586
2016-05-13,115.45796203613281
2016-05-16,115.62405395507812
2016-05-17,114.41256713867188
2016-05-18,113.9778060913086
2016-05-19,111.97005462646484
2016-05-20,109.4151611328125
2016-05-23,108.6433334350586
2016-05-24,103.90483093261719
