Date,EXPD
2015-08-03,41.42006301879883
2015-08-04,41.94792938232422
2015-08-05,42.70454406738281
2015-08-06,42.18546676635742
2015-08-07,42.27345275878906
2015-08-10,42.86290740966797
2015-08-11,42.85409927368164
2015-08-12,42.66933822631836
2015-08-13,42.86290740966797
2015-08-14,43.35557556152344
2015-08-17,43.32918167114258
2015-08-18,43.68988800048828
2015-08-19,43.804264068603516
2015-08-20,43.54912567138672
2015-08-21,42.40541076660156
2015-08-24,41.120941162109375
2015-08-25,41.780765533447266
2015-08-26,43.05644989013672
2015-08-27,43.91863250732422
2015-08-28,43.68988800048828
2015-08-31,43.08284378051758
2015-09-01,42.24705123901367
2015-09-02,43.883445739746094
2015-09-03,43.18842315673828
2015-09-04,42.10628890991211
2015-09-08,42.98606872558594
2015-09-09,42.52858352661133
2015-09-10,42.572566986083984
2015-09-11,43.1356315612793
2015-09-14,42.880496978759766
2015-09-15,43.37317657470703
2015-09-16,42.99486541748047
2015-09-17,42.83651351928711
2015-09-18,41.09453201293945
2015-09-21,41.63999938964844
2015-09-22,40.672245025634766
2015-09-23,40.48748779296875
2015-09-24,40.46989822387695
2015-09-25,41.191314697265625
2015-09-28,40.540279388427734
2015-09-29,40.936187744140625
2015-09-30,41.39366912841797
2015-10-01,42.018306732177734
2015-10-02,42.176658630371094
2015-10-05,42.88928985595703
2015-10-06,43.003662109375
2015-10-07,43.34677505493164
2015-10-08,43.496334075927734
2015-10-09,43.96261978149414
2015-10-12,44.252960205078125
2015-10-13,43.78667449951172
2015-10-14,44.16496276855469
2015-10-15,44.631256103515625
2015-10-16,43.971412658691406
2015-10-19,43.980220794677734
2015-10-20,44.2265510559082
2015-10-21,44.14737319946289
2015-10-22,44.89519119262695
2015-10-23,45.29109191894531
2015-10-26,45.44945526123047
2015-10-27,44.39372634887695
2015-10-28,43.531524658203125
2015-10-29,44.08579635620117
2015-10-30,43.804264068603516
2015-11-02,44.69284439086914
2015-11-03,43.76907730102539
2015-11-04,43.179630279541016
2015-11-05,43.24120330810547
2015-11-06,43.54032897949219
2015-11-09,43.06525421142578
2015-11-10,43.6283073425293
2015-11-11,43.66349792480469
2015-11-12,42.79251480102539
2015-11-13,42.2822380065918
2015-11-16,42.616554260253906
2015-11-17,43.1356315612793
2015-11-18,43.54032897949219
2015-11-19,43.32918167114258
2015-11-20,43.25880432128906
