Date,AJANTPHARM.NS
2015-08-21,1010.1011962890625
2015-08-24,893.8429565429688
2015-08-25,885.6975708007812
2015-08-26,889.461669921875
2015-08-27,883.8463745117188
2015-08-28,881.8716430664062
2015-08-31,925.499267578125
2015-09-01,940.0623779296875
2015-09-02,935.1875
2015-09-03,926.5173950195312
2015-09-04,886.4688110351562
2015-09-07,847.93212890625
2015-09-08,849.9376220703125
2015-09-09,864.74755859375
2015-09-10,871.9674072265625
2015-09-11,870.0543823242188
2015-09-14,876.8115234375
2015-09-15,912.0468139648438
2015-09-16,887.3018798828125
2015-09-18,894.9229736328125
2015-09-21,893.1642456054688
2015-09-22,879.0947875976562
2015-09-23,884.00048828125
2015-09-24,880.0203857421875
2015-09-28,890.9735717773438
2015-09-29,887.0858764648438
2015-09-30,913.126708984375
2015-10-01,932.348876953125
2015-10-05,925.5300903320312
2015-10-06,939.877197265625
2015-10-07,932.348876953125
2015-10-08,924.851318359375
2015-10-09,920.5934448242188
2015-10-12,910.5350952148438
2015-10-13,915.0089721679688
2015-10-14,924.0799560546875
2015-10-15,929.2017211914062
2015-10-16,927.782470703125
2015-10-19,969.250244140625
2015-10-20,983.1347045898438
2015-10-21,969.0343627929688
2015-10-23,963.2646484375
2015-10-26,965.239501953125
2015-10-27,980.0802612304688
2015-10-28,962.184814453125
2015-10-29,979.678955078125
2015-10-30,956.1065063476562
2015-11-02,942.931884765625
2015-11-03,949.4729614257812
2015-11-04,939.291015625
2015-11-05,927.22705078125
2015-11-06,902.7598876953125
2015-11-09,888.1966552734375
2015-11-10,876.2869262695312
2015-11-13,856.4478149414062
2015-11-16,824.2979125976562
2015-11-17,833.1530151367188
2015-11-18,830.7153930664062
2015-11-19,831.2091064453125
2015-11-20,827.3832397460938
2015-11-23,815.9672241210938
2015-11-24,829.1728515625
2015-11-26,818.8057250976562
2015-11-27,818.8674926757812
2015-11-30,818.2813720703125
2015-12-01,831.3634643554688
2015-12-02,848.3024291992188
2015-12-03,838.583251953125
2015-12-04,823.8350219726562
2015-12-07,824.9765625
2015-12-08,822.4466552734375
2015-12-09,778.0784301757812
2015-12-10,792.3329467773438
2015-12-11,778.2327270507812
2015-12-14,773.9131469726562
2015-12-15,795.2333984375
2015-12-16,788.9391479492188
2015-12-17,801.712646484375
2015-12-18,787.180419921875
2015-12-21,792.9501342773438
2015-12-22,793.1660766601562
2015-12-23,797.146240234375
2015-12-24,817.4790649414062
2015-12-28,831.1475219726562
2015-12-29,829.7282104492188
2015-12-30,830.0059204101562
2015-12-31,821.7986450195312
2016-01-01,821.9220581054688
2016-01-04,819.1760864257812
2016-01-05,808.2846069335938
2016-01-06,806.279052734375
2016-01-07,785.3599243164062
2016-01-08,772.12353515625
2016-01-11,782.0895385742188
2016-01-12,779.2508544921875
2016-01-13,760.3989868164062
2016-01-14,755.1537475585938
2016-01-15,721.8931274414062
2016-01-18,717.388427734375
2016-01-19,722.572021484375
2016-01-20,715.66064453125
2016-01-21,716.061767578125
2016-01-22,737.9371948242188
2016-01-25,751.4822998046875
2016-01-27,752.7471923828125
2016-01-28,765.1815795898438
2016-01-29,786.1312866210938
2016-02-01,802.5147705078125
2016-02-02,802.63818359375
2016-02-03,796.7760009765625
2016-02-04,797.2696533203125
2016-02-05,806.279052734375
2016-02-08,802.2372436523438
2016-02-09,800.9412841796875
2016-02-10,803.995849609375
2016-02-11,803.8724365234375
2016-02-12,809.3953247070312
2016-02-15,790.69775390625
2016-02-16,761.5098266601562
2016-02-17,763.361083984375
2016-02-18,789.0315551757812
2016-02-19,798.257080078125
2016-02-22,799.30615234375
2016-02-23,798.31884765625
2016-02-24,825.377685546875
2016-02-25,802.2988891601562
2016-02-26,794.2460327148438
2016-02-29,803.4713745117188
2016-03-01,816.8003540039062
2016-03-02,835.0968017578125
2016-03-03,839.3855590820312
2016-03-04,861.878173828125
2016-03-08,877.1817016601562
2016-03-09,879.8351440429688
2016-03-10,889.8936157226562
2016-03-11,883.722900390625
2016-03-14,873.6644287109375
2016-03-15,867.7095336914062
2016-03-16,854.5964965820312
2016-03-17,843.3624267578125
2016-03-18,832.8732299804688
2016-03-21,838.5833129882812
2016-03-22,859.7481689453125
2016-03-23,871.4476928710938
2016-03-28,867.2272338867188
2016-03-29,829.3973999023438
2016-03-30,850.841552734375
2016-03-31,874.613037109375
2016-04-01,864.6204223632812
2016-04-04,849.0726318359375
2016-04-05,877.5612182617188
2016-04-06,868.8717651367188
2016-04-07,871.1994018554688
2016-04-08,908.346435546875
2016-04-11,914.1185913085938
2016-04-12,916.5081176757812
2016-04-13,919.5183715820312
2016-04-18,935.09716796875
2016-04-20,929.9766235351562
2016-04-21,917.0045776367188
2016-04-22,929.945556640625
2016-04-25,921.690673828125
2016-04-26,957.7513427734375
2016-04-27,951.1102294921875
2016-04-28,955.2686767578125
2016-04-29,940.0004272460938
2016-05-02,934.1661376953125
2016-05-03,925.1664428710938
2016-05-04,916.4771118164062
2016-05-05,942.1416625976562
2016-05-06,957.503173828125
2016-05-09,958.5272216796875
2016-05-10,959.4892578125
