Date,ACA.PA
2015-08-24,5.996856689453125
2015-08-25,6.2665839195251465
2015-08-26,6.219446659088135
2015-08-27,6.381807327270508
2015-08-28,6.394901275634766
2015-08-31,6.329433441162109
2015-09-01,6.151360034942627
2015-09-02,6.180166721343994
2015-09-03,6.287534236907959
2015-09-04,6.143504619598389
2015-09-07,6.1277923583984375
2015-09-08,6.133028984069824
2015-09-09,6.211590766906738
2015-09-10,6.117318153381348
2015-09-11,6.038755416870117
2015-09-14,5.860682964324951
2015-09-15,5.93400764465332
2015-09-16,5.9497199058532715
2015-09-17,5.913057804107666
2015-09-18,5.763790130615234
2015-09-21,5.810927867889404
2015-09-22,5.62238073348999
2015-09-23,5.475731372833252
2015-09-24,5.418120384216309
2015-09-25,5.499300956726074
2015-09-28,5.310753345489502
2015-09-29,5.292423248291016
2015-09-30,5.370983123779297
2015-10-01,5.373602867126465
2015-10-02,5.402408123016357
2015-10-05,5.525487899780273
2015-10-06,5.750698089599609
2015-10-07,5.868539810180664
2015-10-08,5.868539810180664
2015-10-09,5.9418625831604
2015-10-12,5.88948917388916
2015-10-13,5.763790130615234
2015-10-14,5.727128982543945
2015-10-15,5.740222930908203
2015-10-16,5.810927867889404
2015-10-19,5.844970703125
2015-10-20,5.787359237670898
2015-10-21,5.761173248291016
2015-10-22,5.842352390289307
2015-10-23,6.002094268798828
2015-10-26,6.0701799392700195
2015-10-27,6.0204243659973145
2015-10-28,6.057086944580078
2015-10-29,5.962812423706055
2015-10-30,6.0335187911987305
2015-11-02,6.125174045562744
2015-11-03,6.148742198944092
2015-11-04,6.164454936981201
2015-11-05,5.653805255889893
2015-11-06,5.761173248291016
2015-11-09,5.761173248291016
2015-11-10,5.740222930908203
2015-11-11,5.954957008361816
2015-11-12,5.884252071380615
2015-11-13,5.860682964324951
2015-11-16,5.755935192108154
2015-11-17,5.871159076690674
2015-11-18,5.944482326507568
2015-11-19,6.030899524688721
2015-11-20,5.918294906616211
2015-11-23,5.918294906616211
2015-11-24,5.868539810180664
2015-11-25,5.871159076690674
2015-11-26,5.970668792724609
2015-11-27,5.968050479888916
2015-11-30,5.981144905090332
2015-12-01,5.978525638580322
2015-12-02,5.920913219451904
2015-12-03,5.839733600616455
2015-12-04,5.810927867889404
2015-12-07,5.7428412437438965
2015-12-08,5.583098411560059
2015-12-09,5.538581848144531
2015-12-10,5.467875003814697
2015-12-11,5.357890605926514
2015-12-14,5.3002777099609375
2015-12-15,5.465258598327637
2015-12-16,5.486207485198975
2015-12-17,5.577862739562988
2015-12-18,5.53596305847168
2015-12-21,5.43383264541626
2015-12-22,5.5647687911987305
2015-12-23,5.679991722106934
2015-12-24,5.703561305999756
2015-12-28,5.593574523925781
2015-12-29,5.687848091125488
2015-12-30,5.706179618835449
2016-01-04,5.562150001525879
2016-01-05,5.585718631744385
