Date,TIMKEN.NS
2015-08-21,547.3790893554688
2015-08-24,505.36285400390625
2015-08-25,498.126708984375
2015-08-26,505.316162109375
2015-08-27,528.9852905273438
2015-08-28,532.8602294921875
2015-08-31,538.8358154296875
2015-09-01,528.7518310546875
2015-09-02,527.9116821289062
2015-09-03,537.5286254882812
2015-09-04,530.8994140625
2015-09-07,522.7763061523438
2015-09-08,516.0537109375
2015-09-09,530.852783203125
2015-09-10,525.1105346679688
2015-09-11,529.1720581054688
2015-09-14,533.9339599609375
2015-09-15,526.1376342773438
2015-09-16,544.1112670898438
2015-09-18,540.0496826171875
2015-09-21,561.1978149414062
2015-09-22,554.3351440429688
2015-09-23,555.875732421875
2015-09-24,552.9813232421875
2015-09-28,556.8094482421875
2015-09-29,549.4799194335938
2015-09-30,560.3575439453125
2015-10-01,571.0950317382812
2015-10-05,575.903564453125
2015-10-06,575.2966918945312
2015-10-07,565.726318359375
2015-10-08,582.8129272460938
2015-10-09,578.2843627929688
2015-10-12,577.25732421875
2015-10-13,565.6329956054688
2015-10-14,565.9596557617188
2015-10-15,560.9644165039062
2015-10-16,561.8513793945312
2015-10-19,564.4657592773438
2015-10-20,565.4928588867188
2015-10-21,561.4312744140625
2015-10-23,559.6573486328125
2015-10-26,558.7701416015625
2015-10-27,556.7627563476562
2015-10-28,558.7235107421875
2015-10-29,554.8953857421875
2015-10-30,550.4602661132812
2015-11-02,554.4285278320312
2015-11-03,556.66943359375
2015-11-04,557.5097045898438
2015-11-05,552.3743896484375
2015-11-06,553.121337890625
2015-11-09,556.5293579101562
2015-11-10,539.8628540039062
2015-11-13,532.4400634765625
2015-11-16,525.063720703125
2015-11-17,524.1300048828125
2015-11-18,525.0172119140625
2015-11-19,538.975830078125
2015-11-20,544.858154296875
2015-11-23,531.27294921875
2015-11-24,532.2532348632812
2015-11-26,529.7322998046875
2015-11-27,533.8405151367188
2015-11-30,535.94140625
2015-12-01,534.2139892578125
2015-12-02,533.467041015625
2015-12-03,528.7986450195312
2015-12-04,509.8913269042969
2015-12-07,510.5915222167969
2015-12-08,509.7978515625
2015-12-09,510.07794189453125
2015-12-10,508.4906921386719
2015-12-11,501.95477294921875
2015-12-14,504.2890319824219
