Date,REGN
2015-08-03,552.7420654296875
2015-08-04,579.3385009765625
2015-08-05,590.7669677734375
2015-08-06,580.8642578125
2015-08-07,577.4437255859375
2015-08-10,579.3983764648438
2015-08-11,565.427001953125
2015-08-12,577.6531982421875
2015-08-13,572.517333984375
2015-08-14,574.7113037109375
2015-08-17,575.1700439453125
2015-08-18,568.0995483398438
2015-08-19,567.3416748046875
2015-08-20,545.14306640625
2015-08-21,525.7267456054688
2015-08-24,503.18902587890625
2015-08-25,497.64434814453125
2015-08-26,533.9938354492188
2015-08-27,536.5169067382812
2015-08-28,535.2205200195312
2015-08-31,512.0844116210938
2015-09-01,495.0515441894531
2015-09-02,517.3499145507812
2015-09-03,507.10821533203125
2015-09-04,498.6116943359375
2015-09-08,541.2637939453125
2015-09-09,525.896240234375
2015-09-10,529.7555541992188
2015-09-11,531.829833984375
2015-09-14,529.9351196289062
2015-09-15,539.9574584960938
2015-09-16,539.4986572265625
2015-09-17,549.451171875
2015-09-18,548.8427734375
2015-09-21,527.9207153320312
2015-09-22,528.718505859375
2015-09-23,535.0210571289062
2015-09-24,520.56103515625
2015-09-25,489.3173828125
2015-09-28,452.7285461425781
2015-09-29,450.5744934082031
2015-09-30,463.8577880859375
2015-10-01,471.6661682128906
2015-10-02,477.7493591308594
2015-10-05,471.8357238769531
2015-10-06,458.55242919921875
2015-10-07,484.42095947265625
2015-10-08,489.8558654785156
2015-10-09,502.5308837890625
2015-10-12,525.377685546875
2015-10-13,506.6395263671875
2015-10-14,507.8760681152344
2015-10-15,517.9182739257812
2015-10-16,513.1715087890625
2015-10-19,522.11669921875
2015-10-20,513.251220703125
2015-10-21,517.1006469726562
2015-10-22,523.6624145507812
2015-10-23,535.2205200195312
2015-10-26,544.365234375
2015-10-27,566.2247924804688
2015-10-28,569.5655517578125
2015-10-29,558.4761962890625
2015-10-30,555.853515625
2015-11-02,577.4038696289062
2015-11-03,576.4066162109375
2015-11-04,562.4452514648438
2015-11-05,562.604736328125
2015-11-06,560.4507446289062
2015-11-09,556.9803466796875
2015-11-10,563.3027954101562
2015-11-11,564.8485717773438
2015-11-12,551.0068969726562
2015-11-13,547.3869018554688
2015-11-16,556.8407592773438
2015-11-17,569.3361206054688
2015-11-18,585.4716186523438
2015-11-19,579.7473754882812
2015-11-20,577.9722900390625
2015-11-23,569.2763671875
2015-11-24,565.9056396484375
2015-11-25,560.1416015625
2015-11-27,561.5477294921875
2015-11-30,542.9990234375
2015-12-01,544.235595703125
2015-12-02,545.3724365234375
2015-12-03,534.253173828125
2015-12-04,557.1199340820312
2015-12-07,545.1031494140625
2015-12-08,554.79638671875
2015-12-09,545.8810424804688
2015-12-10,546.6588134765625
2015-12-11,533.0365600585938
2015-12-14,538.4515380859375
2015-12-15,554.916015625
2015-12-16,558.127197265625
2015-12-17,549.9697265625
2015-12-18,542.7296752929688
2015-12-21,531.0819091796875
2015-12-22,526.883544921875
2015-12-23,534.372802734375
2015-12-24,536.14794921875
2015-12-28,538.7906494140625
2015-12-29,548.6932983398438
2015-12-30,546.6788330078125
2015-12-31,541.3734741210938
2016-01-04,515.1260375976562
2016-01-05,507.5769348144531
2016-01-06,518.0479736328125
2016-01-07,500.57623291015625
2016-01-08,490.3246154785156
2016-01-11,479.4945373535156
2016-01-12,473.670654296875
2016-01-13,458.3031311035156
2016-01-14,477.7593078613281
2016-01-15,461.673828125
2016-01-19,445.7877197265625
2016-01-20,460.67657470703125
2016-01-21,460.297607421875
2016-01-22,481.6585388183594
2016-01-25,471.8157653808594
2016-01-26,462.2821044921875
2016-01-27,432.96319580078125
2016-01-28,413.9656677246094
2016-01-29,418.93194580078125
2016-02-01,417.1169738769531
2016-02-02,408.76007080078125
2016-02-03,419.84942626953125
2016-02-04,411.45263671875
2016-02-05,395.51666259765625
2016-02-08,389.45343017578125
2016-02-09,364.96112060546875
2016-02-10,366.4670104980469
2016-02-11,366.2276306152344
2016-02-12,377.9652099609375
2016-02-16,390.6800537109375
2016-02-17,396.1648864746094
2016-02-18,386.2323303222656
2016-02-19,393.89117431640625
2016-02-22,394.6989440917969
2016-02-23,385.76361083984375
2016-02-24,392.5448913574219
2016-02-25,392.9039001464844
2016-02-26,393.14324951171875
2016-02-29,382.96136474609375
2016-03-01,409.0791931152344
2016-03-02,406.6858215332031
2016-03-03,400.8320007324219
2016-03-04,402.706787109375
2016-03-07,407.1545104980469
2016-03-08,393.72161865234375
2016-03-09,373.7169494628906
2016-03-10,376.5191955566406
2016-03-11,376.08038330078125
2016-03-14,372.2409973144531
2016-03-15,366.20770263671875
2016-03-16,367.44427490234375
2016-03-17,364.4625244140625
2016-03-18,363.50518798828125
2016-03-21,370.0171813964844
2016-03-22,377.2671203613281
2016-03-23,364.3727722167969
2016-03-24,369.7778015136719
2016-03-28,362.84698486328125
2016-03-29,366.3572692871094
2016-03-30,358.6884765625
2016-03-31,359.4463806152344
2016-04-01,404.1328430175781
2016-04-04,404.1827087402344
2016-04-05,402.5372619628906
2016-04-06,426.0223693847656
2016-04-07,417.326416015625
2016-04-08,403.8236999511719
2016-04-11,395.0479736328125
2016-04-12,406.9450988769531
2016-04-13,409.3883361816406
2016-04-14,405.70849609375
