Date,IEX
2015-08-03,65.8940658569336
2015-08-04,65.73571014404297
2015-08-05,66.43079376220703
2015-08-06,65.76210021972656
2015-08-07,65.29576873779297
2015-08-10,66.78274536132812
2015-08-11,65.8324966430664
2015-08-12,65.87648010253906
2015-08-13,65.8324966430664
2015-08-14,66.14923858642578
2015-08-17,66.57157135009766
2015-08-18,66.36922454833984
2015-08-19,65.73571014404297
2015-08-20,63.84394454956055
2015-08-21,62.33056640625
2015-08-24,61.16914367675781
2015-08-25,61.15153884887695
2015-08-26,61.468299865722656
2015-08-27,62.744102478027344
2015-08-28,63.02566146850586
2015-08-31,63.20164489746094
2015-09-01,60.588409423828125
2015-09-02,61.4418830871582
2015-09-03,61.88185501098633
2015-09-04,60.97557067871094
2015-09-08,62.46254348754883
2015-09-09,62.17219924926758
2015-09-10,61.873023986816406
2015-09-11,62.1193733215332
2015-09-14,61.72344207763672
2015-09-15,62.83212661743164
2015-09-16,64.09030151367188
2015-09-17,63.307228088378906
2015-09-18,62.700103759765625
2015-09-21,62.964073181152344
2015-09-22,61.873023986816406
2015-09-23,60.694000244140625
2015-09-24,60.88759231567383
2015-09-25,61.18673324584961
2015-09-28,60.81718826293945
2015-09-29,61.84663009643555
2015-09-30,62.73529052734375
2015-10-01,61.83782196044922
2015-10-02,63.50959014892578
2015-10-05,65.77969360351562
2015-10-06,65.7884750366211
2015-10-07,67.23149871826172
2015-10-08,69.69515228271484
2015-10-09,68.4281234741211
2015-10-12,67.17871856689453
2015-10-13,66.89715576171875
2015-10-14,66.09307098388672
2015-10-15,66.15491485595703
2015-10-16,66.2520980834961
2015-10-19,66.19026184082031
2015-10-20,66.17257690429688
2015-10-21,66.0842056274414
2015-10-22,67.33894348144531
2015-10-23,67.72772979736328
2015-10-26,67.85143280029297
2015-10-27,67.4626693725586
2015-10-28,67.86909484863281
2015-10-29,67.6747055053711
2015-10-30,67.82490539550781
2015-11-02,68.25789642333984
2015-11-03,68.39041137695312
2015-11-04,68.19600677490234
2015-11-05,68.54064178466797
2015-11-06,68.27556610107422
2015-11-09,67.922119140625
2015-11-10,68.33740234375
2015-11-11,67.9486312866211
2015-11-12,66.53488159179688
2015-11-13,66.56137084960938
2015-11-16,67.20641326904297
2015-11-17,67.14453125
2015-11-18,68.46109771728516
2015-11-19,68.92059326171875
2015-11-20,69.22098541259766
2015-11-23,68.94709014892578
