Date,HTG.L
2015-08-24,383.514404296875
2015-08-25,413.6604309082031
2015-08-26,432.22723388671875
2015-08-27,489.5248107910156
2015-08-28,517.0755615234375
2015-09-01,491.8207702636719
2015-09-02,488.9259033203125
2015-09-03,494.9152526855469
2015-09-04,468.9615173339844
2015-09-07,459.67816162109375
2015-09-08,463.37152099609375
2015-09-09,453.4892578125
2015-09-10,429.2326354980469
2015-09-11,414.2593688964844
2015-09-14,402.7799072265625
2015-09-15,437.31817626953125
2015-09-16,470.2592468261719
2015-09-17,437.91705322265625
2015-09-18,426.7370910644531
2015-09-21,426.7370910644531
2015-09-22,414.65863037109375
2015-09-23,393.39666748046875
2015-09-24,389.3039855957031
2015-09-25,400.88330078125
2015-09-28,386.0099182128906
2015-09-29,395.2933044433594
2015-09-30,400.1846008300781
2015-10-01,404.6764831542969
2015-10-02,406.3735046386719
2015-10-05,423.64251708984375
2015-10-06,440.9117736816406
2015-10-07,454.088134765625
2015-10-08,444.73052978515625
2015-10-09,453.01611328125
2015-10-12,439.3398132324219
2015-10-13,437.0438232421875
2015-10-14,439.6392822265625
2015-10-15,443.5326232910156
2015-10-16,429.3571472167969
2015-10-19,409.5912780761719
2015-10-20,399.3091125488281
2015-10-21,393.2196044921875
2015-10-22,403.1025695800781
2015-10-23,402.6033630371094
2015-10-26,384.03558349609375
2015-10-27,355.4848937988281
2015-10-28,373.8531188964844
2015-10-29,362.073486328125
2015-10-30,359.1785583496094
2015-11-02,359.0787353515625
2015-11-03,366.5657653808594
2015-11-04,372.2558898925781
2015-11-05,346.9996337890625
2015-11-06,343.7052307128906
2015-11-09,355.9841003417969
2015-11-10,344.30426025390625
2015-11-11,328.8310241699219
2015-11-12,318.2493591308594
2015-11-13,311.26141357421875
2015-11-16,308.7657165527344
2015-11-17,314.4559326171875
2015-11-18,347.3988952636719
2015-11-19,338.9136657714844
2015-11-20,336.7174072265625
2015-11-23,340.4109802246094
2015-11-24,344.1045227050781
2015-11-25,336.41796875
2015-11-26,339.4127197265625
2015-11-27,334.2217102050781
2015-11-30,331.3267517089844
2015-12-01,332.7242431640625
2015-12-02,323.34051513671875
2015-12-03,322.1426086425781
2015-12-04,321.8430480957031
2015-12-07,306.7691650390625
2015-12-08,299.8811340332031
2015-12-09,299.98095703125
2015-12-10,303.2752380371094
2015-12-11,289.39923095703125
2015-12-14,284.40789794921875
2015-12-15,289.79852294921875
2015-12-16,287.8020935058594
2015-12-17,275.22381591796875
2015-12-18,275.0240783691406
2015-12-21,284.5077819824219
2015-12-22,294.9895935058594
2015-12-23,311.960205078125
2015-12-24,318.6985778808594
2015-12-29,306.71929931640625
2015-12-30,296.7365417480469
2015-12-31,304.9722900390625
2016-01-04,299.2322692871094
2016-01-05,292.99298095703125
2016-01-06,275.273681640625
2016-01-07,264.0431823730469
2016-01-08,245.8246612548828
2016-01-11,245.3255157470703
2016-01-12,240.33416748046875
2016-01-13,247.57164001464844
2016-01-14,252.0638885498047
2016-01-15,253.06210327148438
2016-01-18,249.81773376464844
2016-01-19,255.05868530273438
2016-01-20,239.33590698242188
2016-01-21,252.56300354003906
2016-01-22,279.516357421875
2016-01-25,271.5301818847656
2016-01-26,280.76416015625
2016-01-27,277.7693786621094
2016-01-28,293.9913024902344
2016-01-29,305.7210388183594
2016-02-01,301.4783630371094
2016-02-02,288.7503662109375
2016-02-03,289.9981994628906
2016-02-04,320.4455261230469
2016-02-05,335.1700439453125
2016-02-08,316.70208740234375
2016-02-09,298.2339782714844
2016-02-10,282.2616271972656
2016-02-11,270.2823486328125
2016-02-12,292.99298095703125
2016-02-15,304.47320556640625
2016-02-16,304.72271728515625
2016-02-17,311.7106628417969
2016-02-18,307.468017578125
2016-02-19,292.2442626953125
2016-02-22,303.47491455078125
2016-02-23,303.47491455078125
2016-02-24,294.49041748046875
2016-02-25,303.225341796875
2016-02-26,340.1614074707031
2016-02-29,351.1424255371094
2016-03-01,353.8876953125
2016-03-02,362.37298583984375
2016-03-03,413.2849426269531
2016-03-04,429.2572937011719
2016-03-07,409.5414123535156
2016-03-08,385.8323974609375
2016-03-09,387.82891845703125
2016-03-10,374.1026611328125
2016-03-11,378.3453369140625
2016-03-14,382.33843994140625
2016-03-15,366.865234375
2016-03-16,368.36260986328125
2016-03-17,389.32635498046875
2016-03-18,389.32635498046875
2016-03-21,383.5863037109375
2016-03-22,361.87384033203125
2016-03-23,323.1907958984375
2016-03-24,305.4714660644531
2016-03-29,291.7452392578125
2016-03-30,314.70550537109375
2016-03-31,319.6968688964844
2016-04-01,315.7037048339844
2016-04-04,309.2149963378906
2016-04-05,300.2305603027344
2016-04-06,309.96368408203125
2016-04-07,301.228759765625
2016-04-08,316.70208740234375
2016-04-11,313.4576416015625
2016-04-12,324.1890869140625
2016-04-13,345.40234375
2016-04-14,347.3988952636719
2016-04-15,347.8980407714844
2016-04-18,352.3902587890625
2016-04-19,372.6053466796875
2016-04-20,384.3350830078125
2016-04-21,379.59320068359375
2016-04-22,368.8617858886719
2016-04-25,361.1251220703125
2016-04-26,362.37298583984375
2016-04-27,363.3713073730469
2016-04-28,381.0906066894531
2016-04-29,365.866943359375
2016-05-03,350.1441345214844
2016-05-04,357.132080078125
2016-05-05,355.3851318359375
2016-05-06,351.6415710449219
2016-05-09,330.67779541015625
2016-05-10,327.18389892578125
2016-05-11,338.66400146484375
2016-05-12,297.73480224609375
2016-05-13,267.03802490234375
2016-05-16,276.521484375
2016-05-17,283.50946044921875
2016-05-18,295.4886779785156
2016-05-19,295.2391662597656
2016-05-20,291.9947509765625
2016-05-23,288.7503662109375
2016-05-24,290.7469482421875
2016-05-25,312.45941162109375
2016-05-26,305.7210388183594
2016-05-27,307.2183837890625
2016-05-31,309.2149963378906
2016-06-01,312.95849609375
2016-06-02,314.95501708984375
2016-06-03,309.96368408203125
2016-06-06,327.6829833984375
2016-06-07,370.6087341308594
2016-06-08,382.8375549316406
2016-06-09,375.1278991699219
2016-06-10,376.6253356933594
2016-06-13,352.6651611328125
2016-06-14,363.6468811035156
2016-06-15,364.6452331542969
2016-06-16,349.42047119140625
2016-06-17,379.370849609375
2016-06-20,392.3493347167969
2016-06-21,397.5906982421875
2016-06-22,434.5293273925781
2016-06-23,439.2714538574219
2016-06-24,419.30462646484375
2016-06-27,410.06988525390625
2016-06-28,411.0682373046875
2016-06-29,447.2582702636719
2016-06-30,479.2052917480469
2016-07-01,475.7110290527344
2016-07-04,484.6961669921875
2016-07-05,445.2615661621094
2016-07-06,434.0301513671875
2016-07-07,440.5194091796875
2016-07-08,439.2714538574219
2016-07-11,451.2516174316406
2016-07-12,457.7408752441406
2016-07-13,457.24163818359375
2016-07-14,463.7309265136719
2016-07-15,451.5011901855469
2016-07-18,467.7242736816406
2016-07-19,455.7441711425781
2016-07-20,448.0069580078125
2016-07-21,470.46978759765625
2016-07-22,448.7557678222656
2016-07-25,434.2797546386719
2016-07-26,427.7905578613281
2016-07-27,449.2549133300781
2016-07-28,408.8219909667969
2016-07-29,407.3244934082031
2016-08-01,409.8203125
2016-08-02,405.8269348144531
2016-08-03,417.0583801269531
2016-08-04,418.3062438964844
2016-08-05,425.54425048828125
