Date,VOD.L
2015-08-24,213.15847778320312
2015-08-25,217.7782745361328
2015-08-26,215.3938751220703
2015-08-27,223.88839721679688
2015-08-28,225.22964477539062
2015-09-01,218.5730743408203
2015-09-02,220.6097869873047
2015-09-03,225.42831420898438
2015-09-04,221.6033172607422
2015-09-07,224.1864776611328
2015-09-08,225.72640991210938
2015-09-09,228.11085510253906
2015-09-10,225.62705993652344
2015-09-11,222.49745178222656
2015-09-14,219.81497192382812
2015-09-15,217.03314208984375
2015-09-16,217.7285919189453
2015-09-17,214.79774475097656
2015-09-18,215.34417724609375
2015-09-21,215.98995971679688
2015-09-22,210.52557373046875
2015-09-23,214.59901428222656
2015-09-24,211.0223846435547
2015-09-25,216.23831176757812
2015-09-28,205.85610961914062
2015-09-29,203.0245819091797
2015-09-30,207.09799194335938
2015-10-01,202.97491455078125
2015-10-02,204.8129119873047
2015-10-05,211.12173461914062
2015-10-06,212.1649169921875
2015-10-07,207.04830932617188
2015-10-08,208.63796997070312
2015-10-09,210.57528686523438
2015-10-12,209.43276977539062
2015-10-13,208.58824157714844
2015-10-14,202.82589721679688
2015-10-15,205.75674438476562
2015-10-16,207.94248962402344
2015-10-19,207.04830932617188
2015-10-20,207.19735717773438
2015-10-21,206.70062255859375
2015-10-22,213.7048797607422
2015-10-23,216.58607482910156
2015-10-26,215.19517517089844
2015-10-27,213.9532470703125
2015-10-28,215.89060974121094
2015-10-29,214.69837951660156
2015-10-30,212.86036682128906
2015-11-02,213.5061492919922
2015-11-03,214.00291442871094
2015-11-04,215.84091186523438
2015-11-05,215.14547729492188
2015-11-06,214.79774475097656
2015-11-09,213.05908203125
2015-11-10,221.3549041748047
2015-11-11,222.99423217773438
2015-11-12,220.16273498535156
2015-11-13,218.970458984375
2015-11-16,219.81497192382812
2015-11-17,224.08714294433594
2015-11-18,222.54714965820312
2015-11-19,220.0995330810547
2015-11-20,222.08688354492188
2015-11-23,220.79507446289062
2015-11-24,217.91343688964844
2015-11-25,221.4906463623047
2015-11-26,223.57737731933594
2015-11-27,224.37228393554688
2015-11-30,222.83212280273438
2015-12-01,220.59634399414062
2015-12-02,220.89443969726562
2015-12-03,216.96942138671875
2015-12-04,214.18714904785156
2015-12-07,216.62161254882812
2015-12-08,215.3298797607422
2015-12-09,214.43556213378906
2015-12-10,211.30548095703125
2015-12-11,206.83392333984375
2015-12-14,202.46176147460938
2015-12-15,208.17539978027344
2015-12-16,211.45455932617188
2015-12-17,213.39219665527344
2015-12-18,209.9639892578125
2015-12-21,208.5728759765625
2015-12-22,209.36781311035156
2015-12-23,214.23681640625
2015-12-24,215.2801971435547
2015-12-29,217.36688232421875
2015-12-30,216.1248016357422
2015-12-31,219.60267639160156
2016-01-04,214.63426208496094
2016-01-05,218.31089782714844
2016-01-06,217.76438903808594
2016-01-07,216.82037353515625
2016-01-08,221.63973999023438
2016-01-11,219.4039764404297
2016-01-12,219.90078735351562
2016-01-13,221.09320068359375
2016-01-14,218.8077392578125
2016-01-15,214.8827362060547
2016-01-18,212.1003875732422
2016-01-19,215.42926025390625
2016-01-20,208.523193359375
2016-01-21,212.3985137939453
2016-01-22,218.0624542236328
2016-01-25,217.11849975585938
2016-01-26,217.2675323486328
2016-01-27,221.7887725830078
2016-01-28,213.93873596191406
2016-01-29,222.48435974121094
2016-02-01,224.0245819091797
2016-02-02,220.14920043945312
2016-02-03,211.5539093017578
2016-02-04,208.920654296875
2016-02-05,205.69119262695312
2016-02-08,198.9341583251953
2016-02-09,199.87814331054688
2016-02-10,200.82220458984375
2016-02-11,199.3316650390625
2016-02-12,204.1510009765625
2016-02-15,208.12574768066406
2016-02-16,209.66590881347656
2016-02-17,215.92608642578125
2016-02-18,214.18714904785156
2016-02-19,211.60362243652344
2016-02-22,214.28646850585938
2016-02-23,212.547607421875
2016-02-24,209.516845703125
2016-02-25,216.62161254882812
2016-02-26,217.46627807617188
2016-02-29,218.31089782714844
2016-03-01,221.1925811767578
2016-03-02,220.2982635498047
2016-03-03,219.85107421875
2016-03-04,219.85107421875
2016-03-07,216.91976928710938
2016-03-08,216.27383422851562
2016-03-09,214.03805541992188
2016-03-10,211.30548095703125
2016-03-11,215.97579956054688
2016-03-14,218.21153259277344
2016-03-15,218.5095977783203
2016-03-16,218.85743713378906
2016-03-17,218.31089782714844
2016-03-18,215.97579956054688
2016-03-21,215.57830810546875
2016-03-22,216.7707061767578
2016-03-23,219.35427856445312
2016-03-24,216.96942138671875
2016-03-29,216.4725799560547
2016-03-30,221.09320068359375
2016-03-31,219.80140686035156
2016-04-01,218.8077392578125
2016-04-04,218.31089782714844
2016-04-05,214.78330993652344
2016-04-06,218.36056518554688
2016-04-07,221.34164428710938
2016-04-08,226.06161499023438
