Date,MKS.L
2015-08-24,466.5746765136719
2015-08-25,475.4780578613281
2015-08-26,474.0572509765625
2015-08-27,495.8421630859375
2015-08-28,493.9478759765625
2015-09-01,478.79315185546875
2015-09-02,478.79315185546875
2015-09-03,486.3704833984375
2015-09-04,475.95166015625
2015-09-07,478.3196105957031
2015-09-08,479.7403564453125
2015-09-09,480.6875
2015-09-10,484.0025634765625
2015-09-11,478.3196105957031
2015-09-14,466.76416015625
2015-09-15,462.9754638671875
2015-09-16,466.5746765136719
2015-09-17,468.94256591796875
2015-09-18,465.1539001464844
2015-09-21,466.85882568359375
2015-09-22,450.8516540527344
2015-09-23,462.5965576171875
2015-09-24,458.7132263183594
2015-09-25,474.5308837890625
2015-09-28,465.9116516113281
2015-09-29,462.5965576171875
2015-09-30,474.5308837890625
2015-10-01,474.5308837890625
2015-10-02,479.7403564453125
2015-10-05,487.7912902832031
2015-10-06,492.0534973144531
2015-10-07,472.73126220703125
2015-10-08,465.9116516113281
2015-10-09,466.2905578613281
2015-10-12,467.6165771484375
2015-10-13,464.9645080566406
2015-10-14,459.565673828125
2015-10-15,464.017333984375
2015-10-16,465.059326171875
2015-10-19,464.9645080566406
2015-10-20,465.1539001464844
2015-10-21,467.4271240234375
2015-10-22,475.95166015625
2015-10-23,490.15911865234375
2015-10-26,488.2648620605469
2015-10-27,484.9497985839844
2015-10-28,484.0025634765625
2015-10-29,484.4761657714844
2015-10-30,485.8968505859375
2015-11-02,492.527099609375
2015-11-03,493.0006408691406
2015-11-04,506.7345886230469
2015-11-05,511.4704895019531
2015-11-06,513.8383178710938
2015-11-09,508.6288757324219
2015-11-10,504.3666076660156
2015-11-11,498.2101135253906
2015-11-12,487.3807067871094
2015-11-13,485.01251220703125
2015-11-16,482.1705017089844
2015-11-17,490.69610595703125
2015-11-18,487.8543701171875
2015-11-19,492.11712646484375
2015-11-20,487.3807067871094
2015-11-23,481.6968688964844
2015-11-24,469.8558349609375
2015-11-25,474.1185607910156
2015-11-26,475.0658874511719
2015-11-27,473.64495849609375
2015-11-30,476.0132141113281
2015-12-01,480.7496643066406
2015-12-02,483.11785888671875
2015-12-03,474.5922546386719
2015-12-04,471.0872497558594
2015-12-07,468.7189636230469
2015-12-08,459.9092102050781
2015-12-09,457.0673828125
2015-12-10,449.773193359375
2015-12-11,440.58465576171875
2015-12-14,431.67999267578125
2015-12-15,438.21630859375
2015-12-16,435.9428405761719
2015-12-17,433.85882568359375
2015-12-18,427.606689453125
2015-12-21,424.00689697265625
2015-12-22,419.5548095703125
2015-12-23,423.4386291503906
2015-12-24,429.5011901855469
2015-12-29,431.1116638183594
2015-12-30,432.5325012207031
2015-12-31,428.5539855957031
2016-01-04,412.3553161621094
2016-01-05,412.0711364746094
2016-01-06,415.57611083984375
2016-01-07,416.0497741699219
2016-01-08,407.9977722167969
2016-01-11,400.51416015625
2016-01-12,404.30340576171875
2016-01-13,406.1032409667969
2016-01-14,402.69287109375
2016-01-15,400.51416015625
2016-01-18,395.2093200683594
2016-01-19,399.4720764160156
2016-01-20,389.14678955078125
2016-01-21,395.4934997558594
2016-01-22,396.5355224609375
2016-01-25,395.7776794433594
2016-01-26,398.5248107910156
2016-01-27,404.2086181640625
2016-01-28,396.34613037109375
2016-01-29,401.74560546875
2016-02-01,402.4087829589844
2016-02-02,394.1673278808594
2016-02-03,387.9151916503906
2016-02-04,393.69366455078125
2016-02-05,393.4094543457031
2016-02-08,385.6416931152344
2016-02-09,389.52557373046875
2016-02-10,391.230712890625
2016-02-11,382.515625
2016-02-12,395.3988342285156
2016-02-15,402.4087829589844
2016-02-16,406.2925720214844
2016-02-17,413.77618408203125
2016-02-18,414.8182678222656
2016-02-19,409.608154296875
2016-02-22,404.30340576171875
2016-02-23,395.3988342285156
2016-02-24,390.2833557128906
2016-02-25,395.0198669433594
2016-02-26,400.04046630859375
2016-02-29,402.78759765625
2016-03-01,407.9030456542969
2016-03-02,407.0505676269531
2016-03-03,405.8190002441406
2016-03-04,401.6509094238281
2016-03-07,401.1772766113281
2016-03-08,396.34613037109375
2016-03-09,398.2406311035156
2016-03-10,385.26275634765625
2016-03-11,377.11614990234375
2016-03-14,387.2520751953125
2016-03-15,382.7998352050781
2016-03-16,388.7677001953125
2016-03-17,389.14678955078125
2016-03-18,395.3041687011719
2016-03-21,390.472900390625
2016-03-22,386.6837158203125
2016-03-23,391.0411682128906
2016-03-24,371.8112487792969
2016-03-29,383.17877197265625
2016-03-30,384.0312805175781
2016-03-31,384.78912353515625
2016-04-01,385.8312683105469
2016-04-04,388.7677001953125
2016-04-05,387.2520751953125
2016-04-06,398.2406311035156
2016-04-07,410.1765441894531
2016-04-08,420.7861328125
2016-04-11,420.0282897949219
2016-04-12,414.6288146972656
2016-04-13,422.4912109375
2016-04-14,422.5860595703125
2016-04-15,419.2704162597656
2016-04-18,419.1757507324219
2016-04-19,411.88165283203125
2016-04-20,415.2919616699219
2016-04-21,411.59747314453125
2016-04-22,405.4400634765625
2016-04-25,410.0818786621094
2016-04-26,410.460693359375
2016-04-27,414.7235107421875
2016-04-28,409.608154296875
2016-04-29,401.1772766113281
2016-05-03,397.8617858886719
2016-05-04,391.230712890625
2016-05-05,391.98846435546875
2016-05-06,391.98846435546875
2016-05-09,396.6302490234375
2016-05-10,396.4407653808594
2016-05-11,395.9671630859375
2016-05-12,401.84033203125
2016-05-13,404.1138610839844
2016-05-16,402.88238525390625
2016-05-17,407.0505676269531
2016-05-18,418.79693603515625
2016-05-19,416.1444396972656
2016-05-20,421.259765625
2016-05-23,417.849609375
2016-05-24,421.259765625
2016-05-25,378.3476257324219
2016-05-26,370.01141357421875
2016-05-27,366.22222900390625
2016-05-31,359.68597412109375
2016-06-01,351.3498229980469
2016-06-02,337.8454895019531
2016-06-03,337.8454895019531
2016-06-06,344.287841796875
2016-06-07,344.3826904296875
2016-06-08,355.7514953613281
2016-06-09,359.3515319824219
2016-06-10,347.9827575683594
2016-06-13,340.6877136230469
2016-06-14,330.3609313964844
2016-06-15,331.9715881347656
2016-06-16,327.8029479980469
2016-06-17,333.10845947265625
2016-06-20,347.793212890625
2016-06-21,344.85626220703125
2016-06-22,342.2982482910156
2016-06-23,347.03533935546875
2016-06-24,309.2337646484375
2016-06-27,270.2005615234375
2016-06-28,285.5485534667969
2016-06-29,299.7596435546875
2016-06-30,301.9387512207031
2016-07-01,303.2651062011719
2016-07-04,287.8222961425781
2016-07-05,284.4117431640625
2016-07-06,278.6324768066406
2016-07-07,283.1800842285156
2016-07-08,300.6122741699219
