Date,ACN
2015-08-03,87.6217269897461
2015-08-04,87.80001831054688
2015-08-05,88.71690368652344
2015-08-06,87.52835845947266
2015-08-07,88.07167053222656
2015-08-10,89.3111572265625
2015-08-11,87.93586730957031
2015-08-12,88.09713745117188
2015-08-13,87.77456665039062
2015-08-14,87.82549285888672
2015-08-17,87.85095977783203
2015-08-18,88.17357635498047
2015-08-19,87.33309173583984
2015-08-20,84.87108612060547
2015-08-21,82.46002960205078
2015-08-24,78.67363739013672
2015-08-25,78.22367858886719
2015-08-26,80.68569946289062
2015-08-27,81.271484375
2015-08-28,81.37337493896484
2015-08-31,80.031982421875
2015-09-01,78.35103607177734
2015-09-02,80.16781616210938
2015-09-03,81.16958618164062
2015-09-04,80.1847915649414
2015-09-08,82.45154571533203
2015-09-09,81.09317779541016
2015-09-10,82.1883544921875
2015-09-11,82.64678192138672
2015-09-14,81.93366241455078
2015-09-15,83.40237426757812
2015-09-16,84.01361846923828
2015-09-17,83.64857482910156
2015-09-18,82.79959869384766
2015-09-21,83.56368255615234
2015-09-22,82.9184799194336
2015-09-23,83.07978820800781
2015-09-24,83.00337219238281
2015-09-25,82.29871368408203
2015-09-28,81.45826721191406
2015-09-29,82.01008605957031
2015-09-30,83.41936492919922
2015-10-01,83.5721664428711
2015-10-02,84.37870025634766
2015-10-05,86.27188110351562
2015-10-06,86.17001342773438
2015-10-07,87.12085723876953
2015-10-08,89.1498794555664
2015-10-09,88.95460510253906
2015-10-12,89.18384552001953
2015-10-13,87.85095977783203
2015-10-14,87.89386749267578
2015-10-15,87.78231048583984
2015-10-16,88.39156341552734
2015-10-19,88.46878051757812
2015-10-20,88.78629302978516
2015-10-21,87.9710922241211
2015-10-22,91.35195922851562
2015-10-23,92.66482543945312
2015-10-26,92.64765930175781
2015-10-27,92.56185913085938
2015-10-28,94.15790557861328
2015-10-29,92.6305160522461
2015-10-30,91.98695373535156
2015-11-02,92.33016967773438
2015-11-03,92.08132934570312
2015-11-04,91.40341186523438
2015-11-05,91.03446197509766
2015-11-06,90.95723724365234
2015-11-09,89.99616241455078
2015-11-10,90.15923309326172
2015-11-11,90.1849594116211
2015-11-12,89.51564025878906
2015-11-13,88.5116958618164
2015-11-16,91.24040222167969
2015-11-17,91.20608520507812
2015-11-18,92.5704574584961
2015-11-19,92.05557250976562
2015-11-20,92.64765930175781
2015-11-23,92.5361099243164
2015-11-24,92.11563873291016
2015-11-25,91.901123046875
2015-11-27,92.21003723144531
2015-11-30,92.00408935546875
2015-12-01,92.78496551513672
2015-12-02,92.32157897949219
2015-12-03,90.89716339111328
