Date,JDW.L
2015-08-24,738.9298095703125
2015-08-25,747.42333984375
2015-08-26,744.4256591796875
2015-08-27,757.915283203125
2015-08-28,751.4202270507812
2015-09-01,757.4155883789062
2015-09-02,763.4110107421875
2015-09-03,770.4055786132812
2015-09-04,771.40478515625
2015-09-07,744.4256591796875
2015-09-08,715.4480590820312
2015-09-09,721.4432983398438
2015-09-10,719.44482421875
2015-09-11,715.4480590820312
2015-09-14,704.4564819335938
2015-09-15,703.9569091796875
2015-09-16,720.444091796875
2015-09-17,728.9375
2015-09-18,736.4317016601562
2015-09-21,722.9422607421875
2015-09-22,713.4495849609375
2015-09-23,705.4557495117188
2015-09-24,711.4511108398438
2015-09-25,719.944580078125
2015-09-28,725.93994140625
2015-09-29,724.4411010742188
2015-09-30,735.4324951171875
2015-10-01,745.4249267578125
2015-10-02,742.4271850585938
2015-10-05,748.9223022460938
2015-10-06,737.4310302734375
2015-10-07,716.4472045898438
2015-10-08,727.438720703125
2015-10-09,744.92529296875
2015-10-12,747.9228515625
2015-10-13,749.92138671875
2015-10-14,735.4324951171875
2015-10-15,750.920654296875
2015-10-16,739.9291381835938
2015-10-19,753.418701171875
2015-10-20,764.41015625
2015-10-21,761.4125366210938
2015-10-22,752.4984130859375
2015-10-23,771.4857788085938
2015-10-26,770.4864501953125
2015-10-27,761.4924926757812
2015-10-28,770.4864501953125
2015-10-29,768.4877319335938
2015-10-30,773.9841918945312
2015-11-02,776.4824829101562
2015-11-03,775.483154296875
2015-11-04,721.51904296875
2015-11-05,728.5145263671875
2015-11-06,714.5237426757812
2015-11-09,710.0267944335938
2015-11-10,710.0267944335938
2015-11-11,705.0301513671875
2015-11-12,701.532470703125
2015-11-13,698.534423828125
2015-11-16,696.5357666015625
2015-11-17,702.031982421875
2015-11-18,710.5263671875
2015-11-19,716.5223999023438
2015-11-20,717.5218505859375
2015-11-23,714.5237426757812
2015-11-24,715.523193359375
2015-11-25,710.5263671875
2015-11-26,714.5237426757812
2015-11-27,715.523193359375
2015-11-30,714.5237426757812
2015-12-01,719.0208740234375
2015-12-02,724.5171508789062
2015-12-03,735.5097045898438
2015-12-04,746.5023803710938
2015-12-07,754.4970703125
2015-12-08,759.4938354492188
2015-12-09,754.4970703125
2015-12-10,741.5057373046875
2015-12-11,745.503173828125
2015-12-14,757.4951171875
2015-12-15,760.9927978515625
2015-12-16,756.9954223632812
2015-12-17,756.9954223632812
2015-12-18,749.5004272460938
2015-12-21,747.5018310546875
2015-12-22,736.509033203125
2015-12-23,743.5045166015625
2015-12-24,762.991455078125
2015-12-29,759.4938354492188
2015-12-30,757.4951171875
2015-12-31,748.0013427734375
2016-01-04,723.5177612304688
2016-01-05,723.5177612304688
2016-01-06,720.0201416015625
2016-01-07,719.0208740234375
2016-01-08,711.5257568359375
2016-01-11,713.5244750976562
2016-01-12,703.5310668945312
2016-01-13,702.5316772460938
2016-01-14,695.0367431640625
2016-01-15,682.545166015625
2016-01-18,679.0474243164062
2016-01-19,674.0507202148438
2016-01-20,608.5943603515625
2016-01-21,609.5935668945312
2016-01-22,625.0833129882812
2016-01-25,634.5770874023438
2016-01-26,650.0665893554688
2016-01-27,664.55712890625
2016-01-28,669.5537109375
2016-01-29,676.549072265625
2016-02-01,686.5423583984375
2016-02-02,692.0387573242188
2016-02-03,691.5390625
2016-02-04,681.0460205078125
2016-02-05,693.0382690429688
2016-02-08,688.0413818359375
2016-02-09,681.0460205078125
2016-02-10,694.5369873046875
2016-02-11,698.0347290039062
2016-02-12,708.0281982421875
2016-02-15,720.5197143554688
2016-02-16,719.5203247070312
2016-02-17,722.0188598632812
2016-02-18,714.5237426757812
2016-02-19,717.0221557617188
2016-02-22,718.5210571289062
2016-02-23,710.5263671875
2016-02-24,717.0221557617188
2016-02-25,721.01953125
2016-02-26,721.51904296875
2016-02-29,719.0208740234375
2016-03-01,719.5203247070312
2016-03-02,721.01953125
2016-03-03,723.0181274414062
2016-03-04,718.5210571289062
2016-03-07,724.0174560546875
2016-03-08,718.0214233398438
2016-03-09,699.0341186523438
2016-03-10,691.5390625
2016-03-11,695.5364379882812
2016-03-14,699.53369140625
2016-03-15,689.5404052734375
2016-03-16,699.53369140625
2016-03-17,697.5350952148438
2016-03-18,704.5304565429688
2016-03-21,700.5331420898438
2016-03-22,695.0367431640625
2016-03-23,694.0374755859375
2016-03-24,698.534423828125
2016-03-29,696.0360717773438
2016-03-30,702.5316772460938
2016-03-31,703.0314331054688
2016-04-01,699.0341186523438
2016-04-04,690.5397338867188
2016-04-05,682.04541015625
2016-04-06,701.03271484375
2016-04-07,699.53369140625
2016-04-08,692.5383911132812
2016-04-11,694.5369873046875
2016-04-12,686.5423583984375
2016-04-13,695.0367431640625
2016-04-14,693.0382690429688
2016-04-15,693.53759765625
2016-04-18,699.0341186523438
2016-04-19,698.534423828125
2016-04-20,692.5383911132812
2016-04-21,689.5404052734375
2016-04-22,692.0387573242188
2016-04-25,697.035400390625
2016-04-26,694.5369873046875
2016-04-27,699.53369140625
2016-04-28,694.0770874023438
2016-04-29,662.5963134765625
2016-05-03,679.0862426757812
2016-05-04,699.5736694335938
2016-05-05,714.5645751953125
2016-05-06,708.5681762695312
2016-05-09,707.0692138671875
2016-05-10,706.0697631835938
2016-05-11,707.5687866210938
2016-05-12,709.567626953125
2016-05-13,702.5718383789062
2016-05-16,704.0709838867188
2016-05-17,716.0636596679688
2016-05-18,717.0631713867188
2016-05-19,724.058837890625
2016-05-20,735.5517578125
2016-05-23,742.0478515625
2016-05-24,741.5481567382812
2016-05-25,750.5426635742188
