Date,CRES.BA
2015-08-24,9.056768417358398
2015-08-25,8.786417007446289
2015-08-26,9.056768417358398
2015-08-27,9.800235748291016
2015-08-28,9.52988338470459
2015-08-31,9.800235748291016
2015-09-01,9.800235748291016
2015-09-02,9.834029197692871
2015-09-03,8.921591758728027
2015-09-04,9.394707679748535
2015-09-07,9.462295532226562
2015-09-08,9.800235748291016
2015-09-09,9.631264686584473
2015-09-10,9.665059089660645
2015-09-11,9.563676834106445
2015-09-14,9.191943168640137
2015-09-15,9.056768417358398
2015-09-16,9.293325424194336
2015-09-17,9.394707679748535
2015-09-18,9.327119827270508
2015-09-21,9.394707679748535
2015-09-22,8.786417007446289
2015-09-23,8.178126335144043
2015-09-24,8.448476791381836
2015-09-25,8.9553861618042
2015-09-28,8.786417007446289
2015-09-29,8.854004859924316
2015-09-30,9.056768417358398
2015-10-01,8.854004859924316
2015-10-02,8.786417007446289
2015-10-05,9.225737571716309
2015-10-06,9.124357223510742
2015-10-07,9.394707679748535
2015-10-08,9.800235748291016
2015-10-09,9.800235748291016
2015-10-13,10.104379653930664
2015-10-14,9.6988525390625
2015-10-15,9.6988525390625
2015-10-16,10.27334976196289
2015-10-19,10.47611141204834
2015-10-20,10.47611141204834
2015-10-21,10.340936660766602
2015-10-22,10.408524513244629
2015-10-23,10.543702125549316
2015-10-26,10.949228286743164
2015-10-27,11.016815185546875
2015-10-28,11.827868461608887
2015-10-29,11.489931106567383
2015-10-30,11.76028060913086
2015-11-02,12.030632972717285
2015-11-03,12.300985336303711
2015-11-04,12.098221778869629
2015-11-05,12.098221778869629
2015-11-09,12.503747940063477
2015-11-10,12.706510543823242
2015-11-11,13.314802169799805
2015-11-12,13.112037658691406
2015-11-13,12.909276008605957
2015-11-16,12.638924598693848
2015-11-17,12.841687202453613
2015-11-18,12.706510543823242
2015-11-19,12.132014274597168
2015-11-20,11.287166595458984
2015-11-24,10.98302173614502
2015-11-25,10.915433883666992
2015-11-26,11.422342300415039
2015-11-27,11.422342300415039
2015-11-30,11.287166595458984
2015-12-01,11.15199089050293
2015-12-02,12.098221778869629
2015-12-03,11.827868461608887
2015-12-04,12.165807723999023
2015-12-09,12.165807723999023
2015-12-10,12.098221778869629
2015-12-11,11.929250717163086
2015-12-14,11.489931106567383
2015-12-15,11.287166595458984
2015-12-16,11.118197441101074
2015-12-17,11.827868461608887
2015-12-18,11.422342300415039
2015-12-21,11.625105857849121
2015-12-22,11.489931106567383
2015-12-23,11.963045120239258
2015-12-28,12.165807723999023
2015-12-29,12.165807723999023
2015-12-30,11.99683952331543
2016-01-04,11.76028060913086
2016-01-05,11.658900260925293
2016-01-06,11.489931106567383
2016-01-07,11.016815185546875
2016-01-08,11.016815185546875
2016-01-11,10.47611141204834
2016-01-12,10.002998352050781
2016-01-13,9.191943168640137
2016-01-14,9.800235748291016
2016-01-15,9.056768417358398
2016-01-18,8.989179611206055
2016-01-19,8.989179611206055
2016-01-20,8.583654403686523
2016-01-21,8.685035705566406
2016-01-22,9.225737571716309
2016-01-25,9.225737571716309
2016-01-26,9.259532928466797
2016-01-27,9.462295532226562
2016-01-28,9.327119827270508
2016-01-29,9.86782169342041
2016-02-01,10.070586204528809
2016-02-02,9.86782169342041
2016-02-03,9.6988525390625
2016-02-04,9.800235748291016
2016-02-05,9.935410499572754
2016-02-10,9.86782169342041
2016-02-11,9.6988525390625
2016-02-12,10.138172149658203
2016-02-15,10.239556312561035
2016-02-16,10.611288070678711
2016-02-17,10.678875923156738
2016-02-18,10.611288070678711
2016-02-19,10.47611141204834
2016-02-22,11.016815185546875
2016-02-23,10.949228286743164
2016-02-24,11.59131145477295
2016-02-25,12.098221778869629
2016-02-26,11.963045120239258
2016-02-29,12.571334838867188
2016-03-01,12.638924598693848
2016-03-02,12.165807723999023
2016-03-03,11.489931106567383
2016-03-04,11.692693710327148
2016-03-07,12.165807723999023
2016-03-08,12.030632972717285
2016-03-09,12.030632972717285
2016-03-10,11.692693710327148
2016-03-11,11.287166595458984
2016-03-14,11.15199089050293
2016-03-15,10.949228286743164
2016-03-16,11.185784339904785
2016-03-17,11.557517051696777
2016-03-18,11.287166595458984
2016-03-21,11.118197441101074
2016-03-22,11.625105857849121
2016-03-23,11.489931106567383
2016-03-28,11.354754447937012
2016-03-29,11.557517051696777
2016-03-30,11.15199089050293
2016-03-31,11.388548851013184
2016-04-01,11.287166595458984
2016-04-04,10.881640434265137
2016-04-05,10.509907722473145
2016-04-06,10.442317962646484
2016-04-07,10.138172149658203
2016-04-08,10.47611141204834
2016-04-11,10.47611141204834
2016-04-12,10.408524513244629
2016-04-13,10.746463775634766
2016-04-14,10.881640434265137
2016-04-15,10.611288070678711
2016-04-18,10.442317962646484
2016-04-19,10.746463775634766
2016-04-20,10.509907722473145
2016-04-21,10.881640434265137
2016-04-22,10.746463775634766
