Date,XEL
2015-08-03,25.277475357055664
2015-08-04,24.99930191040039
2015-08-05,25.19694709777832
2015-08-06,25.497089385986328
2015-08-07,25.804546356201172
2015-08-10,25.57761001586914
2015-08-11,25.892385482788086
2015-08-12,26.14861297607422
2015-08-13,26.031478881835938
2015-08-14,26.20716667175293
2015-08-17,26.34626579284668
2015-08-18,26.28769302368164
2015-08-19,26.58783721923828
2015-08-20,26.360902786254883
2015-08-21,26.031478881835938
2015-08-24,24.96269416809082
2015-08-25,24.21600914001465
2015-08-26,24.552753448486328
2015-08-27,24.889493942260742
2015-08-28,24.852895736694336
2015-08-31,24.69183921813965
2015-09-01,24.142810821533203
2015-09-02,24.230653762817383
2015-09-03,24.369733810424805
2015-09-04,23.886592864990234
2015-09-08,24.21600914001465
2015-09-09,23.83534812927246
2015-09-10,23.945154190063477
2015-09-11,24.274574279785156
2015-09-14,24.274574279785156
2015-09-15,24.474153518676758
2015-09-16,24.658950805664062
2015-09-17,25.013751983642578
2015-09-18,24.8585262298584
2015-09-21,25.21332359313965
2015-09-22,25.072887420654297
2015-09-23,25.21332359313965
2015-09-24,25.42769432067871
2015-09-25,25.804668426513672
2015-09-28,25.605093002319336
2015-09-29,25.649444580078125
2015-09-30,26.17426300048828
2015-10-01,25.878583908081055
2015-10-02,26.115135192871094
2015-10-05,26.24817657470703
2015-10-06,25.90076446533203
2015-10-07,25.893373489379883
2015-10-08,26.24817657470703
2015-10-09,26.063392639160156
2015-10-12,26.492101669311523
2015-10-13,26.5290584564209
2015-10-14,26.60298728942871
2015-10-15,26.86908721923828
2015-10-16,26.928224563598633
2015-10-19,26.80255889892578
2015-10-20,27.0760555267334
2015-10-21,27.039094924926758
2015-10-22,27.453025817871094
2015-10-23,26.935606002807617
2015-10-26,27.186922073364258
2015-10-27,27.1425838470459
2015-10-28,26.639944076538086
2015-10-29,26.27035903930664
2015-10-30,26.336877822875977
2015-11-02,26.49949836730957
2015-11-03,26.5290584564209
2015-11-04,26.63254737854004
2015-11-05,26.691686630249023
2015-11-06,25.767717361450195
2015-11-09,25.878583908081055
2015-11-10,26.2999267578125
2015-11-11,26.647336959838867
2015-11-12,26.100343704223633
2015-11-13,25.878583908081055
2015-11-16,26.307313919067383
2015-11-17,26.0338134765625
2015-11-18,26.329484939575195
2015-11-19,26.403409957885742
2015-11-20,26.506893157958984
2015-11-23,26.29252815246582
2015-11-24,26.41079330444336
2015-11-25,26.240781784057617
2015-11-27,26.344270706176758
2015-11-30,26.359046936035156
2015-12-01,26.58819580078125
2015-12-02,26.0338134765625
2015-12-03,25.44247055053711
2015-12-04,25.849016189575195
2015-12-07,26.07077407836914
2015-12-08,26.026416778564453
2015-12-09,26.078161239624023
2015-12-10,25.71596908569336
2015-12-11,25.82684326171875
2015-12-14,26.08556365966797
2015-12-15,26.29252815246582
2015-12-16,26.92083168029785
2015-12-17,26.906042098999023
2015-12-18,26.314695358276367
2015-12-21,26.17426300048828
2015-12-22,26.353288650512695
2015-12-23,26.741159439086914
2015-12-24,26.65911102294922
2015-12-28,26.95747184753418
2015-12-29,27.01714515686035
2015-12-30,27.151411056518555
2015-12-31,26.785907745361328
2016-01-04,26.6292724609375
2016-01-05,26.897804260253906
2016-01-06,27.18124008178711
2016-01-07,27.285673141479492
2016-01-08,26.987314224243164
2016-01-11,27.20362663269043
2016-01-12,27.099201202392578
2016-01-13,26.935100555419922
2016-01-14,27.382648468017578
2016-01-15,27.226001739501953
2016-01-19,27.755611419677734
2016-01-20,27.31551170349121
2016-01-21,26.950016021728516
2016-01-22,27.322975158691406
2016-01-25,27.248380661010742
2016-01-26,27.427391052246094
2016-01-27,27.360273361206055
2016-01-28,28.024133682250977
2016-01-29,28.508989334106445
2016-02-01,28.76259422302246
2016-02-02,29.075878143310547
2016-02-03,29.277273178100586
2016-02-04,29.143007278442383
2016-02-05,29.486135482788086
2016-02-08,29.277273178100586
2016-02-09,29.553272247314453
2016-02-10,29.35186767578125
2016-02-11,29.08333969116211
2016-02-12,28.95652961730957
2016-02-16,28.9639892578125
2016-02-17,29.046045303344727
2016-02-18,29.56818199157715
2016-02-19,29.33694839477539
2016-02-22,29.590560913085938
2016-02-23,29.709915161132812
2016-02-24,29.76957893371582
2016-02-25,29.985904693603516
2016-02-26,29.29219627380371
2016-02-29,29.49359703063965
2016-03-01,29.433916091918945
2016-03-02,29.5308895111084
2016-03-03,29.53835105895996
2016-03-04,29.79195785522461
2016-03-07,29.881473541259766
2016-03-08,30.329025268554688
2016-03-09,30.373783111572266
2016-03-10,30.388700485229492
2016-03-11,30.3736515045166
2016-03-14,30.403743743896484
2016-03-15,30.46392250061035
2016-03-16,30.779842376708984
2016-03-17,31.216114044189453
2016-03-18,30.885154724121094
2016-03-21,30.87763214111328
2016-03-22,30.667011260986328
2016-03-23,30.93027114868164
2016-03-24,31.013017654418945
2016-03-28,30.960365295410156
2016-03-29,31.336463928222656
2016-03-30,31.261249542236328
2016-03-31,31.456817626953125
2016-04-01,31.54707908630371
2016-04-04,31.486909866333008
2016-04-05,30.802400588989258
2016-04-06,30.727188110351562
2016-04-07,30.682052612304688
2016-04-08,30.847532272338867
2016-04-11,30.689559936523438
2016-04-12,30.832496643066406
2016-04-13,30.60684585571289
2016-04-14,30.524089813232422
2016-04-15,30.712154388427734
2016-04-18,30.945314407348633
2016-04-19,30.960365295410156
2016-04-20,29.884727478027344
2016-04-21,29.042261123657227
2016-04-22,29.37323570251465
2016-04-25,29.448448181152344
2016-04-26,29.478546142578125
2016-04-27,29.869678497314453
