Date,SLHN.SW
2015-08-24,144.08535766601562
2015-08-25,148.5531005859375
2015-08-26,146.58204650878906
2015-08-27,149.80148315429688
2015-08-28,148.8816375732422
2015-08-31,148.75021362304688
2015-09-01,145.465087890625
2015-09-02,145.66220092773438
2015-09-03,147.30477905273438
2015-09-04,144.08535766601562
2015-09-07,144.54527282714844
2015-09-08,147.04196166992188
2015-09-09,149.07872009277344
2015-09-10,148.81593322753906
2015-09-11,147.9617919921875
2015-09-14,146.71343994140625
2015-09-15,148.8816375732422
2015-09-16,148.75021362304688
2015-09-17,148.6844940185547
2015-09-18,145.33367919921875
2015-09-21,146.516357421875
2015-09-22,143.09982299804688
2015-09-23,143.95394897460938
2015-09-24,140.07749938964844
2015-09-25,142.31137084960938
2015-09-28,140.01181030273438
2015-09-29,139.7489776611328
2015-09-30,142.8369903564453
2015-10-01,143.29693603515625
2015-10-02,143.62542724609375
2015-10-05,147.17337036132812
2015-10-06,149.14443969726562
2015-10-07,149.34152221679688
2015-10-08,150.26136779785156
2015-10-09,151.0498046875
2015-10-12,151.70681762695312
2015-10-13,148.75021362304688
2015-10-14,147.56756591796875
2015-10-15,147.63327026367188
2015-10-16,150.12998962402344
2015-10-19,150.12998962402344
2015-10-20,151.1155242919922
2015-10-21,151.64114379882812
2015-10-22,153.6779022216797
2015-10-23,153.74359130859375
2015-10-26,153.2179718017578
2015-10-27,152.10104370117188
2015-10-28,153.6779022216797
2015-10-29,154.66343688964844
2015-10-30,155.12335205078125
2015-11-02,156.89730834960938
2015-11-03,157.55435180664062
2015-11-04,157.48863220214844
2015-11-05,156.83163452148438
2015-11-06,158.27706909179688
2015-11-09,156.56878662109375
2015-11-10,155.9117889404297
2015-11-11,158.93408203125
2015-11-12,154.8605499267578
2015-11-13,155.45187377929688
2015-11-16,154.1378173828125
2015-11-17,157.48863220214844
2015-11-18,159.3282928466797
2015-11-19,160.3795623779297
2015-11-20,160.2481231689453
2015-11-23,161.693603515625
2015-11-24,159.98533630371094
2015-11-25,165.96424865722656
2015-11-26,168.1981201171875
2015-11-27,170.10350036621094
2015-11-30,170.4977264404297
2015-12-01,173.19151306152344
2015-12-02,173.78286743164062
2015-12-03,174.57125854492188
2015-12-04,173.78286743164062
2015-12-07,175.2283172607422
2015-12-08,173.97991943359375
2015-12-09,173.71713256835938
2015-12-10,173.6514129638672
2015-12-11,170.2349090576172
2015-12-14,167.93531799316406
2015-12-15,172.0745849609375
2015-12-16,172.403076171875
2015-12-17,175.62249755859375
2015-12-18,174.57125854492188
2015-12-21,173.6514129638672
2015-12-22,172.403076171875
2015-12-23,174.3084716796875
2015-12-28,174.70266723632812
2015-12-29,179.30186462402344
2015-12-30,178.25057983398438
2016-01-04,175.16256713867188
2016-01-05,175.29396057128906
2016-01-06,174.8997802734375
2016-01-07,171.9431915283203
2016-01-08,168.986572265625
2016-01-11,170.4320068359375
2016-01-12,172.9287109375
2016-01-13,174.7683563232422
2016-01-14,172.0088653564453
2016-01-15,172.3373565673828
2016-01-18,169.64356994628906
2016-01-19,172.3373565673828
2016-01-20,164.45309448242188
2016-01-21,166.88404846191406
2016-01-22,168.7237548828125
2016-01-25,168.13241577148438
2016-01-26,169.44647216796875
2016-01-27,169.05226135253906
2016-01-28,166.818359375
2016-01-29,170.56341552734375
2016-02-01,170.3006134033203
2016-02-02,168.59234619140625
2016-02-03,165.8985595703125
2016-02-04,162.0220947265625
2016-02-05,158.8026580810547
2016-02-08,153.4150848388672
2016-02-09,148.4217071533203
2016-02-10,151.64114379882812
2016-02-11,145.20230102539062
2016-02-12,147.698974609375
2016-02-15,151.70681762695312
2016-02-16,151.5097198486328
2016-02-17,156.37168884277344
2016-02-18,157.62005615234375
2016-02-19,156.24029541015625
