Date,ENI.MI
2015-08-24,7.039000034332275
2015-08-25,7.403270244598389
2015-08-26,7.226491451263428
2015-08-27,7.681830883026123
2015-08-28,7.719329833984375
2015-08-31,7.837181568145752
2015-09-01,7.703258037567139
2015-09-02,7.740756988525391
2015-09-03,7.928248405456543
2015-09-04,7.740756988525391
2015-09-07,7.794325828552246
2015-09-08,7.853251934051514
2015-09-09,7.960390567779541
2015-09-10,7.853251934051514
2015-09-11,7.794325828552246
2015-09-14,7.762185096740723
2015-09-15,7.933604717254639
2015-09-16,8.094314575195312
2015-09-17,8.030031204223633
2015-09-18,7.7728986740112305
2015-09-21,7.938161849975586
2015-09-22,7.629668712615967
2015-09-23,7.734336853027344
2015-09-24,7.4754252433776855
2015-09-25,7.706792831420898
2015-09-28,7.4754252433776855
2015-09-29,7.541530609130859
2015-09-30,7.7398457527160645
2015-10-01,7.728827476501465
2015-10-02,7.894089698791504
2015-10-05,8.235637664794922
2015-10-06,8.3733549118042
2015-10-07,8.417426109313965
2015-10-08,8.522093772888184
2015-10-09,8.5441255569458
2015-10-12,8.500057220458984
2015-10-13,8.505565643310547
2015-10-14,8.450480461120605
2015-10-15,8.560656547546387
2015-10-16,8.665321350097656
2015-10-19,8.5881986618042
2015-10-20,8.505565643310547
2015-10-21,8.511076927185059
2015-10-22,8.654303550720215
2015-10-23,8.555147171020508
2015-10-26,8.428444862365723
2015-10-27,8.202583312988281
2015-10-28,8.378864288330078
2015-10-29,8.279706954956055
2015-10-30,8.186055183410645
2015-11-02,8.180547714233398
2015-11-03,8.268688201904297
2015-11-04,8.20809268951416
2015-11-05,8.114444732666016
2015-11-06,8.20809268951416
2015-11-09,8.097914695739746
2015-11-10,8.230123519897461
2015-11-11,8.180547714233398
2015-11-12,7.954687595367432
2015-11-13,7.916128635406494
2015-11-16,7.910616397857666
2015-11-17,8.186055183410645
2015-11-18,8.180547714233398
2015-11-19,8.22461986541748
2015-11-20,8.164022445678711
2015-11-23,8.246655464172363
2015-11-24,8.290724754333496
2015-11-25,8.444968223571777
2015-11-26,8.500057220458984
2015-11-27,8.433953285217285
2015-11-30,8.494550704956055
2015-12-01,8.400898933410645
2015-12-02,8.46700382232666
2015-12-03,8.164022445678711
2015-12-04,8.04833698272705
2015-12-07,7.850019454956055
2015-12-08,7.65170431137085
2015-12-09,7.706792831420898
2015-12-10,7.712302207946777
2015-12-11,7.513984680175781
2015-12-14,7.293632984161377
2015-12-15,7.585599422454834
2015-12-16,7.580091953277588
2015-12-17,7.580091953277588
2015-12-18,7.436862945556641
2015-12-21,7.354228973388672
2015-12-22,7.436862945556641
2015-12-23,7.6902666091918945
2015-12-28,7.640686988830566
2015-12-29,7.734336853027344
2015-12-30,7.602127552032471
2015-12-31,7.602127552032471
2016-01-04,7.398301601409912
2016-01-05,7.464406967163086
2016-01-06,7.255072116851807
2016-01-07,7.199984550476074
2016-01-08,6.996158123016357
2016-01-11,6.96861457824707
2016-01-12,6.985141754150391
2016-01-13,7.06777286529541
2016-01-14,7.16693115234375
2016-01-15,6.91352653503418
2016-01-18,6.8364033699035645
2016-01-19,6.9300537109375
2016-01-20,6.698685169219971
2016-01-21,6.91352653503418
2016-01-22,7.144895553588867
2016-01-25,7.056756019592285
2016-01-26,7.2054924964904785
2016-01-27,7.238545894622803
2016-01-28,7.255072116851807
2016-01-29,7.315667152404785
2016-02-01,7.238545894622803
2016-02-02,6.891491889953613
2016-02-03,6.863948345184326
2016-02-04,7.018195629119873
2016-02-05,6.902511119842529
2016-02-08,6.654614448547363
2016-02-09,6.390193462371826
2016-02-10,6.406718730926514
2016-02-11,6.021104335784912
2016-02-12,6.42324686050415
2016-02-15,6.577491760253906
2016-02-16,6.527912616729736
