Date,EXE
2021-02-10,36.50529479980469
2021-02-11,34.728309631347656
2021-02-12,34.49300003051758
2021-02-16,35.33687210083008
2021-02-17,35.912967681884766
2021-02-18,34.89059829711914
2021-02-19,35.701995849609375
2021-02-22,35.57217788696289
2021-02-23,35.426124572753906
2021-02-24,36.51340866088867
2021-02-25,36.3105583190918
2021-02-26,35.84805679321289
2021-03-01,36.24564743041992
2021-03-02,36.7568359375
2021-03-03,38.339088439941406
2021-03-04,37.47087478637695
2021-03-05,36.53776168823242
2021-03-08,36.00222396850586
2021-03-09,35.929203033447266
2021-03-10,36.3105583190918
2021-03-11,36.78929138183594
2021-03-12,37.12196731567383
2021-03-15,37.12196731567383
2021-03-16,36.3592414855957
2021-03-17,36.7406005859375
2021-03-18,35.29629898071289
2021-03-19,35.14213180541992
2021-03-22,34.687744140625
2021-03-23,33.83576202392578
2021-03-24,33.754615783691406
2021-03-25,34.209007263183594
2021-03-26,35.158363342285156
2021-03-29,34.5011100769043
2021-03-30,35.004188537597656
2021-03-31,35.207054138183594
2021-04-01,36.45661163330078
2021-04-05,36.237525939941406
2021-04-06,36.683815002441406
2021-04-07,36.594547271728516
2021-04-08,36.78117370605469
2021-04-09,36.951568603515625
2021-04-12,36.87854766845703
2021-04-13,36.927223205566406
2021-04-14,37.4789924621582
2021-04-15,37.4789924621582
2021-04-16,37.040836334228516
2021-04-19,37.30048370361328
2021-04-20,37.089515686035156
2021-04-21,37.519554138183594
2021-04-22,37.38972854614258
2021-04-23,37.69805908203125
2021-04-26,38.03886032104492
2021-04-27,38.0307502746582
2021-04-28,37.47087478637695
2021-04-29,38.09566116333008
2021-04-30,36.97590637207031
2021-05-03,37.616920471191406
2021-05-04,37.32482147216797
2021-05-05,37.92526626586914
2021-05-06,38.550052642822266
2021-05-07,39.8969841003418
2021-05-10,40.2215576171875
2021-05-11,39.8077392578125
2021-05-12,40.148521423339844
2021-05-13,40.16476058959961
2021-05-14,39.653560638427734
2021-05-17,40.56234359741211
2021-05-18,41.62528991699219
2021-05-19,41.381866455078125
2021-05-20,40.96805191040039
2021-05-21,41.200069427490234
2021-05-24,41.29811096191406
2021-05-25,41.20824432373047
2021-05-26,43.13629913330078
2021-05-27,43.25883865356445
2021-05-28,43.13629913330078
2021-06-01,44.835609436035156
2021-06-02,43.642818450927734
2021-06-03,43.69185256958008
2021-06-04,44.46797180175781
2021-06-07,45.374820709228516
2021-06-08,45.350303649902344
2021-06-09,45.284942626953125
2021-06-10,45.407501220703125
2021-06-11,45.93035888671875
2021-06-14,45.61174011230469
2021-06-15,45.71794128417969
2021-06-16,44.190189361572266
2021-06-17,43.92060089111328
2021-06-18,43.38957214355469
2021-06-21,44.9990119934082
2021-06-22,43.79804992675781
2021-06-23,43.24251937866211
2021-06-24,43.37322235107422
2021-06-25,43.40590286254883
2021-06-28,41.665748596191406
2021-06-29,40.48113250732422
2021-06-30,42.4173583984375
2021-07-01,44.10850524902344
2021-07-02,44.598690032958984
2021-07-06,44.002288818359375
2021-07-07,44.32908630371094
2021-07-08,44.61503219604492
2021-07-09,44.77842330932617
2021-07-12,44.721229553222656
2021-07-13,43.961448669433594
2021-07-14,41.53502655029297
2021-07-15,41.436981201171875
2021-07-16,40.96315002441406
2021-07-19,39.950096130371094
2021-07-20,41.510520935058594
2021-07-21,43.26702117919922
2021-07-22,44.10032653808594
2021-07-23,44.7620849609375
2021-07-26,45.08070373535156
2021-07-27,44.90096664428711
2021-07-28,45.29310989379883
2021-07-29,45.211421966552734
2021-07-30,44.15751647949219
2021-08-02,43.5447883605957
2021-08-03,44.58235168457031
2021-08-04,44.508811950683594
2021-08-05,44.28823471069336
2021-08-06,44.96632766723633
2021-08-09,44.16568374633789
2021-08-10,45.34213638305664
2021-08-11,46.51857376098633
2021-08-12,48.04632568359375
2021-08-13,46.39603042602539
2021-08-16,45.61174011230469
2021-08-17,44.7457389831543
2021-08-18,42.82585144042969
2021-08-19,42.45821762084961
2021-08-20,43.03009033203125
2021-08-23,42.96760177612305
2021-08-24,43.3376579284668
2021-08-25,43.60902404785156
2021-08-26,43.67481994628906
2021-08-27,45.54153823852539
2021-08-30,45.05635452270508
2021-08-31,45.89515686035156
2021-09-01,46.55302047729492
2021-09-02,47.93456268310547
2021-09-03,48.54310607910156
2021-09-07,49.20098114013672
2021-09-08,50.0644416809082
2021-09-09,49.80951690673828
2021-09-10,48.96249771118164
2021-09-13,51.528221130371094
2021-09-14,50.73054504394531
2021-09-15,51.79137420654297
2021-09-16,50.31936264038086
2021-09-17,50.22068405151367
2021-09-20,49.110530853271484
2021-09-21,47.90989685058594
2021-09-22,48.15660095214844
2021-09-23,49.72728729248047
2021-09-24,48.1812744140625
2021-09-27,51.38019561767578
2021-09-28,51.067710876464844
2021-09-29,50.04800033569336
2021-09-30,50.648311614990234
2021-10-01,51.051265716552734
2021-10-04,53.156471252441406
2021-10-05,55.03141784667969
2021-10-06,52.60550308227539
2021-10-07,53.2469367980957
2021-10-08,54.09394454956055
2021-10-11,51.58578872680664
2021-10-12,51.067710876464844
2021-10-13,51.026588439941406
2021-10-14,52.638389587402344
2021-10-15,51.60222625732422
2021-10-18,51.96406173706055
2021-10-19,50.83744812011719
2021-10-20,51.240394592285156
2021-10-21,50.516727447509766
2021-10-22,51.04303741455078
2021-10-25,55.713966369628906
2021-10-26,55.57417297363281
2021-10-27,54.44755172729492
2021-10-28,54.50511169433594
2021-10-29,52.41636276245117
2021-11-01,54.102169036865234
2021-11-02,53.75678253173828
2021-11-03,55.549495697021484
