Date,CEATLTD.NS
2015-08-21,1059.98193359375
2015-08-24,925.6774291992188
2015-08-25,941.2647094726562
2015-08-26,970.218994140625
2015-08-27,1007.9185791015625
2015-08-28,997.496826171875
2015-08-31,994.5967407226562
2015-09-01,974.6141357421875
2015-09-02,1027.0401611328125
2015-09-03,1012.8575439453125
2015-09-04,991.0626220703125
2015-09-07,971.397216796875
2015-09-08,1007.0575561523438
2015-09-09,1033.3385009765625
2015-09-10,1105.837646484375
2015-09-11,1102.0767822265625
2015-09-14,1093.6939697265625
2015-09-15,1096.548828125
2015-09-16,1079.82861328125
2015-09-18,1086.897216796875
2015-09-21,1141.9967041015625
2015-09-22,1128.8560791015625
2015-09-23,1132.2996826171875
2015-09-24,1154.14013671875
2015-09-28,1140.4560546875
2015-09-29,1142.721435546875
2015-09-30,1161.7523193359375
2015-10-01,1140.7733154296875
2015-10-05,1152.237060546875
2015-10-06,1177.7021484375
2015-10-07,1167.7335205078125
2015-10-08,1147.02587890625
2015-10-09,1102.3031005859375
2015-10-12,1099.267333984375
2015-10-13,1105.0218505859375
2015-10-14,1103.390869140625
2015-10-15,1121.6060791015625
2015-10-16,1143.899658203125
2015-10-19,1131.8016357421875
2015-10-20,1146.437255859375
2015-10-21,1123.9169921875
2015-10-23,1110.550048828125
2015-10-26,1071.0379638671875
2015-10-27,1066.9151611328125
2015-10-28,1036.37451171875
2015-10-29,997.270263671875
2015-10-30,980.1424560546875
2015-11-02,1001.7108764648438
2015-11-03,1002.8435668945312
2015-11-04,967.4098510742188
2015-11-05,929.1210327148438
2015-11-06,919.1978149414062
2015-11-09,896.9495849609375
2015-11-10,883.4014282226562
2015-11-13,892.1466064453125
2015-11-16,891.2857055664062
2015-11-17,956.9879760742188
2015-11-18,945.252197265625
2015-11-19,950.6896362304688
2015-11-20,943.3943481445312
2015-11-23,956.8972778320312
2015-11-24,962.4707641601562
2015-11-26,936.4163208007812
2015-11-27,922.3243408203125
2015-11-30,933.42578125
2015-12-01,950.5083618164062
2015-12-02,968.4518432617188
2015-12-03,946.611572265625
2015-12-04,924.9977416992188
2015-12-07,940.2225952148438
2015-12-08,931.1148681640625
2015-12-09,895.227783203125
2015-12-10,923.4118041992188
2015-12-11,918.5634155273438
2015-12-14,923.72900390625
2015-12-15,920.6931762695312
2015-12-16,922.9586791992188
2015-12-17,939.2256469726562
2015-12-18,931.9757080078125
2015-12-21,938.9537963867188
2015-12-22,955.356689453125
2015-12-23,958.075439453125
2015-12-24,949.0584106445312
2015-12-28,962.380126953125
2015-12-29,955.175537109375
2015-12-30,950.644287109375
2015-12-31,952.8192749023438
2016-01-01,973.0282592773438
2016-01-04,968.3160400390625
2016-01-05,961.6550903320312
2016-01-06,968.9956665039062
2016-01-07,920.2852783203125
2016-01-08,910.498046875
2016-01-11,908.0511474609375
2016-01-12,920.2399291992188
2016-01-13,920.9649047851562
2016-01-14,908.64013671875
2016-01-15,872.3453979492188
2016-01-18,829.7067260742188
2016-01-19,817.291259765625
2016-01-20,806.642822265625
2016-01-21,811.31005859375
2016-01-22,838.4066772460938
2016-01-25,835.8239135742188
2016-01-27,830.6129150390625
2016-01-28,831.6552124023438
2016-01-29,852.36279296875
2016-02-01,837.998779296875
2016-02-02,834.7816162109375
2016-02-03,819.5115356445312
2016-02-04,807.95703125
2016-02-05,818.6958618164062
2016-02-08,827.848876953125
2016-02-09,822.6834106445312
2016-02-10,859.5221557617188
2016-02-11,816.2490844726562
2016-02-12,813.8475952148438
2016-02-15,861.651611328125
2016-02-16,862.1500854492188
2016-02-17,864.6422119140625
2016-02-18,850.1424560546875
2016-02-19,861.7875366210938
2016-02-22,877.8279418945312
2016-02-23,857.8907470703125
2016-02-24,843.889404296875
2016-02-25,858.9329223632812
2016-02-26,843.436279296875
2016-02-29,858.9329223632812
2016-03-01,896.5418090820312
2016-03-02,950.0098876953125
2016-03-03,984.9907836914062
2016-03-04,995.9109497070312
2016-03-08,995.8202514648438
2016-03-09,983.0424194335938
2016-03-10,963.7393798828125
2016-03-11,957.3052978515625
2016-03-14,978.0579223632812
2016-03-15,984.673583984375
2016-03-16,976.1095581054688
2016-03-17,983.948486328125
2016-03-18,1012.7217407226562
2016-03-21,1023.6417236328125
2016-03-22,1004.4149780273438
2016-03-23,984.1355590820312
2016-03-28,964.0846557617188
2016-03-29,954.7459716796875
2016-03-30,972.4620971679688
2016-03-31,994.8931274414062
2016-04-01,977.726318359375
2016-04-04,967.2892456054688
2016-04-05,958.6828002929688
2016-04-06,985.69189453125
2016-04-07,996.2666015625
2016-04-08,992.146728515625
2016-04-11,982.3958740234375
2016-04-12,1029.318359375
2016-04-13,1028.7689208984375
2016-04-18,1052.161376953125
2016-04-20,1039.8929443359375
2016-04-21,1030.0963134765625
2016-04-22,1011.2818603515625
2016-04-25,1052.7108154296875
2016-04-26,1049.414794921875
2016-04-27,1026.89208984375
2016-04-28,1074.501220703125
2016-04-29,1005.8341064453125
2016-05-02,1002.03466796875
2016-05-03,1007.0244750976562
2016-05-04,966.6024780273438
2016-05-05,963.7183837890625
2016-05-06,956.3939208984375
2016-05-09,946.4601440429688
2016-05-10,929.3848876953125
2016-05-11,925.6768798828125
2016-05-12,936.7094116210938
2016-05-13,928.057373046875
2016-05-16,925.0819091796875
2016-05-17,920.0921020507812
2016-05-18,919.8172607421875
2016-05-19,881.9588623046875
2016-05-20,866.3027954101562
2016-05-23,848.6783447265625
2016-05-24,831.6030883789062
2016-05-25,826.6591796875
2016-05-26,828.947998046875
2016-05-27,849.7770385742188
