Date,TEN.MI
2015-08-24,7.176451683044434
2015-08-25,7.4211859703063965
2015-08-26,7.478771209716797
2015-08-27,8.155387878417969
2015-08-28,8.35693359375
2015-08-31,8.335336685180664
2015-09-01,8.284953117370605
2015-09-02,8.169782638549805
2015-09-03,8.630457878112793
2015-09-04,8.26335620880127
2015-09-07,8.256162643432617
2015-09-08,8.335336685180664
2015-09-09,8.407320022583008
2015-09-10,8.069011688232422
2015-09-11,8.018624305725098
2015-09-14,7.881861686706543
2015-09-15,8.104998588562012
2015-09-16,8.320941925048828
2015-09-17,8.349733352661133
2015-09-18,8.133792877197266
2015-09-21,8.299346923828125
2015-09-22,8.133792877197266
2015-09-23,8.061814308166504
2015-09-24,7.701910018920898
2015-09-25,7.831474304199219
2015-09-28,7.637128829956055
2015-09-29,7.824276924133301
2015-09-30,7.723504066467285
2015-10-01,7.824276924133301
2015-10-02,8.047416687011719
2015-10-05,8.508092880249023
2015-10-06,8.774417877197266
2015-10-07,8.601664543151855
2015-10-08,8.839201927185059
2015-10-09,8.961568832397461
2015-10-12,8.846399307250977
2015-10-13,8.889589309692383
2015-10-14,8.839201927185059
2015-10-15,8.954370498657227
2015-10-16,8.882389068603516
2015-10-19,8.644853591918945
2015-10-20,8.400120735168457
2015-10-21,8.12659740447998
2015-10-22,8.306546211242676
2015-10-23,8.335336685180664
2015-10-26,8.26335620880127
2015-10-27,8.0402193069458
2015-10-28,8.299346923828125
2015-10-29,8.299346923828125
2015-10-30,8.220170021057129
2015-11-02,8.212971687316895
2015-11-03,8.54408073425293
2015-11-04,8.421713829040527
2015-11-05,8.414515495300293
2015-11-06,8.385725975036621
2015-11-09,8.479299545288086
2015-11-10,8.493695259094238
2015-11-11,8.35693359375
2015-11-12,8.18418025970459
2015-11-13,8.227367401123047
2015-11-16,8.299346923828125
2015-11-17,8.558476448059082
2015-11-18,8.587270736694336
2015-11-19,8.56567668914795
2015-11-20,8.486496925354004
2015-11-23,8.770838737487793
2015-11-24,8.748967170715332
2015-11-25,8.727093696594238
2015-11-26,8.98227310180664
2015-11-27,8.8291654586792
2015-11-30,9.062471389770508
2015-12-01,8.785422325134277
2015-12-02,8.74167537689209
2015-12-03,8.399009704589844
2015-12-04,8.216736793518066
2015-12-07,8.034468650817871
2015-12-08,7.910525321960449
2015-12-09,8.012594223022461
2015-12-10,8.100085258483887
2015-12-11,7.910525321960449
2015-12-14,7.728255748748779
2015-12-15,7.976139545440674
2015-12-16,7.910525321960449
2015-12-17,7.859489440917969
2015-12-18,7.837615489959717
2015-12-21,7.786581039428711
2015-12-22,7.910525321960449
2015-12-23,8.216736793518066
2015-12-28,8.063632011413574
2015-12-29,8.121957778930664
2015-12-30,7.976139545440674
2015-12-31,7.976139545440674
2016-01-04,7.874070644378662
2016-01-05,7.888650417327881
2016-01-06,7.699089527130127
2016-01-07,7.480364799499512
2016-01-08,7.196024417877197
2016-01-11,7.115826606750488
2016-01-12,7.079371929168701
2016-01-13,7.1231160163879395
2016-01-14,7.07208251953125
2016-01-15,6.6273417472839355
2016-01-18,6.569016456604004
2016-01-19,6.776803016662598
2016-01-20,6.394037246704102
2016-01-21,6.634634017944336
2016-01-22,6.805967807769775
2016-01-25,6.634634017944336
2016-01-26,6.780449867248535
2016-01-27,6.889812469482422
2016-01-28,6.911684036254883
2016-01-29,6.911684036254883
2016-02-01,6.8278398513793945
2016-02-02,6.492461681365967
2016-02-03,6.514335632324219
2016-02-04,6.911684036254883
2016-02-05,7.0356268882751465
2016-02-08,6.8278398513793945
2016-02-09,6.434135437011719
2016-02-10,6.492461681365967
2016-02-11,6.299254894256592
2016-02-12,6.802321434020996
2016-02-15,6.955428600311279
2016-02-16,6.740349769592285
2016-02-17,7.148634910583496
2016-02-18,7.061145305633545
2016-02-19,6.831484317779541
2016-02-22,7.119471549987793
2016-02-23,6.860647201538086
2016-02-24,6.543497085571289
2016-02-25,6.554434776306152
2016-02-26,7.166862487792969
2016-02-29,7.3272576332092285
2016-03-01,7.502239227294922
2016-03-02,7.451202869415283
2016-03-03,7.611600399017334
2016-03-04,7.917815685272217
2016-03-07,8.005304336547852
2016-03-08,7.713675498962402
2016-03-09,7.859489440917969
2016-03-10,7.589727878570557
2016-03-11,7.859489440917969
2016-03-14,7.823034286499023
2016-03-15,7.735544681549072
2016-03-16,7.823034286499023
2016-03-17,7.961559295654297
2016-03-18,7.8157429695129395
2016-03-21,7.779290676116943
2016-03-22,7.954269886016846
2016-03-23,7.823034286499023
2016-03-24,7.720964431762695
2016-03-29,7.669928073883057
2016-03-30,7.983431816101074
2016-03-31,7.983431816101074
2016-04-01,7.888650417327881
2016-04-04,7.830324649810791
2016-04-05,7.53140115737915
2016-04-06,7.662635326385498
2016-04-07,7.6407647132873535
2016-04-08,8.078211784362793
2016-04-11,8.114665031433105
2016-04-12,8.172991752624512
2016-04-13,8.420878410339355
2016-04-14,8.413589477539062
2016-04-15,8.413589477539062
2016-04-18,8.450043678283691
2016-04-19,8.697930335998535
2016-04-20,8.8291654586792
2016-04-21,8.865619659423828
2016-04-22,8.916655540466309
2016-04-25,8.639605522155762
2016-04-26,8.639605522155762
2016-04-27,8.800003051757812
2016-04-28,8.807292938232422
2016-04-29,8.588566780090332
2016-05-02,8.471917152404785
2016-05-03,8.019886016845703
2016-05-04,7.976139545440674
2016-05-05,8.172991752624512
2016-05-06,8.399009704589844
2016-05-09,8.114665031433105
2016-05-10,8.245903015136719
2016-05-11,8.216736793518066
2016-05-12,8.296937942504883
2016-05-13,8.304227828979492
