Date,BLDR
2015-08-03,15.279999732971191
2015-08-04,14.789999961853027
2015-08-05,14.34000015258789
2015-08-06,14.260000228881836
2015-08-07,14.229999542236328
2015-08-10,14.539999961853027
2015-08-11,14.479999542236328
2015-08-12,14.180000305175781
2015-08-13,14.640000343322754
2015-08-14,14.270000457763672
2015-08-17,14.369999885559082
2015-08-18,14.930000305175781
2015-08-19,15.350000381469727
2015-08-20,14.899999618530273
2015-08-21,14.920000076293945
2015-08-24,14.020000457763672
2015-08-25,13.520000457763672
2015-08-26,13.829999923706055
2015-08-27,14.359999656677246
2015-08-28,14.479999542236328
2015-08-31,14.8100004196167
2015-09-01,14.390000343322754
2015-09-02,15.449999809265137
2015-09-03,15.329999923706055
2015-09-04,15.319999694824219
2015-09-08,15.729999542236328
2015-09-09,16.040000915527344
2015-09-10,16.229999542236328
2015-09-11,16.200000762939453
2015-09-14,16.440000534057617
2015-09-15,16.260000228881836
2015-09-16,16.360000610351562
2015-09-17,15.779999732971191
2015-09-18,15.350000381469727
2015-09-21,15.3100004196167
2015-09-22,14.90999984741211
2015-09-23,14.960000038146973
2015-09-24,14.489999771118164
2015-09-25,13.930000305175781
2015-09-28,13.210000038146973
2015-09-29,12.489999771118164
2015-09-30,12.680000305175781
2015-10-01,13.149999618530273
2015-10-02,13.170000076293945
2015-10-05,13.65999984741211
2015-10-06,13.710000038146973
2015-10-07,14.40999984741211
2015-10-08,14.550000190734863
2015-10-09,14.319999694824219
2015-10-12,13.859999656677246
2015-10-13,13.380000114440918
2015-10-14,12.789999961853027
2015-10-15,13.210000038146973
2015-10-16,13.25
2015-10-19,13.220000267028809
2015-10-20,12.699999809265137
2015-10-21,12.489999771118164
2015-10-22,12.850000381469727
2015-10-23,12.6899995803833
2015-10-26,12.3100004196167
2015-10-27,11.760000228881836
2015-10-28,12.220000267028809
2015-10-29,11.75
2015-10-30,11.819999694824219
2015-11-02,11.960000038146973
2015-11-03,12.170000076293945
2015-11-04,12.369999885559082
2015-11-05,12.3100004196167
2015-11-06,15.25
2015-11-09,14.65999984741211
2015-11-10,14.4399995803833
2015-11-11,14.369999885559082
2015-11-12,13.880000114440918
2015-11-13,13.649999618530273
2015-11-16,13.670000076293945
2015-11-17,12.979999542236328
2015-11-18,13.010000228881836
2015-11-19,13.5600004196167
2015-11-20,13.210000038146973
2015-11-23,13.6899995803833
2015-11-24,13.479999542236328
2015-11-25,13.819999694824219
2015-11-27,13.90999984741211
2015-11-30,13.460000038146973
2015-12-01,13.420000076293945
2015-12-02,13.5
2015-12-03,13.020000457763672
2015-12-04,13.369999885559082
2015-12-07,12.869999885559082
2015-12-08,12.9399995803833
2015-12-09,12.15999984741211
2015-12-10,12.069999694824219
2015-12-11,11.819999694824219
2015-12-14,10.569999694824219
2015-12-15,10.960000038146973
2015-12-16,11.40999984741211
2015-12-17,10.920000076293945
2015-12-18,10.819999694824219
2015-12-21,10.779999732971191
2015-12-22,10.699999809265137
2015-12-23,11.010000228881836
2015-12-24,10.920000076293945
2015-12-28,10.600000381469727
2015-12-29,10.760000228881836
2015-12-30,10.6899995803833
2015-12-31,11.079999923706055
2016-01-04,11.09000015258789
2016-01-05,11.180000305175781
2016-01-06,10.420000076293945
2016-01-07,9.649999618530273
2016-01-08,9.470000267028809
2016-01-11,9.15999984741211
2016-01-12,9.029999732971191
2016-01-13,8.520000457763672
2016-01-14,8.600000381469727
2016-01-15,8.170000076293945
2016-01-19,7.630000114440918
