Date,INVH
2017-02-01,16.31814956665039
2017-02-02,16.50580596923828
2017-02-03,16.832170486450195
2017-02-06,16.91376495361328
2017-02-07,16.97087287902832
2017-02-08,17.003507614135742
2017-02-09,17.03614616394043
2017-02-10,17.150373458862305
2017-02-13,17.13405418395996
2017-02-14,17.15853500366211
2017-02-15,17.060623168945312
2017-02-16,17.101415634155273
2017-02-17,17.25644302368164
2017-02-21,17.51753044128418
2017-02-22,17.599124908447266
2017-02-23,17.607282638549805
2017-02-24,17.623600006103516
2017-02-27,17.794939041137695
2017-02-28,17.778623580932617
2017-03-01,17.566495895385742
2017-03-02,17.72150993347168
2017-03-03,17.794939041137695
2017-03-06,17.88469123840332
2017-03-07,17.794939041137695
2017-03-08,17.582809448242188
2017-03-09,17.32987403869629
2017-03-10,17.460420608520508
2017-03-13,17.444095611572266
2017-03-14,17.338035583496094
2017-03-15,17.558334350585938
2017-03-16,17.525691986083984
2017-03-17,17.623600006103516
2017-03-20,17.574647903442383
2017-03-21,17.45226287841797
2017-03-22,17.542009353637695
2017-03-23,17.533849716186523
2017-03-24,17.607282638549805
2017-03-27,17.566495895385742
2017-03-28,17.656234741210938
2017-03-29,17.69703483581543
2017-03-30,17.745986938476562
2017-03-31,17.811260223388672
2017-04-03,17.648080825805664
2017-04-04,17.574647903442383
2017-04-05,17.607282638549805
2017-04-06,17.70519256591797
2017-04-07,17.631759643554688
2017-04-10,17.656234741210938
2017-04-11,17.582809448242188
2017-04-12,17.582809448242188
2017-04-13,17.37066650390625
2017-04-17,17.68071746826172
2017-04-18,17.762304306030273
2017-04-19,17.745986938476562
2017-04-20,17.533849716186523
2017-04-21,17.67255210876465
2017-04-24,17.656234741210938
2017-04-25,17.72150993347168
2017-04-26,17.688867568969727
2017-04-27,17.615440368652344
2017-04-28,17.582809448242188
2017-05-01,17.688867568969727
2017-05-02,17.558334350585938
2017-05-03,17.525691986083984
2017-05-04,17.297237396240234
2017-05-05,17.354351043701172
2017-05-08,17.362510681152344
2017-05-09,17.5012149810791
2017-05-10,17.68071746826172
2017-05-11,17.917984008789062
2017-05-12,17.827985763549805
2017-05-15,17.917984008789062
2017-05-16,17.484352111816406
2017-05-17,17.62344741821289
2017-05-18,17.713441848754883
