Date,SANOFI.NS
2015-08-21,3459.32861328125
2015-08-24,3290.257080078125
2015-08-25,3356.31298828125
2015-08-26,3305.3525390625
2015-08-27,3344.28759765625
2015-08-28,3342.774169921875
2015-08-31,3313.046875
2015-09-01,3267.72021484375
2015-09-02,3268.056396484375
2015-09-03,3363.503173828125
2015-09-04,3274.321044921875
2015-09-07,3303.41796875
2015-09-08,3282.437255859375
2015-09-09,3361.69482421875
2015-09-10,3317.756103515625
2015-09-11,3300.72705078125
2015-09-14,3335.3740234375
2015-09-15,3303.207763671875
2015-09-16,3376.411376953125
2015-09-18,3519.329345703125
2015-09-21,3510.793701171875
2015-09-22,3544.68310546875
2015-09-23,3498.936767578125
2015-09-24,3510.457275390625
2015-09-28,3502.384033203125
2015-09-29,3453.399658203125
2015-09-30,3468.914794921875
2015-10-01,3431.660888671875
2015-10-05,3432.880615234375
2015-10-06,3441.33154296875
2015-10-07,3391.254150390625
2015-10-08,3361.107177734375
2015-10-09,3345.12890625
2015-10-12,3342.185546875
2015-10-13,3325.786865234375
2015-10-14,3302.577392578125
2015-10-15,3297.15283203125
2015-10-16,3292.275390625
2015-10-19,3303.16552734375
2015-10-20,3359.0458984375
2015-10-21,3483.2529296875
2015-10-23,3530.891845703125
2015-10-26,3556.33056640625
2015-10-27,3574.11669921875
2015-10-28,3588.16015625
2015-10-29,3781.70263671875
2015-10-30,3826.398193359375
2015-11-02,3680.9150390625
2015-11-03,3646.8154296875
2015-11-04,3636.09423828125
2015-11-05,3596.443359375
2015-11-06,3635.2529296875
2015-11-09,3750.124267578125
2015-11-10,3786.62158203125
2015-11-13,3867.7724609375
2015-11-16,3826.9443359375
2015-11-17,3792.044921875
2015-11-18,3742.05224609375
2015-11-19,3753.48876953125
2015-11-20,3750.208740234375
2015-11-23,3801.84228515625
2015-11-24,3783.21630859375
2015-11-26,3719.388916015625
2015-11-27,3695.21142578125
2015-11-30,3565.87548828125
2015-12-01,3664.643310546875
2015-12-02,3670.445556640625
2015-12-03,3638.1533203125
2015-12-04,3653.4169921875
2015-12-07,3639.28857421875
2015-12-08,3634.41162109375
2015-12-09,3581.978515625
2015-12-10,3555.78369140625
2015-12-11,3609.309326171875
2015-12-14,3639.9619140625
2015-12-15,3738.856201171875
2015-12-16,3717.916748046875
2015-12-17,3699.458251953125
2015-12-18,3638.406005859375
2015-12-21,3616.878662109375
2015-12-22,3678.350341796875
2015-12-23,3699.248291015625
2015-12-24,3666.45166015625
2015-12-28,3690.796630859375
2015-12-29,3703.74755859375
2015-12-30,3667.4189453125
2015-12-31,3682.261474609375
2016-01-01,3649.548583984375
2016-01-04,3612.968017578125
2016-01-05,3602.666259765625
2016-01-06,3578.573486328125
2016-01-07,3547.6689453125
2016-01-08,3542.9169921875
2016-01-11,3529.672119140625
2016-01-12,3528.831787109375
2016-01-13,3550.906005859375
2016-01-14,3573.2333984375
2016-01-15,3534.88671875
2016-01-18,3397.981689453125
2016-01-19,3463.952880859375
2016-01-20,3470.890869140625
2016-01-21,3469.83984375
2016-01-22,3527.10791015625
2016-01-25,3471.942138671875
2016-01-27,3530.59765625
2016-01-28,3521.93603515625
2016-01-29,3573.906494140625
2016-02-01,3645.55419921875
2016-02-02,3658.3359375
2016-02-03,3544.68310546875
2016-02-04,3498.34716796875
2016-02-05,3557.171142578125
2016-02-08,3517.8994140625
2016-02-09,3513.31640625
2016-02-10,3501.627685546875
2016-02-11,3495.951171875
2016-02-12,3493.596435546875
2016-02-15,3618.72802734375
2016-02-16,3577.858642578125
2016-02-17,3510.07861328125
2016-02-18,3595.8125
2016-02-19,3657.916015625
2016-02-22,3574.49462890625
2016-02-23,3614.060546875
2016-02-24,3604.095703125
2016-02-25,3560.744873046875
2016-02-26,3501.375
2016-02-29,3630.962890625
2016-03-01,3658.42041015625
2016-03-02,3663.21337890625
2016-03-03,3701.476318359375
2016-03-04,3700.383056640625
2016-03-08,3687.264892578125
2016-03-09,3701.013916015625
2016-03-10,3699.50048828125
2016-03-11,3692.057861328125
2016-03-14,3738.393310546875
2016-03-15,3720.98583984375
2016-03-16,3607.543701171875
2016-03-17,3500.029052734375
2016-03-18,3507.219970703125
2016-03-21,3511.97119140625
2016-03-22,3497.254638671875
2016-03-23,3520.338134765625
2016-03-28,3440.448974609375
2016-03-29,3376.57958984375
2016-03-30,3403.069580078125
2016-03-31,3373.341796875
2016-04-01,3470.470458984375
