Date,PAY.L
2015-08-24,965.14599609375
2015-08-25,1007.930908203125
2015-08-26,998.9758911132812
2015-08-27,999.970947265625
2015-08-28,1014.895751953125
2015-09-01,1007.930908203125
2015-09-02,983.553466796875
2015-09-03,1014.895751953125
2015-09-04,1004.94580078125
2015-09-07,1008.92578125
2015-09-08,999.970947265625
2015-09-09,1014.895751953125
2015-09-10,995.990966796875
2015-09-11,1013.90087890625
2015-09-14,1012.9059448242188
2015-09-15,1029.8206787109375
2015-09-16,1023.8507080078125
2015-09-17,1020.8657836914062
2015-09-18,1085.5406494140625
2015-09-21,1041.7608642578125
2015-09-22,1019.87060546875
2015-09-23,1022.856201171875
2015-09-24,1019.87060546875
2015-09-25,1035.7906494140625
2015-09-28,1024.8458251953125
2015-09-29,1016.8858642578125
2015-09-30,1016.8858642578125
2015-10-01,1024.8458251953125
2015-10-02,1012.9059448242188
2015-10-05,1010.9158325195312
2015-10-06,1026.835693359375
2015-10-07,1003.9508056640625
2015-10-08,989.5233154296875
2015-10-09,1003.9508056640625
2015-10-12,1002.955810546875
2015-10-13,981.5635375976562
2015-10-14,992.0109252929688
2015-10-15,994.0007934570312
2015-10-16,990.0209350585938
2015-10-19,994.995849609375
2015-10-20,1001.9607543945312
2015-10-21,1004.94580078125
2015-10-22,997.9808349609375
2015-10-23,1002.955810546875
2015-10-26,992.0109252929688
2015-10-27,985.0458984375
2015-10-28,985.0458984375
2015-10-29,985.54345703125
2015-10-30,985.0458984375
2015-11-02,985.0458984375
2015-11-03,999.970947265625
2015-11-04,991.5133056640625
2015-11-05,985.0458984375
2015-11-06,985.54345703125
2015-11-09,985.0458984375
2015-11-10,985.54345703125
2015-11-11,985.0458984375
2015-11-12,985.0458984375
2015-11-13,985.0458984375
2015-11-16,994.995849609375
2015-11-17,994.995849609375
2015-11-18,987.0359497070312
2015-11-19,990.5183715820312
2015-11-20,996.9859619140625
2015-11-23,984.5485229492188
2015-11-24,982.06103515625
2015-11-25,987.5333862304688
2015-11-26,919.873779296875
2015-11-27,942.2611083984375
2015-11-30,951.7135009765625
2015-12-01,965.14599609375
2015-12-02,1001.9607543945312
2015-12-03,967.2723999023438
2015-12-04,950.8525390625
2015-12-07,954.833251953125
2015-12-08,941.8963623046875
2015-12-09,948.8622436523438
2015-12-10,952.8428955078125
2015-12-11,928.9598388671875
2015-12-14,943.8866577148438
2015-12-15,917.0180053710938
2015-12-16,944.3842163085938
2015-12-17,948.8622436523438
2015-12-18,935.9255981445312
2015-12-21,945.3794555664062
2015-12-22,922.98876953125
2015-12-23,932.4426879882812
2015-12-24,940.40380859375
2015-12-29,940.40380859375
2015-12-30,938.413330078125
2015-12-31,917.0180053710938
2016-01-04,920.0034790039062
2016-01-05,925.476806640625
2016-01-06,908.5593872070312
2016-01-07,907.5643310546875
2016-01-08,894.6273803710938
2016-01-11,895.6224975585938
2016-01-12,898.6080932617188
2016-01-13,886.666259765625
2016-01-14,869.7490844726562
2016-01-15,885.6712036132812
2016-01-18,846.3634033203125
2016-01-19,837.9046630859375
2016-01-20,817.50439453125
2016-01-21,816.0117797851562
2016-01-22,825.9630737304688
2016-01-25,821.9826049804688
2016-01-26,824.9677734375
2016-01-27,825.9630737304688
2016-01-28,784.6648559570312
2016-01-29,786.15771484375
2016-02-01,781.6796264648438
2016-02-02,782.6744995117188
2016-02-03,757.298583984375
2016-02-04,765.7573852539062
2016-02-05,771.2306518554688
2016-02-08,766.2548217773438
2016-02-09,759.7864990234375
2016-02-10,734.9081420898438
2016-02-11,736.4010009765625
2016-02-12,728.9374389648438
2016-02-15,725.9518432617188
2016-02-16,737.8934326171875
2016-02-17,742.3716430664062
2016-02-18,741.37646484375
2016-02-19,746.3523559570312
2016-02-22,746.3523559570312
2016-02-23,743.3667602539062
2016-02-24,736.8984985351562
2016-02-25,733.4154052734375
2016-02-26,738.888671875
2016-02-29,743.8643188476562
2016-03-01,739.8837280273438
2016-03-02,738.888671875
2016-03-03,744.3619995117188
2016-03-04,746.3523559570312
2016-03-07,740.3814086914062
2016-03-08,728.9374389648438
2016-03-09,733.9129028320312
2016-03-10,729.4349365234375
2016-03-11,716.498046875
2016-03-14,717.9907836914062
2016-03-15,719.9810791015625
2016-03-16,726.4495239257812
2016-03-17,731.4253540039062
2016-03-18,761.2793579101562
2016-03-21,776.2062377929688
2016-03-22,774.2161254882812
2016-03-23,773.718505859375
2016-03-24,750.3326416015625
2016-03-29,746.3523559570312
2016-03-30,744.3619995117188
2016-03-31,744.3619995117188
2016-04-01,754.810791015625
2016-04-04,745.8546142578125
2016-04-05,751.3277587890625
2016-04-06,766.2548217773438
2016-04-07,759.7864990234375
2016-04-08,800.5869750976562
