Date,NI
2015-08-03,12.390085220336914
2015-08-04,12.20862865447998
2015-08-05,12.215887069702148
2015-08-06,12.23040771484375
2015-08-07,12.273954391479492
2015-08-10,12.252176284790039
2015-08-11,12.4046049118042
2015-08-12,12.854626655578613
2015-08-13,12.861882209777832
2015-08-14,12.934466361999512
2015-08-17,13.065119743347168
2015-08-18,12.876399040222168
2015-08-19,12.927210807800293
2015-08-20,12.731232643127441
2015-08-21,12.542513847351074
2015-08-24,11.990876197814941
2015-08-25,11.758607864379883
2015-08-26,12.121529579162598
2015-08-27,12.375572204589844
2015-08-28,12.382830619812012
2015-08-31,12.186850547790527
2015-09-01,11.961843490600586
2015-09-02,11.823932647705078
2015-09-03,11.947322845458984
2015-09-04,11.736832618713379
2015-09-08,12.070719718933105
2015-09-09,11.954583168029785
2015-09-10,12.034425735473633
2015-09-11,12.056200981140137
2015-09-14,12.150565147399902
2015-09-15,12.23766040802002
2015-09-16,12.477187156677246
2015-09-17,12.687682151794434
2015-09-18,12.644132614135742
2015-09-21,12.694941520690918
2015-09-22,12.57154655456543
2015-09-23,12.658645629882812
2015-09-24,12.767525672912598
2015-09-25,13.028826713562012
2015-09-28,12.941728591918945
2015-09-29,12.992536544799805
2015-09-30,13.464333534240723
2015-10-01,13.406265258789062
2015-10-02,13.66030502319336
2015-10-05,13.827254295349121
2015-10-06,13.587721824645996
2015-10-07,13.740150451660156
2015-10-08,13.856283187866211
2015-10-09,13.776442527770996
2015-10-12,13.827254295349121
2015-10-13,13.870802879333496
2015-10-14,13.841766357421875
2015-10-15,14.074037551879883
2015-10-16,14.124847412109375
2015-10-19,14.190169334411621
2015-10-20,14.182915687561035
2015-10-21,14.08128833770752
2015-10-22,14.335338592529297
2015-10-23,14.233718872070312
2015-10-26,14.20468807220459
2015-10-27,13.9869384765625
2015-10-28,13.975961685180664
2015-10-29,13.822300910949707
2015-10-30,14.019861221313477
2015-11-02,14.034496307373047
2015-11-03,13.990595817565918
2015-11-04,14.166210174560547
2015-11-05,14.31255054473877
2015-11-06,13.873518943786621
2015-11-09,13.844245910644531
2015-11-10,14.085719108581543
2015-11-11,14.210111618041992
2015-11-12,14.005226135253906
2015-11-13,13.961326599121094
2015-11-16,14.13693904876709
2015-11-17,14.034496307373047
2015-11-18,14.327189445495605
2015-11-19,14.422310829162598
2015-11-20,14.510117530822754
2015-11-23,14.451578140258789
2015-11-24,14.283284187316895
2015-11-25,14.005226135253906
2015-11-27,14.063763618469238
2015-11-30,14.041813850402832
2015-12-01,14.188159942626953
2015-12-02,14.114988327026367
2015-12-03,13.85156536102295
2015-12-04,13.975961685180664
2015-12-07,14.005226135253906
2015-12-08,14.085719108581543
2015-12-09,14.093035697937012
2015-12-10,13.932056427001953
2015-12-11,13.654004096984863
2015-12-14,13.785713195800781
2015-12-15,13.690584182739258
2015-12-16,14.129621505737305
2015-12-17,14.107670783996582
2015-12-18,13.873518943786621
2015-12-21,13.822300910949707
2015-12-22,13.983275413513184
2015-12-23,14.144255638122559
2015-12-24,14.129621505737305
2015-12-28,14.246697425842285
2015-12-29,14.488165855407715
2015-12-30,14.502798080444336
2015-12-31,14.27596664428711
2016-01-04,14.283284187316895
2016-01-05,14.510117530822754
2016-01-06,14.590611457824707
2016-01-07,14.268651008605957
2016-01-08,14.246697425842285
2016-01-11,14.480853080749512
2016-01-12,14.297922134399414
2016-01-13,14.246697425842285
2016-01-14,14.634512901306152
2016-01-15,14.44426155090332
2016-01-19,14.66378402709961
2016-01-20,14.239384651184082
2016-01-21,14.29059886932373
2016-01-22,14.839397430419922
2016-01-25,14.912565231323242
2016-01-26,14.861346244812012
2016-01-27,14.736955642700195
2016-01-28,15.183308601379395
2016-01-29,15.373558044433594
2016-02-01,15.58575439453125
2016-02-02,15.556485176086426
2016-02-03,15.717472076416016
2016-02-04,15.595855712890625
2016-02-05,15.463184356689453
2016-02-08,15.411596298217773
2016-02-09,15.654815673828125
2016-02-10,15.831707000732422
2016-02-11,15.551631927490234
2016-02-12,15.684304237365723
2016-02-16,15.559006690979004
2016-02-17,15.73589038848877
2016-02-18,16.119157791137695
2016-02-19,16.119157791137695
2016-02-22,16.14863395690918
2016-02-23,16.06756591796875
2016-02-24,16.030710220336914
2016-02-25,16.237085342407227
2016-02-26,15.853818893432617
2016-02-29,15.831707000732422
2016-03-01,15.846449851989746
2016-03-02,16.266563415527344
2016-03-03,16.46556282043457
2016-03-04,16.509790420532227
2016-03-07,16.48031234741211
2016-03-08,16.568754196166992
2016-03-09,16.671937942504883
2016-03-10,16.78249740600586
2016-03-11,16.7603816986084
2016-03-14,16.789867401123047
2016-03-15,16.70878791809082
2016-03-16,17.02571678161621
2016-03-17,17.19524574279785
2016-03-18,16.804609298706055
2016-03-21,16.870941162109375
2016-03-22,16.804609298706055
2016-03-23,16.966758728027344
2016-03-24,16.9741268157959
2016-03-28,16.89305305480957
2016-03-29,17.07731819152832
2016-03-30,17.239463806152344
2016-03-31,17.364765167236328
2016-04-01,17.556394577026367
2016-04-04,17.394243240356445
2016-04-05,17.128904342651367
2016-04-06,17.276315689086914
2016-04-07,17.261571884155273
2016-04-08,17.357389450073242
2016-04-11,17.298423767089844
2016-04-12,17.416357040405273
2016-04-13,17.246828079223633
2016-04-14,17.26894760131836
2016-04-15,17.453203201293945
2016-04-18,17.556394577026367
2016-04-19,17.674318313598633
2016-04-20,17.003610610961914
2016-04-21,16.310789108276367
2016-04-22,16.39923667907715
2016-04-25,16.458194732666016
2016-04-26,16.428712844848633
2016-04-27,16.692195892333984
