Date,CARL-B.CO
2015-08-24,388.3999938964844
2015-08-25,389.8123779296875
2015-08-26,384.9475402832031
2015-08-27,396.6388244628906
2015-08-28,396.6388244628906
2015-08-31,393.89251708984375
2015-09-01,388.086181640625
2015-09-02,392.0093994140625
2015-09-03,401.739013671875
2015-09-04,393.5002136230469
2015-09-07,389.0276794433594
2015-09-08,395.06951904296875
2015-09-09,398.60040283203125
2015-09-10,395.06951904296875
2015-09-11,390.98931884765625
2015-09-14,385.8106689453125
2015-09-15,386.2029724121094
2015-09-16,404.48529052734375
2015-09-17,409.5854797363281
2015-09-18,400.56207275390625
2015-09-21,401.739013671875
2015-09-22,394.28485107421875
2015-09-23,400.1697082519531
2015-09-24,393.89251708984375
2015-09-25,398.60040283203125
2015-09-28,393.10791015625
2015-09-29,391.14630126953125
2015-09-30,402.1313171386719
2015-10-01,397.81573486328125
2015-10-02,401.739013671875
2015-10-05,413.5086669921875
2015-10-06,411.93939208984375
2015-10-07,414.2933654785156
2015-10-08,414.2933654785156
2015-10-09,416.6473388671875
2015-10-12,418.216552734375
2015-10-13,412.72406005859375
2015-10-14,411.5470886230469
2015-10-15,411.93939208984375
2015-10-16,411.93939208984375
2015-10-19,413.5086669921875
2015-10-20,414.2933654785156
2015-10-21,410.3701477050781
2015-10-22,417.8242492675781
2015-10-23,422.1398010253906
2015-10-26,426.455322265625
2015-10-27,422.9244384765625
2015-10-28,438.2250671386719
2015-10-29,433.1249084472656
2015-10-30,436.2634582519531
2015-11-02,434.6941223144531
2015-11-03,435.47882080078125
2015-11-04,444.89453125
2015-11-05,443.71759033203125
2015-11-06,436.2634582519531
2015-11-09,432.3402404785156
2015-11-10,435.0865173339844
2015-11-11,462.1567687988281
2015-11-12,473.5342102050781
2015-11-13,462.1567687988281
2015-11-16,462.5491638183594
2015-11-17,462.5491638183594
2015-11-18,468.43408203125
2015-11-19,477.4574279785156
2015-11-20,481.7729187011719
2015-11-23,481.7729187011719
2015-11-24,463.7261047363281
2015-11-25,462.1567687988281
2015-11-26,463.7261047363281
2015-11-27,461.3721923828125
2015-11-30,461.3721923828125
2015-12-01,470.3955993652344
2015-12-02,472.74957275390625
2015-12-03,472.74957275390625
2015-12-04,466.8646240234375
2015-12-07,466.8646240234375
2015-12-08,455.0948791503906
2015-12-09,459.41058349609375
2015-12-10,459.41058349609375
2015-12-11,448.8177185058594
2015-12-14,448.8177185058594
2015-12-15,458.2334899902344
2015-12-16,471.9648742675781
2015-12-17,471.9648742675781
2015-12-18,474.7111511230469
2015-12-21,474.7111511230469
