Date,AMAT
2015-08-03,15.173139572143555
2015-08-04,14.881354331970215
2015-08-05,15.058188438415527
2015-08-06,14.899036407470703
2015-08-07,15.013981819152832
2015-08-10,15.562193870544434
2015-08-11,15.332306861877441
2015-08-12,15.2969331741333
2015-08-13,15.075875282287598
2015-08-14,14.713347434997559
2015-08-17,15.058188438415527
2015-08-18,14.70241928100586
2015-08-19,14.622370719909668
2015-08-20,14.213226318359375
2015-08-21,13.76850700378418
2015-08-24,13.430522918701172
2015-08-25,13.199267387390137
2015-08-26,13.555042266845703
2015-08-27,14.17764949798584
2015-08-28,14.222124099731445
2015-08-31,14.311066627502441
2015-09-01,13.777403831481934
2015-09-02,13.946394920349121
2015-09-03,14.017550468444824
2015-09-04,13.688460350036621
2015-09-08,13.990870475769043
2015-09-09,13.75071907043457
2015-09-10,13.839664459228516
2015-09-11,13.786297798156738
2015-09-14,13.875242233276367
2015-09-15,14.159859657287598
2015-09-16,14.382221221923828
2015-09-17,14.248806953430176
2015-09-18,14.168756484985352
2015-09-21,13.910819053649902
2015-09-22,13.430522918701172
2015-09-23,12.994694709777832
2015-09-24,13.065849304199219
2015-09-25,12.985804557800293
2015-09-28,12.781230926513672
2015-09-29,12.941329956054688
2015-09-30,13.065849304199219
2015-10-01,13.048063278198242
2015-10-02,13.288211822509766
2015-10-05,13.430522918701172
2015-10-06,13.555042266845703
2015-10-07,13.688460350036621
2015-10-08,13.937500953674316
2015-10-09,13.919713020324707
2015-10-12,13.875242233276367
2015-10-13,13.46609878540039
2015-10-14,13.732931137084961
2015-10-15,13.981973648071289
2015-10-16,14.079811096191406
2015-10-19,14.062020301818848
2015-10-20,14.400007247924805
2015-10-21,14.2932767868042
2015-10-22,14.417799949645996
2015-10-23,14.622370719909668
2015-10-26,14.524532318115234
2015-10-27,14.471161842346191
2015-10-28,14.711310386657715
2015-10-29,14.88919734954834
2015-10-30,14.915884017944336
2015-11-02,15.022615432739258
2015-11-03,15.120457649230957
2015-11-04,15.004826545715332
2015-11-05,14.951459884643555
2015-11-06,15.16492748260498
2015-11-09,14.951459884643555
2015-11-10,14.906983375549316
2015-11-11,14.933673858642578
2015-11-12,14.70241928100586
2015-11-13,15.333924293518066
2015-11-16,15.778643608093262
2015-11-17,15.939645767211914
2015-11-18,16.216934204101562
2015-11-19,16.2795467376709
2015-11-20,16.261661529541016
2015-11-23,16.216934204101562
2015-11-24,16.4405574798584
2015-11-25,16.503170013427734
