Date,BT-A.L
2015-08-24,412.3076477050781
2015-08-25,429.5783386230469
2015-08-26,425.198486328125
2015-08-27,431.66876220703125
2015-08-28,435.3518981933594
2015-09-01,419.2258605957031
2015-09-02,424.9994201660156
2015-09-03,430.0262756347656
2015-09-04,420.51995849609375
2015-09-07,423.9043884277344
2015-09-08,430.07598876953125
2015-09-09,434.8541564941406
2015-09-10,430.1258239746094
2015-09-11,420.71905517578125
2015-09-14,421.5651550292969
2015-09-15,419.6240539550781
2015-09-16,424.45184326171875
2015-09-17,417.08575439453125
2015-09-18,413.10400390625
2015-09-21,411.6108703613281
2015-09-22,402.1541748046875
2015-09-23,410.2669372558594
2015-09-24,406.18572998046875
2015-09-25,418.5788269042969
2015-09-28,414.54730224609375
2015-09-29,411.3619384765625
2015-09-30,417.68292236328125
2015-10-01,418.32989501953125
2015-10-02,418.6285400390625
2015-10-05,428.3340759277344
2015-10-06,430.6235046386719
2015-10-07,426.2934265136719
2015-10-08,430.3747253417969
2015-10-09,432.01715087890625
2015-10-12,433.3609924316406
2015-10-13,429.7774353027344
2015-10-14,415.2939147949219
2015-10-15,424.60113525390625
2015-10-16,428.135009765625
2015-10-19,426.19390869140625
2015-10-20,435.2025146484375
2015-10-21,432.5148620605469
2015-10-22,441.57330322265625
2015-10-23,448.1431884765625
2015-10-26,449.78558349609375
2015-10-27,449.9349060058594
2015-10-28,466.50885009765625
2015-10-29,467.4544677734375
2015-10-30,462.8755187988281
2015-11-02,461.4819030761719
2015-11-03,459.69012451171875
2015-11-04,463.4230041503906
2015-11-05,464.2690734863281
2015-11-06,463.4230041503906
2015-11-09,458.39605712890625
2015-11-10,463.3731994628906
2015-11-11,473.2778015136719
2015-11-12,479.4494323730469
2015-11-13,472.9791259765625
2015-11-16,477.3092346191406
2015-11-17,490.64801025390625
2015-11-18,485.02374267578125
2015-11-19,488.8563537597656
2015-11-20,488.955810546875
2015-11-23,488.4580993652344
2015-11-24,482.98333740234375
2015-11-25,487.1142578125
2015-11-26,495.22705078125
2015-11-27,497.5164794921875
2015-11-30,494.181884765625
2015-12-01,490.0010681152344
2015-12-02,489.80194091796875
2015-12-03,476.9111022949219
2015-12-04,477.1599426269531
2015-12-07,478.3046875
2015-12-08,470.5404357910156
2015-12-09,465.06549072265625
2015-12-10,467.00653076171875
2015-12-11,458.44586181640625
2015-12-14,454.7627258300781
2015-12-15,467.35498046875
2015-12-16,466.0609130859375
2015-12-17,468.5494384765625
2015-12-18,456.2060852050781
2015-12-21,452.97100830078125
2015-12-22,457.4007263183594
2015-12-23,470.7394104003906
2015-12-24,464.95947265625
2015-12-29,470.03656005859375
2015-12-30,468.39398193359375
2015-12-31,469.588623046875
2016-01-04,457.8414306640625
2016-01-05,462.37103271484375
2016-01-06,465.2580871582031
2016-01-07,460.1809387207031
2016-01-08,463.5657043457031
2016-01-11,460.9275207519531
2016-01-12,471.28094482421875
2016-01-13,474.0186767578125
2016-01-14,464.9096374511719
2016-01-15,461.22625732421875
2016-01-18,457.3435974121094
2016-01-19,465.65631103515625
2016-01-20,449.9768371582031
2016-01-21,463.5657043457031
2016-01-22,485.0690002441406
2016-01-25,468.8916931152344
2016-01-26,466.20379638671875
2016-01-27,476.1590270996094
2016-01-28,464.1132507324219
2016-01-29,482.67974853515625
2016-02-01,491.9879455566406
2016-02-02,493.7798156738281
2016-02-03,483.8245849609375
2016-02-04,483.326904296875
2016-02-05,473.769775390625
2016-02-08,452.76422119140625
2016-02-09,457.8912048339844
2016-02-10,462.37103271484375
2016-02-11,448.4337463378906
2016-02-12,446.2435607910156
2016-02-15,453.4113464355469
2016-02-16,453.9588623046875
2016-02-17,459.4342956542969
2016-02-18,462.2715759277344
2016-02-19,455.80059814453125
2016-02-22,465.3575744628906
2016-02-23,457.79168701171875
2016-02-24,456.39788818359375
2016-02-25,477.65234375
2016-02-26,482.87884521484375
2016-02-29,484.3223876953125
2016-03-01,493.7798156738281
2016-03-02,479.6434326171875
2016-03-03,473.1226806640625
2016-03-04,467.896240234375
2016-03-07,463.6155090332031
2016-03-08,461.37554931640625
2016-03-09,457.74188232421875
2016-03-10,449.5785217285156
2016-03-11,456.9952392578125
2016-03-14,459.9320373535156
2016-03-15,452.1170959472656
2016-03-16,450.0763244628906
2016-03-17,444.50146484375
2016-03-18,444.9991455078125
2016-03-21,447.23907470703125
2016-03-22,442.60986328125
2016-03-23,440.4197082519531
2016-03-24,431.0120544433594
2016-03-29,437.48291015625
2016-03-30,444.10321044921875
2016-03-31,438.5282287597656
2016-04-01,436.6367492675781
2016-04-04,436.6865539550781
2016-04-05,433.4012756347656
2016-04-06,440.17083740234375
2016-04-07,438.0802307128906
2016-04-08,435.4919128417969
2016-04-11,439.1753234863281
2016-04-12,442.3611145019531
2016-04-13,442.60986328125
2016-04-14,444.4516296386719
2016-04-15,442.0125427246094
2016-04-18,452.86376953125
2016-04-19,449.080810546875
2016-04-20,436.288330078125
2016-04-21,432.8040771484375
2016-04-22,433.05291748046875
2016-04-25,427.5277099609375
2016-04-26,427.1792907714844
2016-04-27,435.84033203125
2016-04-28,432.30615234375
2016-04-29,441.21624755859375
2016-05-03,446.19384765625
2016-05-04,437.53271484375
2016-05-05,449.031005859375
2016-05-06,441.5147705078125
2016-05-09,438.8767395019531
2016-05-10,439.2748718261719
2016-05-11,434.94439697265625
2016-05-12,435.54168701171875
2016-05-13,438.1797790527344
2016-05-16,435.8901672363281
2016-05-17,440.2704162597656
2016-05-18,437.1842956542969
2016-05-19,430.9622497558594
2016-05-20,441.01708984375
2016-05-23,437.8811950683594
2016-05-24,446.49249267578125
2016-05-25,445.19830322265625
2016-05-26,446.59197998046875
2016-05-27,449.8772277832031
2016-05-31,440.8179626464844
2016-06-01,429.2200927734375
2016-06-02,431.5595397949219
2016-06-03,429.9169616699219
2016-06-06,428.0751647949219
2016-06-07,424.9393615722656
2016-06-08,420.21063232421875
2016-06-09,423.34649658203125
2016-06-10,420.6585693359375
2016-06-13,409.11053466796875
2016-06-14,394.8247985839844
2016-06-15,398.6077575683594
2016-06-16,400.2005920410156
2016-06-17,405.3275146484375
2016-06-20,427.1792907714844
2016-06-21,424.342041015625
2016-06-22,428.7223205566406
2016-06-23,437.73193359375
2016-06-24,382.1318664550781
2016-06-27,374.1676025390625
2016-06-28,389.69781494140625
2016-06-29,409.7078552246094
2016-06-30,408.1648254394531
2016-07-01,407.7666015625
2016-07-04,400.69830322265625
2016-07-05,400.2005920410156
2016-07-06,385.815185546875
2016-07-07,391.24090576171875
2016-07-08,395.1732482910156
2016-07-11,395.7705078125
2016-07-12,404.9790954589844
2016-07-13,400.8476257324219
2016-07-14,396.71624755859375
2016-07-15,398.2095031738281
2016-07-18,393.2319641113281
2016-07-19,390.7928466796875
2016-07-20,387.6570129394531
2016-07-21,385.31744384765625
2016-07-22,382.2811584472656
2016-07-25,385.7655029296875
2016-07-26,397.910888671875
2016-07-27,400.3001708984375
2016-07-28,412.4953308105469
2016-07-29,411.49981689453125
2016-08-01,405.5266418457031
2016-08-02,401.79339599609375
2016-08-03,406.77105712890625
2016-08-04,408.11505126953125
2016-08-05,404.7301940917969
2016-08-08,402.2414245605469
2016-08-09,403.187255859375
2016-08-10,406.5719299316406
2016-08-11,397.60614013671875
2016-08-12,396.1124572753906
2016-08-15,395.1167297363281
2016-08-16,390.9345703125
2016-08-17,394.1210021972656
2016-08-18,391.7311706542969
2016-08-19,389.78948974609375
2016-08-22,393.6729431152344
2016-08-23,397.8550720214844
2016-08-24,394.2703552246094
2016-08-25,392.52777099609375
2016-08-26,393.1252746582031
2016-08-30,387.4494323730469
2016-08-31,384.7110900878906
2016-09-01,384.96002197265625
2016-09-02,391.8805236816406
2016-09-05,390.9843444824219
2016-09-06,393.3244323730469
2016-09-07,388.3455810546875
2016-09-08,393.0256652832031
2016-09-09,388.3954162597656
2016-09-12,383.3668212890625
2016-09-13,377.93988037109375
2016-09-14,373.70794677734375
2016-09-15,378.2884521484375
2016-09-16,379.58294677734375
2016-09-19,383.018310546875
2016-09-20,386.70257568359375
2016-09-21,389.4408874511719
2016-09-22,395.3158874511719
2016-09-23,395.9132995605469
2016-09-26,388.0966796875
2016-09-27,385.3583679199219
2016-09-28,390.0881652832031
2016-09-29,389.64007568359375
2016-09-30,387.3996276855469
2016-10-03,383.4663391113281
2016-10-04,387.5489196777344
2016-10-05,379.63275146484375
2016-10-06,372.2640686035156
2016-10-07,366.1899719238281
2016-10-10,371.417724609375
2016-10-11,371.56707763671875
2016-10-12,368.3308410644531
2016-10-13,366.43896484375
2016-10-14,373.70794677734375
2016-10-17,377.04376220703125
2016-10-18,383.018310546875
2016-10-19,378.38800048828125
2016-10-20,375.20159912109375
2016-10-21,378.736572265625
2016-10-24,376.0977783203125
2016-10-25,386.0553283691406
2016-10-26,385.95574951171875
2016-10-27,377.6412658691406
2016-10-28,377.143310546875
2016-10-31,374.3551330566406
2016-11-01,369.5755615234375
2016-11-02,370.62109375
2016-11-03,369.7747497558594
2016-11-04,360.0162048339844
2016-11-07,359.5682067871094
2016-11-08,361.4601745605469
2016-11-09,361.2610168457031
2016-11-10,346.37445068359375
2016-11-11,359.46856689453125
2016-11-14,356.1328430175781
2016-11-15,362.15716552734375
2016-11-16,360.61376953125
2016-11-17,371.81597900390625
2016-11-18,361.36053466796875
2016-11-21,360.0162048339844
2016-11-22,364.8954772949219
2016-11-23,358.97076416015625
2016-11-24,356.5809020996094
2016-11-25,357.3277587890625
2016-11-28,348.8139953613281
2016-11-29,352.8468322753906
2016-11-30,355.585205078125
2016-12-01,351.7016906738281
2016-12-02,357.0787658691406
2016-12-05,350.6561584472656
2016-12-06,350.60638427734375
2016-12-07,355.7843017578125
2016-12-08,355.535400390625
2016-12-09,350.50677490234375
2016-12-12,345.22930908203125
2016-12-13,357.9252014160156
2016-12-14,362.1072998046875
2016-12-15,362.0078125
2016-12-16,365.4431457519531
2016-12-19,369.824462890625
2016-12-20,366.5882873535156
2016-12-21,369.6752014160156
2016-12-22,369.3764343261719
2016-12-23,368.77899169921875
2016-12-28,366.4886474609375
2016-12-29,369.42510986328125
2016-12-30,365.3916931152344
2017-01-03,369.92303466796875
2017-01-04,378.9856262207031
2017-01-05,382.81982421875
2017-01-06,382.9692077636719
2017-01-09,384.3634033203125
2017-01-10,386.106201171875
2017-01-11,395.2186279296875
2017-01-12,390.3885803222656
2017-01-13,390.1396179199219
2017-01-16,387.0025939941406
2017-01-17,381.8239440917969
2017-01-18,378.9856262207031
2017-01-19,376.4958801269531
2017-01-20,385.5584716796875
2017-01-23,380.9773864746094
2017-01-24,301.75445556640625
2017-01-25,301.10711669921875
2017-01-26,300.858154296875
2017-01-27,301.5552673339844
2017-01-30,304.2441101074219
2017-01-31,302.60089111328125
2017-02-01,304.3438415527344
2017-02-02,303.9453125
2017-02-03,306.1861572265625
2017-02-06,305.588623046875
2017-02-07,307.28155517578125
2017-02-08,309.9206848144531
2017-02-09,307.0326843261719
2017-02-10,304.9910888671875
2017-02-13,303.44744873046875
2017-02-14,304.4931335449219
2017-02-15,308.4269104003906
2017-02-16,311.2153625488281
2017-02-17,314.80059814453125
2017-02-20,321.970947265625
2017-02-21,319.4812316894531
2017-02-22,325.90472412109375
2017-02-23,329.8384704589844
2017-02-24,331.5315246582031
2017-02-27,329.44012451171875
2017-02-28,325.75531005859375
2017-03-01,327.0998229980469
2017-03-02,333.2244567871094
2017-03-03,331.5813293457031
2017-03-06,331.6808776855469
2017-03-07,331.1331787109375
2017-03-08,327.14959716796875
2017-03-09,328.84259033203125
2017-03-10,341.0423278808594
2017-03-13,330.2369079589844
2017-03-14,332.6767272949219
2017-03-15,330.5854187011719
2017-03-16,328.7928161621094
2017-03-17,332.9755554199219
2017-03-20,331.7804870605469
2017-03-21,325.7055358886719
2017-03-22,329.19110107421875
2017-03-23,330.0376281738281
2017-03-24,324.31134033203125
2017-03-27,323.61419677734375
2017-03-28,322.9170837402344
2017-03-29,321.02490234375
2017-03-30,315.69696044921875
2017-03-31,316.8919372558594
2017-04-03,314.70098876953125
2017-04-04,312.659423828125
2017-04-05,312.3108215332031
2017-04-06,312.9083557128906
2017-04-07,310.7671813964844
2017-04-10,313.7051086425781
2017-04-11,311.66351318359375
2017-04-12,314.4021911621094
2017-04-13,311.8128356933594
2017-04-18,309.07421875
2017-04-19,310.2195129394531
2017-04-20,310.26922607421875
2017-04-21,309.6717529296875
2017-04-24,312.709228515625
2017-04-25,312.1614990234375
2017-04-26,308.7754211425781
2017-04-27,306.8334655761719
2017-04-28,303.4971618652344
2017-05-02,301.2564392089844
2017-05-03,300.7585144042969
2017-05-04,304.3935241699219
2017-05-05,308.27752685546875
2017-05-08,305.3396301269531
2017-05-09,304.7420959472656
2017-05-10,310.6177978515625
2017-05-11,296.6255798339844
2017-05-12,304.6923522949219
2017-05-15,302.2524108886719
2017-05-16,308.5762939453125
2017-05-17,307.779541015625
