Date,DHR
2015-08-03,37.53407287597656
2015-08-04,37.71080017089844
2015-08-05,37.916282653808594
2015-08-06,37.63270950317383
2015-08-07,37.423118591308594
2015-08-10,37.78887176513672
2015-08-11,37.423118591308594
2015-08-12,37.10667037963867
2015-08-13,37.16421127319336
2015-08-14,37.36558151245117
2015-08-17,37.66558837890625
2015-08-18,37.608055114746094
2015-08-19,37.246402740478516
2015-08-20,36.47787857055664
2015-08-21,35.7340202331543
2015-08-24,34.542205810546875
2015-08-25,34.2052116394043
2015-08-26,35.61894607543945
2015-08-27,36.354591369628906
2015-08-28,36.1901969909668
2015-08-31,35.76279067993164
2015-09-01,34.84632110595703
2015-09-02,35.45867156982422
2015-09-03,35.70524978637695
2015-09-04,35.17509841918945
2015-09-08,35.972381591796875
2015-09-09,35.5120964050293
2015-09-10,35.36414337158203
2015-09-11,35.688804626464844
2015-09-14,35.66004180908203
2015-09-15,36.32992935180664
2015-09-16,36.687469482421875
2015-09-17,36.21896743774414
2015-09-18,35.429893493652344
2015-09-21,35.51620101928711
2015-09-22,35.166873931884766
2015-09-23,35.207977294921875
2015-09-24,34.94083786010742
2015-09-25,35.05179977416992
2015-09-28,33.864097595214844
2015-09-29,34.19697952270508
2015-09-30,35.075843811035156
2015-10-01,35.12522888183594
2015-10-02,35.67271041870117
2015-10-05,36.236663818359375
2015-10-06,35.9073486328125
2015-10-07,36.40542984008789
2015-10-08,36.590667724609375
2015-10-09,36.43423843383789
2015-10-12,36.83354568481445
2015-10-13,36.71416473388672
2015-10-14,36.32309341430664
2015-10-15,36.6606559753418
2015-10-16,36.61125183105469
2015-10-19,36.69769287109375
2015-10-20,36.81295394897461
2015-10-21,36.68534469604492
2015-10-22,38.685916900634766
2015-10-23,38.20841598510742
2015-10-26,38.027305603027344
2015-10-27,37.73091125488281
2015-10-28,38.11785125732422
2015-10-29,38.29896926879883
2015-10-30,38.41011428833008
2015-11-02,39.32395553588867
2015-11-03,39.3939323425293
2015-11-04,39.4392204284668
2015-11-05,39.36923599243164
2015-11-06,39.447452545166016
2015-11-09,39.26633071899414
2015-11-10,39.14695358276367
2015-11-11,39.15518569946289
2015-11-12,38.731197357177734
2015-11-13,38.504791259765625
2015-11-16,39.16754150390625
2015-11-17,39.24986267089844
2015-11-18,39.9414176940918
2015-11-19,39.90848159790039
2015-11-20,40.0731315612793
2015-11-23,40.01551055908203
2015-11-24,39.72736358642578
2015-11-25,39.859092712402344
2015-11-27,39.86732482910156
2015-11-30,39.67796325683594
2015-12-01,39.784996032714844
2015-12-02,39.50919723510742
2015-12-03,38.920555114746094
2015-12-04,39.735599517822266
2015-12-07,39.640926361083984
2015-12-08,39.422752380371094
2015-12-09,38.88761520385742
2015-12-10,38.96171188354492
2015-12-11,38.290740966796875
2015-12-14,38.434818267822266
2015-12-15,38.10139083862305
2015-12-16,38.74766159057617
2015-12-17,37.879913330078125
2015-12-18,37.60784149169922
2015-12-21,38.123130798339844
2015-12-22,38.230308532714844
2015-12-23,38.634300231933594
2015-12-24,38.50238800048828
2015-12-28,38.50651168823242
2015-12-29,38.819801330566406
2015-12-30,38.48177719116211
2015-12-31,38.28802490234375
2016-01-04,37.79335021972656
2016-01-05,37.86342239379883
2016-01-06,37.42234420776367
2016-01-07,36.461849212646484
2016-01-08,36.482452392578125
2016-01-11,36.461849212646484
2016-01-12,36.5030632019043
2016-01-13,35.666229248046875
2016-01-14,35.99189376831055
2016-01-15,35.11796951293945
2016-01-19,35.291107177734375
2016-01-20,35.039642333984375
2016-01-21,34.80467224121094
2016-01-22,35.18392562866211
2016-01-25,34.7840576171875
2016-01-26,34.90773010253906
2016-01-27,34.730464935302734
2016-01-28,34.821163177490234
2016-01-29,35.719825744628906
2016-02-01,35.435394287109375
2016-02-02,34.77994155883789
2016-02-03,35.056129455566406
2016-02-04,35.63737487792969
2016-02-05,35.056129455566406
2016-02-08,34.68513107299805
2016-02-09,35.11796951293945
2016-02-10,35.126224517822266
2016-02-11,34.45840072631836
2016-02-12,35.00666809082031
2016-02-16,35.65386962890625
2016-02-17,35.89296340942383
2016-02-18,35.728065490722656
2016-02-19,35.719825744628906
2016-02-22,36.17327880859375
2016-02-23,35.99602508544922
2016-02-24,35.946556091308594
2016-02-25,36.38351821899414
2016-02-26,36.71742630004883
2016-02-29,36.799861907958984
2016-03-01,37.3481330871582
2016-03-02,37.30278396606445
2016-03-03,37.44294738769531
2016-03-04,37.39347839355469
2016-03-07,37.19973373413086
2016-03-08,36.6679573059082
2016-03-09,36.470088958740234
2016-03-10,36.7751350402832
2016-03-11,37.35226821899414
2016-03-14,37.710906982421875
2016-03-15,37.80570983886719
2016-03-16,37.63257598876953
2016-03-17,38.56422424316406
2016-03-18,39.2815055847168
2016-03-21,39.104244232177734
2016-03-22,39.199222564697266
2016-03-23,39.16205596923828
2016-03-24,39.13728332519531
2016-03-28,39.21986389160156
2016-03-29,39.335479736328125
2016-03-30,39.240509033203125
2016-03-31,39.17031478881836
2016-04-01,39.48826599121094
2016-04-04,38.711971282958984
2016-04-05,38.51374816894531
2016-04-06,38.749122619628906
2016-04-07,38.51788330078125
2016-04-08,38.4807243347168
2016-04-11,38.2701301574707
2016-04-12,38.60047912597656
2016-04-13,38.918426513671875
2016-04-14,38.835838317871094
2016-04-15,38.86474609375
2016-04-18,38.96385192871094
2016-04-19,39.15791320800781
2016-04-20,39.1950798034668
2016-04-21,39.63691711425781
2016-04-22,39.81447219848633
2016-04-25,39.82687759399414
2016-04-26,39.78970718383789
2016-04-27,40.13243865966797
