Date,OEST.BA
2015-08-24,2.0584731101989746
2015-08-25,2.0584731101989746
2015-08-26,2.0584731101989746
2015-08-27,2.0584731101989746
2015-08-28,2.0584731101989746
2015-08-31,2.0642714500427246
2015-09-01,2.087465524673462
2015-09-02,2.075868606567383
2015-09-03,2.075868606567383
2015-09-04,2.087465524673462
2015-09-07,2.087465524673462
2015-09-08,2.0584731101989746
2015-09-09,2.075868606567383
2015-09-10,2.0584731101989746
2015-09-11,2.087465524673462
2015-09-14,2.087465524673462
2015-09-15,2.0584731101989746
2015-09-16,2.087465524673462
2015-09-17,2.0584731101989746
2015-09-18,2.0584731101989746
2015-09-21,2.0526742935180664
2015-09-22,2.029480457305908
2015-09-23,2.029480457305908
2015-09-24,2.029480457305908
2015-09-25,2.2324283123016357
2015-09-28,2.2324283123016357
2015-09-29,2.406383752822876
2015-09-30,2.406383752822876
2015-10-01,2.406383752822876
2015-10-02,2.406383752822876
2015-10-05,2.406383752822876
2015-10-06,2.319406032562256
2015-10-07,2.319406032562256
2015-10-08,2.319406032562256
2015-10-09,2.319406032562256
2015-10-13,2.319406032562256
2015-10-14,2.319406032562256
2015-10-15,2.493361473083496
2015-10-16,2.319406032562256
2015-10-19,2.4353764057159424
2015-10-20,2.319406032562256
2015-10-21,2.319406032562256
2015-10-22,2.319406032562256
2015-10-23,2.3773908615112305
2015-10-26,2.3773908615112305
2015-10-27,2.406383752822876
2015-10-28,2.551346778869629
2015-10-29,2.551346778869629
2015-10-30,2.551346778869629
2015-11-02,2.6093313694000244
2015-11-03,2.6673169136047363
2015-11-04,2.6673169136047363
2015-11-05,2.6093313694000244
2015-11-09,2.551346778869629
2015-11-10,2.6673169136047363
2015-11-11,2.6963095664978027
2015-11-12,2.725301742553711
2015-11-13,2.7542948722839355
2015-11-16,2.7542948722839355
2015-11-17,2.7542948722839355
2015-11-18,2.8412723541259766
2015-11-19,2.8122799396514893
2015-11-20,2.794884443283081
2015-11-24,2.6963095664978027
2015-11-25,2.6963095664978027
2015-11-26,2.725301742553711
2015-11-27,2.725301742553711
2015-11-30,2.7658917903900146
2015-12-01,2.7658917903900146
2015-12-02,2.7542948722839355
2015-12-03,2.7542948722839355
2015-12-04,2.8122799396514893
2015-12-09,2.957242965698242
2015-12-10,3.102205276489258
2015-12-11,3.189183473587036
2015-12-14,3.3051536083221436
2015-12-15,3.3631389141082764
2015-12-16,3.3051536083221436
2015-12-17,3.3051536083221436
2015-12-18,3.247168779373169
2015-12-21,3.1601908206939697
2015-12-22,3.1311986446380615
2015-12-23,3.189183473587036
2015-12-28,3.2181761264801025
2015-12-29,3.2181761264801025
2015-12-30,3.3631389141082764
2016-01-04,3.247168779373169
2016-01-05,3.3921313285827637
2016-01-06,3.4501163959503174
2016-01-07,3.4501163959503174
2016-01-08,3.4617135524749756
2016-01-11,3.421124219894409
2016-01-12,3.421124219894409
2016-01-13,3.247168779373169
2016-01-14,3.2819595336914062
2016-01-15,3.2819595336914062
2016-01-18,3.2819595336914062
2016-01-19,3.247168779373169
2016-01-20,3.247168779373169
2016-01-21,3.247168779373169
2016-01-22,3.2703628540039062
2016-01-25,3.3051536083221436
2016-01-26,3.3051536083221436
2016-01-27,3.421124219894409
2016-01-28,3.479109525680542
2016-01-29,3.479109525680542
2016-02-01,3.479109525680542
2016-02-02,3.479109525680542
2016-02-03,3.479109525680542
2016-02-04,3.479109525680542
2016-02-05,3.479109525680542
2016-02-10,3.479109525680542
2016-02-11,3.479109525680542
2016-02-12,3.560288906097412
2016-02-15,3.508101463317871
2016-02-16,3.479109525680542
2016-02-17,3.479109525680542
2016-02-18,3.508101463317871
2016-02-19,3.479109525680542
2016-02-22,3.479109525680542
2016-02-23,3.479109525680542
2016-02-24,3.479109525680542
2016-02-25,3.508101463317871
2016-02-26,3.5370943546295166
2016-02-29,3.5370943546295166
2016-03-01,3.566087007522583
2016-03-02,3.566087007522583
2016-03-03,3.6240718364715576
2016-03-04,3.6240718364715576
2016-03-07,3.566087007522583
2016-03-08,3.566087007522583
2016-03-09,3.653064727783203
2016-03-10,3.699453115463257
2016-03-11,3.699453115463257
2016-03-14,3.740041971206665
2016-03-15,3.7690348625183105
2016-03-16,4.058960914611816
2016-03-17,4.3198933601379395
2016-03-18,4.406871795654297
2016-03-21,4.4648566246032715
2016-03-22,4.638812065124512
2016-03-23,4.66780424118042
2016-03-28,4.737386703491211
2016-03-29,4.986722946166992
2016-03-30,5.340432643890381
2016-03-31,5.7695231437683105
2016-04-01,6.639299392700195
2016-04-04,7.190158843994141
2016-04-05,8.0599365234375
2016-04-06,7.422101020812988
2016-04-07,6.842248439788818
2016-04-08,7.219151496887207
2016-04-11,6.900232791900635
2016-04-12,6.581315994262695
2016-04-13,6.639299392700195
2016-04-14,6.81325626373291
2016-04-15,6.929226875305176
2016-04-18,7.103180885314941
2016-04-19,7.103180885314941
2016-04-20,7.016202926635742
2016-04-21,6.958219051361084
2016-04-22,6.66829252243042
2016-04-25,6.581315994262695
2016-04-26,6.639299392700195
2016-04-27,6.639299392700195
2016-04-28,6.5523223876953125
2016-04-29,6.842248439788818
2016-05-02,7.48008394241333
2016-05-03,7.306129455566406
2016-05-04,7.3931074142456055
2016-05-05,7.741017818450928
2016-05-06,7.654041290283203
2016-05-09,7.770009994506836
2016-05-10,7.827995777130127
2016-05-11,7.712024211883545
2016-05-12,7.5670623779296875
2016-05-13,7.48008394241333
2016-05-16,7.358110427856445
2016-05-17,7.388021945953369
2016-05-18,7.178644180297852
2016-05-19,7.178644180297852
