Date,EIHOTEL.NS
2015-08-21,105.00591278076172
2015-08-24,98.93157958984375
2015-08-25,100.62674713134766
2015-08-26,100.57966613769531
2015-08-27,99.02576446533203
2015-08-28,98.93157958984375
2015-08-31,96.71844482421875
2015-09-01,97.94273376464844
2015-09-02,95.25872039794922
2015-09-03,95.25872039794922
2015-09-04,93.84608459472656
2015-09-07,93.23394775390625
2015-09-08,95.44707489013672
2015-09-09,95.39999389648438
2015-09-10,95.39999389648438
2015-09-11,94.92910766601562
2015-09-14,95.16455841064453
2015-09-15,94.97620391845703
2015-09-16,97.23641967773438
2015-09-18,95.63542938232422
2015-09-21,94.08152770996094
2015-09-22,95.91796112060547
2015-09-23,93.79900360107422
2015-09-24,95.16455841064453
2015-09-28,92.9514389038086
2015-09-29,91.44461822509766
2015-09-30,92.15092468261719
2015-10-01,99.07284545898438
2015-10-05,98.36653900146484
2015-10-06,97.75437927246094
2015-10-07,98.46070098876953
2015-10-08,99.59080505371094
2015-10-09,98.6490478515625
2015-10-12,98.27235412597656
2015-10-13,97.37767791748047
2015-10-14,99.82624816894531
2015-10-15,101.75685119628906
2015-10-16,103.45201110839844
2015-10-19,101.33305358886719
2015-10-20,103.68745422363281
2015-10-21,102.79278564453125
2015-10-23,101.80393981933594
2015-10-26,103.64037322998047
2015-10-27,104.58212280273438
2015-10-28,104.62921142578125
2015-10-29,106.37145233154297
2015-10-30,108.49040985107422
2015-11-02,106.27729034423828
2015-11-03,108.396240234375
2015-11-04,109.52635955810547
2015-11-05,109.29090881347656
2015-11-06,108.25496673583984
2015-11-09,107.5015640258789
2015-11-10,104.01705932617188
2015-11-13,106.04183959960938
2015-11-16,108.30207061767578
2015-11-17,108.30207061767578
2015-11-18,108.34915924072266
2015-11-19,110.32685089111328
2015-11-20,106.51273345947266
2015-11-23,110.18557739257812
2015-11-24,107.31322479248047
2015-11-26,108.34915924072266
2015-11-27,107.03069305419922
2015-11-30,108.63167572021484
2015-12-01,108.30207061767578
2015-12-02,118.28468322753906
