Date,MRO.L
2015-08-24,113.25663757324219
2015-08-25,114.35406494140625
2015-08-26,113.69570922851562
2015-08-27,114.79314422607422
2015-08-28,117.20747375488281
2015-09-01,113.91513061523438
2015-09-02,114.79314422607422
2015-09-03,117.55868530273438
2015-09-04,116.24169921875
2015-09-07,117.03187561035156
2015-09-08,117.60260772705078
2015-09-09,119.00735473632812
2015-09-10,118.30492401123047
2015-09-11,116.9441146850586
2015-09-14,116.1539535522461
2015-09-15,117.20747375488281
2015-09-16,120.45600128173828
2015-09-17,117.55868530273438
2015-09-18,116.85627746582031
2015-09-21,116.32958221435547
2015-09-22,113.69570922851562
2015-09-23,115.8027572631836
2015-09-24,114.88089752197266
2015-09-25,114.61754608154297
2015-09-28,114.88089752197266
2015-09-29,114.74922943115234
2015-09-30,115.97835540771484
2015-10-01,117.03187561035156
2015-10-02,118.87566375732422
2015-10-05,120.28041076660156
2015-10-06,120.63150024414062
2015-10-07,121.15831756591797
2015-10-08,122.73865509033203
2015-10-09,120.7193603515625
2015-10-12,118.56838989257812
2015-10-13,117.82203674316406
2015-10-14,116.6807861328125
2015-10-15,117.42700958251953
2015-10-16,115.89058685302734
2015-10-19,117.20747375488281
2015-10-20,116.06620788574219
2015-10-21,115.89058685302734
2015-10-22,115.8027572631836
2015-10-23,118.17324829101562
2015-10-26,117.82203674316406
2015-10-27,117.69036865234375
2015-10-28,117.25140380859375
2015-10-29,117.29532623291016
2015-10-30,116.85627746582031
2015-11-02,117.25140380859375
2015-11-03,117.55868530273438
2015-11-04,118.52445220947266
2015-11-05,118.91950225830078
2015-11-06,120.41207122802734
2015-11-09,119.31462097167969
2015-11-10,118.17324829101562
2015-11-11,118.74388885498047
2015-11-12,116.85627746582031
2015-11-13,118.39278411865234
2015-11-16,121.28998565673828
2015-11-17,123.35322570800781
2015-11-18,121.948486328125
2015-11-19,122.91426849365234
2015-11-20,125.54812622070312
2015-11-23,124.0994644165039
2015-11-24,123.70442962646484
2015-11-25,124.14337921142578
2015-11-26,125.6358642578125
2015-11-27,125.50418853759766
2015-11-30,127.39180755615234
2015-12-01,126.95284271240234
2015-12-02,127.08453369140625
2015-12-03,125.10916137695312
2015-12-04,124.62628173828125
2015-12-07,125.85540008544922
2015-12-08,124.23116302490234
2015-12-09,124.71402740478516
2015-12-10,125.3285903930664
2015-12-11,123.74824523925781
2015-12-14,122.8263931274414
2015-12-15,123.52882385253906
2015-12-16,125.06523132324219
2015-12-17,125.19691467285156
2015-12-18,125.02131652832031
2015-12-21,125.41643524169922
2015-12-22,127.04058837890625
2015-12-23,129.32333374023438
2015-12-24,129.19168090820312
2015-12-29,128.66490173339844
2015-12-30,129.05999755859375
2015-12-31,127.69908142089844
2016-01-04,125.19691467285156
2016-01-05,126.908935546875
2016-01-06,124.01171875
2016-01-07,123.6165771484375
2016-01-08,123.52882385253906
2016-01-11,123.00200653076172
2016-01-12,124.45066833496094
2016-01-13,124.97748565673828
2016-01-14,124.01171875
2016-01-15,123.30929565429688
2016-01-18,120.41207122802734
2016-01-19,121.37784576416016
2016-01-20,119.8852767944336
2016-01-21,121.20226287841797
2016-01-22,122.29969787597656
2016-01-25,122.12407684326172
2016-01-26,123.35322570800781
2016-01-27,123.35322570800781
2016-01-28,127.50230407714844
2016-01-29,130.44192504882812
2016-02-01,130.1348876953125
2016-02-02,132.32858276367188
2016-02-03,132.06532287597656
2016-02-04,131.27566528320312
2016-02-05,130.74916076660156
2016-02-08,129.65219116210938
2016-02-09,126.71256256103516
2016-02-10,126.80029296875
2016-02-11,125.70345306396484
2016-02-12,128.90635681152344
2016-02-15,133.86427307128906
2016-02-16,134.17140197753906
2016-02-17,137.28652954101562
2016-02-18,137.5937042236328
2016-02-19,139.875244140625
2016-02-22,141.71792602539062
2016-02-23,141.58636474609375
2016-02-24,141.54251098632812
2016-02-25,143.2974853515625
2016-02-26,143.99949645996094
2016-02-29,144.30670166015625
2016-03-01,148.03611755371094
2016-03-02,146.9391632080078
2016-03-03,147.24632263183594
2016-03-04,152.29200744628906
2016-03-07,149.8349609375
2016-03-08,149.9227294921875
2016-03-09,148.9574432373047
2016-03-10,148.9136199951172
2016-03-11,150.75643920898438
2016-03-14,152.46749877929688
2016-03-15,151.41448974609375
2016-03-16,152.24810791015625
2016-03-17,156.50401306152344
2016-03-18,148.16766357421875
2016-03-21,149.08914184570312
2016-03-22,149.57171630859375
2016-03-23,151.28280639648438
2016-03-24,151.5022430419922
2016-03-29,155.1878204345703
2016-03-30,161.98846435546875
2016-03-31,156.41627502441406
2016-04-01,156.6795654296875
2016-04-04,156.32850646972656
2016-04-05,153.91539001464844
2016-04-06,155.75819396972656
2016-04-07,149.41184997558594
2016-04-08,151.60586547851562
2016-04-11,152.87840270996094
2016-04-12,153.6243896484375
2016-04-13,157.924560546875
2016-04-14,162.35650634765625
2016-04-15,165.515869140625
2016-04-18,166.6567840576172
2016-04-19,170.16712951660156
2016-04-20,170.3426513671875
2016-04-21,171.96627807617188
2016-04-22,168.93856811523438
2016-04-25,170.21107482910156
2016-04-26,166.7445526123047
2016-04-27,165.47193908691406
2016-04-28,165.34039306640625
2016-04-29,163.80459594726562
2016-05-03,165.16482543945312
2016-05-04,163.4973907470703
2016-05-05,164.06787109375
2016-05-06,167.0516357421875
2016-05-09,167.53443908691406
2016-05-10,168.76307678222656
2016-05-11,171.1764373779297
2016-05-12,168.85079956054688
2016-05-13,169.02635192871094
2016-05-16,173.6775665283203
2016-05-17,173.50209045410156
2016-05-18,174.1603240966797
2016-05-19,170.73764038085938
2016-05-20,171.2642059326172
2016-05-23,171.48355102539062
2016-05-24,169.5529022216797
2016-05-25,170.16712951660156
2016-05-26,167.183349609375
2016-05-27,166.87619018554688
2016-05-31,168.63134765625
2016-06-01,172.88775634765625
2016-06-02,171.92237854003906
2016-06-03,170.64988708496094
2016-06-06,171.00094604492188
2016-06-07,169.6406707763672
2016-06-08,170.1233367919922
2016-06-09,176.92471313476562
2016-06-10,175.95938110351562
2016-06-13,173.5460205078125
2016-06-14,171.1325225830078
2016-06-15,172.0540771484375
2016-06-16,168.32427978515625
2016-06-17,181.83929443359375
2016-06-20,184.18687438964844
2016-06-21,181.6637420654297
2016-06-22,183.8577423095703
2016-06-23,184.18687438964844
2016-06-24,181.4444122314453
2016-06-27,176.17874145507812
2016-06-28,178.04368591308594
2016-06-29,179.1406707763672
2016-06-30,186.8197479248047
2016-07-01,188.24586486816406
2016-07-04,183.52871704101562
2016-07-05,179.79891967773438
2016-07-06,262.1838073730469
2016-07-07,249.67799377441406
2016-07-08,243.09600830078125
2016-07-11,254.50489807128906
2016-07-12,259.1123046875
2016-07-13,272.7150573730469
2016-07-14,286.0985107421875
2016-07-15,291.36419677734375
2016-07-18,280.6134948730469
2016-07-19,278.41943359375
2016-07-20,280.83294677734375
2016-07-21,280.83294677734375
2016-07-22,283.6850891113281
2016-07-25,282.8076171875
2016-07-26,289.6089782714844
2016-07-27,294.4357604980469
2016-07-28,296.8492431640625
2016-07-29,300.3595886230469
2016-08-01,302.1148376464844
2016-08-02,306.0640869140625
2016-08-03,310.8908386230469
2016-08-04,306.9502258300781
2016-08-05,300.5875244140625
2016-08-08,344.90771484375
2016-08-09,328.2532653808594
2016-08-10,348.04168701171875
2016-08-11,341.6394348144531
2016-08-12,335.2374267578125
2016-08-15,336.4013671875
2016-08-16,321.2691345214844
2016-08-17,321.2691345214844
2016-08-18,324.17919921875
2016-08-19,321.2691345214844
2016-08-22,331.7453308105469
2016-08-23,335.2374267578125
2016-08-24,338.7294006347656
2016-08-25,338.14739990234375
2016-08-26,339.31146240234375
2016-08-30,340.4754943847656
2016-08-31,344.54949951171875
2016-09-01,346.2955322265625
2016-09-02,355.607666015625
2016-09-05,374.8140563964844
2016-09-06,374.23211669921875
2016-09-07,391.1102294921875
2016-09-08,389.9463195800781
2016-09-09,379.47015380859375
2016-09-12,368.9939270019531
2016-09-13,367.24786376953125
2016-09-14,383.544189453125
2016-09-15,386.4541931152344
2016-09-16,389.9463195800781
2016-09-19,389.9463195800781
2016-09-20,388.20025634765625
2016-09-21,391.6924133300781
2016-09-22,398.0944519042969
2016-09-23,399.84039306640625
2016-09-26,398.6763610839844
2016-09-27,395.184326171875
2016-09-28,395.7662658691406
2016-09-29,405.66058349609375
2016-09-30,406.24261474609375
2016-10-03,405.66058349609375
2016-10-04,407.9885559082031
2016-10-05,418.4647521972656
2016-10-06,419.0467224121094
2016-10-07,419.6288146972656
2016-10-10,426.0307922363281
2016-10-11,433.5969543457031
2016-10-12,421.37481689453125
2016-10-13,412.0627136230469
2016-10-14,410.8986511230469
2016-10-17,406.8245544433594
2016-10-18,411.4805908203125
2016-10-19,415.5547180175781
2016-10-20,409.1524963378906
2016-10-21,406.8245544433594
2016-10-24,402.75042724609375
2016-10-25,398.0944519042969
2016-10-26,392.27435302734375
2016-10-27,389.3642883300781
2016-10-28,396.34844970703125
2016-10-31,392.8563232421875
2016-11-01,386.4541931152344
2016-11-02,389.3642883300781
2016-11-03,387.6183166503906
2016-11-04,387.0362243652344
2016-11-07,388.20025634765625
2016-11-08,387.0362243652344
2016-11-09,396.34844970703125
2016-11-10,395.184326171875
2016-11-11,385.2901611328125
2016-11-14,391.1102294921875
2016-11-15,406.24261474609375
2016-11-16,401.58648681640625
2016-11-17,403.9144592285156
2016-11-18,402.75042724609375
2016-11-21,401.00445556640625
2016-11-22,406.24261474609375
2016-11-23,413.22662353515625
2016-11-24,419.0467224121094
2016-11-25,424.8668212890625
2016-11-28,427.19488525390625
2016-11-29,426.0307922363281
2016-11-30,426.61285400390625
2016-12-01,424.8668212890625
2016-12-02,426.0307922363281
2016-12-05,434.178955078125
2016-12-06,427.77691650390625
2016-12-07,431.85107421875
2016-12-08,427.19488525390625
2016-12-09,434.7609558105469
2016-12-12,430.68695068359375
2016-12-13,437.671142578125
2016-12-14,433.0149841308594
2016-12-15,433.0149841308594
2016-12-16,434.178955078125
2016-12-19,435.34295654296875
2016-12-20,437.671142578125
2016-12-21,437.08905029296875
2016-12-22,441.7450866699219
2016-12-23,442.3271179199219
2016-12-28,451.0572509765625
2016-12-29,455.71331787109375
2016-12-30,460.36944580078125
2017-01-03,460.9514465332031
2017-01-04,454.54931640625
2017-01-05,455.13140869140625
2017-01-06,463.27947998046875
2017-01-09,461.53338623046875
2017-01-10,468.517578125
2017-01-11,472.5915832519531
2017-01-12,473.755615234375
2017-01-13,473.1736145019531
2017-01-16,470.2635803222656
2017-01-17,456.2953186035156
2017-01-18,458.0413818359375
2017-01-19,455.71331787109375
2017-01-20,460.36944580078125
2017-01-23,458.6234130859375
2017-01-24,458.6234130859375
2017-01-25,456.2953186035156
2017-01-26,463.27947998046875
2017-01-27,465.60748291015625
2017-01-30,462.6974792480469
2017-01-31,454.54931640625
2017-02-01,462.6974792480469
2017-02-02,462.6974792480469
2017-02-03,463.27947998046875
2017-02-06,466.77154541015625
2017-02-07,478.9936828613281
2017-02-08,475.5016784667969
2017-02-09,476.083740234375
2017-02-10,481.90374755859375
2017-02-13,489.4699401855469
2017-02-14,501.692138671875
2017-02-15,502.2741394042969
2017-02-16,500.5281066894531
2017-02-17,497.0360107421875
2017-02-20,497.0360107421875
2017-02-21,505.1841125488281
2017-02-22,501.692138671875
2017-02-23,497.0360107421875
2017-02-24,490.6338806152344
2017-02-27,501.11004638671875
2017-02-28,496.4539489746094
2017-03-01,508.6761779785156
2017-03-02,562.2211303710938
2017-03-03,552.9089965820312
2017-03-06,542.432861328125
2017-03-07,536.6127319335938
2017-03-08,534.28466796875
2017-03-09,533.7025146484375
2017-03-10,536.030517578125
2017-03-13,534.8666381835938
2017-03-14,531.9566040039062
2017-03-15,535.448486328125
2017-03-16,530.2105102539062
2017-03-17,525.5545043945312
2017-03-20,528.4645385742188
2017-03-21,512.168212890625
2017-03-22,498.781982421875
2017-03-23,506.34814453125
2017-03-24,524.9725341796875
2017-03-27,513.332275390625
2017-03-28,517.9883422851562
2017-03-29,513.332275390625
2017-03-30,519.7343139648438
2017-03-31,519.15234375
2017-04-03,520.8983154296875
2017-04-04,529.6286010742188
2017-04-05,543.0147094726562
2017-04-06,546.570556640625
2017-04-07,554.7196044921875
2017-04-10,550.6450805664062
2017-04-11,554.7196044921875
2017-04-12,543.6599731445312
2017-04-13,543.0779418945312
2017-04-18,516.8845825195312
2017-04-19,520.3770751953125
2017-04-20,522.1232299804688
2017-04-21,530.8544311523438
2017-04-24,542.4960327148438
2017-04-25,543.6599731445312
2017-04-26,556.4658203125
2017-04-27,547.1526489257812
2017-04-28,550.6450805664062
2017-05-02,564.6148071289062
2017-05-03,557.0478515625
2017-05-04,561.7045288085938
2017-05-05,566.9430541992188
2017-05-08,558.7940063476562
2017-05-09,562.8684692382812
2017-05-10,558.2119140625
2017-05-11,560.5403442382812
2017-05-12,556.4658203125
2017-05-15,551.22705078125
2017-05-16,559.376220703125
2017-05-17,539.5855102539062
2017-05-18,539.00341796875
2017-05-19,532.6007080078125
2017-05-22,531.4363403320312
2017-05-23,541.3318481445312
2017-05-24,545.9884033203125
2017-05-25,549.4808959960938
2017-05-26,550.0630493164062
2017-05-30,552.973388671875
2017-05-31,557.0478515625
2017-06-01,561.1224365234375
2017-06-02,569.2715454101562
2017-06-05,575.0922241210938
2017-06-06,564.0328369140625
2017-06-07,551.8091430664062
2017-06-08,549.4808959960938
2017-06-09,568.107421875
2017-06-12,561.7045288085938
2017-06-13,563.4508056640625
2017-06-14,573.3460083007812
2017-06-15,569.2715454101562
2017-06-16,580.3309936523438
2017-06-19,591.157470703125
2017-06-20,603.0320434570312
2017-06-21,603.49755859375
2017-06-22,608.154296875
2017-06-23,602.5662231445312
2017-06-26,593.0388793945312
2017-06-27,585.3739624023438
2017-06-28,576.4891967773438
2017-06-29,560.4238891601562
2017-06-30,564.6148071289062
2017-07-03,559.9581909179688
2017-07-04,553.4389038085938
2017-07-05,565.08056640625
2017-07-06,554.603271484375
2017-07-07,552.0420532226562
2017-07-10,552.5076293945312
2017-07-11,549.4808959960938
2017-07-12,555.0687866210938
2017-07-13,554.3703002929688
2017-07-14,551.8091430664062
2017-07-17,559.9581909179688
2017-07-18,542.4960327148438
2017-07-19,549.248046875
2017-07-20,540.167724609375
2017-07-21,538.7705688476562
2017-07-24,539.00341796875
2017-07-25,544.59130859375
2017-07-26,547.8508911132812
2017-07-27,551.3435668945312
2017-07-28,540.8661499023438
2017-07-31,541.0990600585938
2017-08-01,540.8661499023438
2017-08-02,537.1408081054688
2017-08-03,536.907958984375
2017-08-04,541.3318481445312
2017-08-07,549.4808959960938
2017-08-08,549.4808959960938
2017-08-09,540.400390625
2017-08-10,535.9767456054688
2017-08-11,534.1138305664062
2017-08-14,540.400390625
2017-08-15,539.2365112304688
2017-08-16,553.4389038085938
2017-08-17,544.358642578125
2017-08-18,536.2094116210938
2017-08-21,535.2781982421875
2017-08-22,540.8661499023438
2017-08-23,540.400390625
2017-08-24,547.6182861328125
2017-08-25,547.3854370117188
2017-08-29,532.7171020507812
2017-08-30,533.8812255859375
2017-08-31,512.2278442382812
2017-09-01,510.8309326171875
2017-09-04,485.6851806640625
2017-09-05,495.4640808105469
2017-09-06,492.9030456542969
2017-09-07,493.6481628417969
2017-09-08,494.81243896484375
2017-09-11,493.182373046875
2017-09-12,482.00543212890625
2017-09-13,479.6769104003906
2017-09-14,475.0198059082031
2017-09-15,465.70574951171875
2017-09-18,465.70574951171875
2017-09-19,478.0469055175781
2017-09-20,471.9927978515625
2017-09-21,475.25274658203125
2017-09-22,479.6769104003906
2017-09-25,469.8970642089844
2017-09-26,469.4314270019531
2017-09-27,475.7183837890625
2017-09-28,485.9639587402344
2017-09-29,495.5108947753906
2017-10-02,498.3051452636719
2017-10-03,493.6481628417969
2017-10-04,496.4423828125
2017-10-05,498.3051452636719
2017-10-06,513.9063110351562
2017-10-09,514.60498046875
2017-10-10,513.9063110351562
2017-10-11,527.8775024414062
2017-10-12,523.4531860351562
2017-10-13,515.5363159179688
2017-10-16,515.3032836914062
2017-10-17,512.0435180664062
2017-10-18,514.60498046875
2017-10-19,515.7691650390625
2017-10-20,522.9876708984375
2017-10-23,524.8504028320312
2017-10-24,521.124755859375
2017-10-25,510.1806640625
2017-10-26,517.8648071289062
2017-10-27,519.7277221679688
2017-10-30,516.4677124023438
2017-10-31,512.0435180664062
2017-11-01,512.2763061523438
2017-11-02,513.9063110351562
2017-11-03,510.1806640625
2017-11-06,509.7149658203125
2017-11-07,511.11212158203125
2017-11-08,514.1392211914062
2017-11-09,498.3051452636719
2017-11-10,496.20953369140625
2017-11-13,492.01812744140625
2017-11-14,495.0453186035156
2017-11-15,493.182373046875
2017-11-16,506.6878967285156
2017-11-17,496.9081115722656
2017-11-20,501.3321838378906
2017-11-21,476.1841735839844
2017-11-22,474.7870178222656
2017-11-23,469.4314270019531
2017-11-24,468.0343017578125
2017-11-27,467.3357238769531
2017-11-28,472.2256774902344
2017-11-29,472.2256774902344
2017-11-30,465.4729919433594
2017-12-01,464.0758361816406
2017-12-04,475.0198059082031
2017-12-05,476.64990234375
2017-12-06,473.8555908203125
2017-12-07,466.1715393066406
2017-12-08,462.9114685058594
2017-12-11,470.1300354003906
2017-12-12,475.7183837890625
2017-12-13,467.1028747558594
2017-12-14,464.7743835449219
2017-12-15,462.9114685058594
2017-12-18,470.3628234863281
2017-12-19,480.37542724609375
2017-12-20,476.8827209472656
2017-12-21,482.00543212890625
2017-12-22,485.9639587402344
2017-12-27,488.9910583496094
2017-12-28,488.75823974609375
2017-12-29,494.1138610839844
2018-01-02,491.7853088378906
2018-01-03,497.60662841796875
2018-01-04,501.3321838378906
2018-01-05,506.6878967285156
2018-01-08,513.9063110351562
2018-01-09,504.3594055175781
2018-01-10,498.3051452636719
2018-01-11,500.6336975097656
2018-01-12,529.7404174804688
2018-01-15,536.958740234375
2018-01-16,545.5742797851562
2018-01-17,547.2044067382812
2018-01-18,548.8340454101562
2018-01-19,542.3143310546875
2018-01-22,535.095947265625
2018-01-23,548.3684692382812
2018-01-24,544.875732421875
2018-01-25,544.875732421875
2018-01-26,544.4100952148438
2018-01-29,535.5615234375
2018-01-30,532.06884765625
2018-01-31,527.1790161132812
2018-02-01,524.3847045898438
2018-02-02,512.9750366210938
2018-02-05,501.0993957519531
2018-02-06,500.8666076660156
2018-02-07,513.9063110351562
2018-02-08,495.0453186035156
2018-02-09,486.6625671386719
2018-02-12,490.8539123535156
2018-02-13,493.8809509277344
2018-02-14,514.8377685546875
2018-02-15,529.7404174804688
2018-02-16,526.2474975585938
2018-02-19,518.5634155273438
2018-02-20,523.4531860351562
2018-02-21,527.8775024414062
2018-02-22,526.9461059570312
2018-02-23,528.3432006835938
2018-02-26,525.0833129882812
2018-02-27,525.3161010742188
2018-02-28,531.60302734375
2018-03-01,518.7962036132812
2018-03-02,501.79803466796875
2018-03-05,502.7293701171875
2018-03-06,505.5235595703125
2018-03-07,500.6336975097656
2018-03-08,502.9622497558594
2018-03-09,523.220458984375
2018-03-12,497.1408996582031
2018-03-13,502.03082275390625
2018-03-14,513.9063110351562
2018-03-15,517.166259765625
2018-03-16,522.0560302734375
2018-03-19,518.33056640625
2018-03-20,521.8233032226562
2018-03-21,520.4262084960938
2018-03-22,516.2349243164062
2018-03-23,510.4135437011719
2018-03-26,514.60498046875
2018-03-27,520.891845703125
2018-03-28,519.96044921875
2018-03-29,537.8901977539062
2018-04-03,529.97314453125
2018-04-04,497.8394470214844
2018-04-05,493.2747497558594
2018-04-06,492.5760803222656
2018-04-09,486.753662109375
2018-04-10,492.1101989746094
2018-04-11,504.4538269042969
2018-04-12,507.4814758300781
2018-04-13,523.0855102539062
2018-04-16,520.7565307617188
2018-04-17,539.1553344726562
2018-04-18,547.306884765625
2018-04-19,550.1015014648438
2018-04-20,533.7987060546875
2018-04-23,522.8526000976562
2018-04-24,512.3722534179688
2018-04-25,503.0564270019531
2018-04-26,524.01708984375
2018-04-27,530.0723266601562
2018-04-30,531.0040893554688
2018-05-01,533.3330078125
2018-05-02,540.0870361328125
2018-05-03,538.2237548828125
2018-05-04,539.1553344726562
2018-05-08,543.1146850585938
2018-05-09,542.64892578125
2018-05-10,541.7171630859375
2018-05-11,543.1146850585938
2018-05-14,539.388427734375
2018-05-15,541.7171630859375
2018-05-16,547.306884765625
2018-05-17,546.142333984375
2018-05-18,551.4989624023438
2018-05-21,563.3765869140625
2018-05-22,575.2543334960938
2018-05-23,574.5556030273438
2018-05-24,563.609619140625
2018-05-25,560.8147583007812
2018-05-29,548.47119140625
2018-05-30,542.64892578125
2018-05-31,549.6358032226562
2018-06-01,550.8002319335938
2018-06-04,554.2935791015625
2018-06-05,558.02001953125
2018-06-06,558.02001953125
2018-06-07,557.7871704101562
2018-06-08,551.9647216796875
2018-06-11,553.362060546875
2018-06-12,556.6226806640625
2018-06-13,558.02001953125
2018-06-14,560.1160278320312
2018-06-15,548.9368896484375
2018-06-18,548.47119140625
2018-06-19,538.4566650390625
2018-06-20,539.62109375
2018-06-21,519.359130859375
2018-06-22,516.7972412109375
2018-06-25,495.1380615234375
2018-06-26,499.09722900390625
2018-06-27,500.7274475097656
2018-06-28,484.8905029296875
2018-06-29,495.3708190917969
2018-07-02,483.0273132324219
2018-07-03,487.4522705078125
2018-07-04,479.068115234375
2018-07-05,487.68524169921875
2018-07-06,484.6575622558594
2018-07-09,498.1656188964844
2018-07-10,498.1656188964844
2018-07-11,494.43927001953125
2018-07-12,504.4538269042969
2018-07-13,511.440673828125
2018-07-16,511.440673828125
2018-07-17,517.2631225585938
2018-07-18,525.181640625
2018-07-19,508.6458740234375
2018-07-20,501.6590576171875
2018-07-23,500.7274475097656
2018-07-24,505.8511962890625
2018-07-25,493.973388671875
2018-07-26,498.3984680175781
2018-07-27,501.4261169433594
2018-07-30,497.93267822265625
2018-07-31,502.8235168457031
2018-08-01,499.7959289550781
2018-08-02,492.3431701660156
2018-08-03,498.1656188964844
2018-08-06,500.02874755859375
2018-08-07,505.6182556152344
2018-08-08,511.20782470703125
2018-08-09,509.5775146484375
2018-08-10,504.9195556640625
2018-08-13,504.9195556640625
2018-08-14,509.34454345703125
2018-08-15,496.7681884765625
2018-08-16,511.673583984375
2018-08-17,514.9341430664062
2018-08-20,528.209228515625
2018-08-21,524.4829711914062
2018-08-22,519.592041015625
2018-08-23,527.0447387695312
2018-08-24,535.6618041992188
2018-08-28,544.744873046875
2018-08-29,540.78564453125
