Date,HUSQ-B.ST
2015-08-24,39.541404724121094
2015-08-25,42.263328552246094
2015-08-26,41.895503997802734
2015-08-27,41.306983947753906
2015-08-28,40.277061462402344
2015-08-31,40.460975646972656
2015-09-01,39.35749816894531
2015-09-02,39.76210403442383
2015-09-03,40.902366638183594
2015-09-04,40.12991714477539
2015-09-07,41.12306213378906
2015-09-08,41.38053512573242
2015-09-09,41.85872268676758
2015-09-10,41.306983947753906
2015-09-11,41.527679443359375
2015-09-14,40.82880783081055
2015-09-15,39.798892974853516
2015-09-16,40.49775695800781
2015-09-17,40.7552375793457
2015-09-18,40.5345458984375
2015-09-21,40.49775695800781
2015-09-22,39.68853759765625
2015-09-23,40.31385040283203
2015-09-24,38.87931823730469
2015-09-25,39.68853759765625
2015-09-28,39.1735725402832
2015-09-29,39.394283294677734
2015-09-30,40.31385040283203
2015-10-01,39.946022033691406
2015-10-02,40.571327209472656
2015-10-05,42.189762115478516
2015-10-06,42.30011749267578
2015-10-07,41.969058990478516
2015-10-08,41.12306213378906
2015-10-09,41.895503997802734
2015-10-12,41.85872268676758
2015-10-13,41.38053512573242
2015-10-14,41.15983963012695
2015-10-15,40.12991714477539
2015-10-16,40.01958084106445
2015-10-19,40.35062789916992
2015-10-20,40.902366638183594
2015-10-21,38.87931823730469
2015-10-22,40.04381561279297
2015-10-23,41.6966667175293
2015-10-26,41.02050018310547
2015-10-27,40.71998596191406
2015-10-28,41.771793365478516
2015-10-29,41.47126770019531
2015-10-30,42.33525466918945
2015-11-02,41.88448715209961
2015-11-03,42.67333984375
2015-11-04,42.71089553833008
2015-11-05,42.89872741699219
2015-11-06,43.124107360839844
2015-11-09,42.63576889038086
2015-11-10,41.95960998535156
2015-11-11,41.95960998535156
2015-11-12,41.20832443237305
2015-11-13,40.419464111328125
2015-11-16,40.419464111328125
2015-11-17,41.65910720825195
2015-11-18,41.771793365478516
2015-11-19,42.260128021240234
2015-11-20,42.297698974609375
2015-11-23,42.297698974609375
2015-11-24,41.50883865356445
2015-11-25,41.92204666137695
2015-11-26,41.9971809387207
2015-11-27,42.147438049316406
2015-11-30,42.147438049316406
2015-12-01,43.01142120361328
2015-12-02,43.0865478515625
2015-12-03,42.41039276123047
2015-12-04,41.95960998535156
2015-12-07,41.95960998535156
2015-12-08,40.64484786987305
2015-12-09,40.53215408325195
2015-12-10,40.381900787353516
2015-12-11,39.81843566894531
2015-12-14,39.81843566894531
2015-12-15,39.555484771728516
2015-12-16,41.35858154296875
2015-12-17,42.78604507446289
2015-12-18,41.73421859741211
2015-12-21,41.73421859741211
2015-12-22,41.35858154296875
2015-12-23,42.297698974609375
2015-12-28,42.297698974609375
2015-12-29,42.44795227050781
2015-12-30,42.07231140136719
2016-01-04,42.07231140136719
2016-01-05,40.19407653808594
2016-01-07,40.19407653808594
2016-01-08,38.203163146972656
2016-01-11,37.865074157714844
2016-01-12,38.27828598022461
2016-01-13,38.46611404418945
2016-01-14,38.015323638916016
2016-01-15,37.63969039916992
2016-01-18,37.391761779785156
2016-01-19,37.15135192871094
2016-01-20,37.21896743774414
2016-01-21,37.391761779785156
2016-01-22,39.254966735839844
2016-01-25,38.954444885253906
2016-01-26,39.17983627319336
2016-01-27,38.729061126708984
2016-01-28,39.104713439941406
2016-01-29,40.795108795166016
2016-02-01,40.64484786987305
2016-02-02,40.19407653808594
2016-02-03,39.480350494384766
2016-02-04,40.11894607543945
2016-02-05,40.71998596191406
2016-02-08,38.954444885253906
2016-02-09,38.57880783081055
2016-02-10,39.78086853027344
2016-02-11,38.57880783081055
2016-02-12,39.555484771728516
2016-02-15,40.381900787353516
2016-02-16,39.70573425292969
2016-02-17,41.09562683105469
2016-02-18,40.60729217529297
2016-02-19,40.26921463012695
2016-02-22,40.60729217529297
2016-02-23,40.04381561279297
2016-02-24,39.17983627319336
2016-02-25,39.931129455566406
2016-02-26,40.71998596191406
2016-02-29,40.90780258178711
2016-03-01,41.50883865356445
2016-03-02,40.8702392578125
2016-03-03,40.795108795166016
2016-03-04,41.13319778442383
2016-03-07,41.771793365478516
2016-03-08,41.50883865356445
2016-03-09,41.92204666137695
2016-03-10,41.846920013427734
2016-03-11,42.67333984375
2016-03-14,43.57489013671875
2016-03-15,43.161678314208984
2016-03-16,43.72515106201172
2016-03-17,44.175926208496094
2016-03-18,43.950538635253906
2016-03-21,43.687583923339844
2016-03-22,43.83784484863281
2016-03-23,43.87541198730469
2016-03-24,44.43887710571289
2016-03-29,44.13835906982422
2016-03-30,44.514007568359375
2016-03-31,44.58913040161133
2016-04-01,44.70182800292969
2016-04-04,44.852081298828125
2016-04-05,44.66426467895508
2016-04-06,44.8896484375
2016-04-07,43.97972106933594
2016-04-08,45.003395080566406
2016-04-11,45.647918701171875
2016-04-12,46.67158508300781
2016-04-13,47.24028778076172
2016-04-14,46.97489547729492
2016-04-15,46.823238372802734
2016-04-18,47.9227409362793
2016-04-19,48.41560745239258
2016-04-20,48.22604751586914
2016-04-21,48.94640350341797
2016-04-22,48.07439041137695
2016-04-25,48.832664489746094
2016-04-26,48.681007385253906
2016-04-27,48.453529357910156
2016-04-28,49.0222282409668
2016-04-29,48.529354095458984
2016-05-02,48.112300872802734
2016-05-03,48.90849304199219
2016-05-04,49.553016662597656
2016-05-06,49.098060607910156
2016-05-09,49.742584228515625
2016-05-10,49.93215560913086
2016-05-11,49.66675567626953
2016-05-12,49.098060607910156
2016-05-13,49.5909309387207
2016-05-16,49.43927001953125
2016-05-17,50.1217155456543
2016-05-18,50.38711166381836
