Date,GPIL.NS
2015-08-21,18.05964469909668
2015-08-24,15.850997924804688
2015-08-25,16.095046997070312
2015-08-26,16.705171585083008
2015-08-27,17.047842025756836
2015-08-28,17.06007957458496
2015-08-31,16.900983810424805
2015-09-01,16.411455154418945
2015-09-02,16.227880477905273
2015-09-03,16.252357482910156
2015-09-04,16.032068252563477
2015-09-07,16.01983070373535
2015-09-08,16.276832580566406
2015-09-09,16.068784713745117
2015-09-10,16.044307708740234
2015-09-11,15.946402549743652
2015-09-14,16.656219482421875
2015-09-15,16.87650489807129
2015-09-16,16.81531524658203
2015-09-18,18.700002670288086
2015-09-21,18.602096557617188
2015-09-22,18.16152000427246
2015-09-23,17.782136917114258
2015-09-24,17.745420455932617
2015-09-28,18.026899337768555
2015-09-29,17.953468322753906
2015-09-30,17.867801666259766
2015-10-01,17.904518127441406
2015-10-05,18.296140670776367
2015-10-06,18.3940486907959
2015-10-07,18.736717224121094
2015-10-08,18.66329002380371
2015-10-09,18.540904998779297
2015-10-12,18.846860885620117
2015-10-13,18.516429901123047
2015-10-14,18.712238311767578
2015-10-15,18.675525665283203
2015-10-16,19.556676864624023
2015-10-19,19.189529418945312
2015-10-20,19.201766967773438
2015-10-21,18.78567123413086
2015-10-23,18.74895477294922
2015-10-26,18.712238311767578
2015-10-27,18.369569778442383
2015-10-28,18.026899337768555
2015-10-29,18.210474014282227
2015-10-30,18.112567901611328
2015-11-02,17.659753799438477
2015-11-03,17.500656127929688
2015-11-04,17.97794532775879
2015-11-05,17.757658004760742
2015-11-06,17.30484390258789
2015-11-09,16.827552795410156
2015-11-10,16.717411041259766
2015-11-13,16.99888801574707
2015-11-16,17.06007957458496
2015-11-17,17.170225143432617
2015-11-18,16.925458908081055
2015-11-19,16.925458908081055
2015-11-20,16.888742446899414
2015-11-23,16.558313369750977
2015-11-24,16.766361236572266
2015-11-26,17.206939697265625
2015-11-27,16.81531524658203
2015-11-30,16.949935913085938
2015-12-01,16.937698364257812
2015-12-02,16.778600692749023
2015-12-03,16.888742446899414
2015-12-04,16.778600692749023
2015-12-07,16.778600692749023
2015-12-08,16.643978118896484
2015-12-09,16.01983070373535
2015-12-10,16.032068252563477
2015-12-11,15.860734939575195
2015-12-14,15.689399719238281
2015-12-15,16.852027893066406
2015-12-16,16.448169708251953
2015-12-17,16.460407257080078
2015-12-18,16.680694580078125
2015-12-21,17.39051055908203
2015-12-22,17.24365234375
2015-12-23,17.170225143432617
2015-12-24,17.157983779907227
2015-12-28,17.023366928100586
2015-12-29,17.035602569580078
2015-12-30,16.790836334228516
2015-12-31,17.109033584594727
2016-01-01,17.31708335876465
2016-01-04,17.133508682250977
2016-01-05,17.133508682250977
2016-01-06,16.913217544555664
2016-01-07,16.301307678222656
2016-01-08,16.558313369750977
2016-01-11,16.790836334228516
2016-01-12,16.386978149414062
2016-01-13,15.677162170410156
2016-01-14,15.787304878234863
2016-01-15,15.040773391723633
2016-01-18,14.514530181884766
2016-01-19,14.63691234588623
2016-01-20,14.049477577209473
2016-01-21,14.159621238708496
2016-01-22,14.147383689880371
2016-01-25,14.184097290039062
2016-01-27,14.416624069213867
2016-01-28,14.330957412719727
2016-01-29,14.110668182373047
2016-02-01,14.098429679870605
2016-02-02,13.902618408203125
2016-02-03,13.633378028869629
2016-02-04,13.719046592712402
2016-02-05,13.890380859375
2016-02-08,13.95157241821289
2016-02-09,13.767998695373535
2016-02-10,13.767998695373535
2016-02-11,13.045943260192871
2016-02-12,13.07042121887207
2016-02-15,13.33966064453125
2016-02-16,12.727749824523926
2016-02-17,12.274935722351074
2016-02-18,12.446270942687988
2016-02-19,12.397317886352539
2016-02-22,12.32388973236084
2016-02-23,12.360603332519531
2016-02-24,12.372840881347656
2016-02-25,11.85883617401123
2016-02-26,12.128076553344727
2016-02-29,12.360603332519531
2016-03-01,12.360603332519531
2016-03-02,12.32388973236084
2016-03-03,13.376376152038574
2016-03-04,13.572186470031738
2016-03-08,13.988286972045898
2016-03-09,13.853666305541992
2016-03-10,13.853666305541992
2016-03-11,13.633378028869629
2016-03-14,12.960275650024414
2016-03-15,13.192802429199219
2016-03-16,13.327422142028809
2016-03-17,13.364137649536133
2016-03-18,13.327422142028809
2016-03-21,13.376376152038574
2016-03-22,13.596663475036621
2016-03-23,13.327422142028809
2016-03-28,12.89908504486084
2016-03-29,12.666559219360352
2016-03-30,12.911322593688965
2016-03-31,13.07042121887207
2016-04-01,15.028533935546875
2016-04-04,16.472646713256836
2016-04-05,16.227880477905273
2016-04-06,16.656219482421875
2016-04-07,16.227880477905273
2016-04-08,16.154451370239258
2016-04-11,16.044307708740234
2016-04-12,16.619504928588867
2016-04-13,17.133508682250977
2016-04-18,17.635276794433594
2016-04-20,17.54960823059082
2016-04-21,17.133508682250977
2016-04-22,17.280364990234375
2016-04-25,16.680694580078125
2016-04-26,17.084558486938477
2016-04-27,17.06007957458496
2016-04-28,16.717411041259766
2016-04-29,16.276832580566406
2016-05-02,16.068784713745117
2016-05-03,16.435930252075195
2016-05-04,16.643978118896484
2016-05-05,16.99888801574707
2016-05-06,16.705169677734375
2016-05-09,16.888742446899414
2016-05-10,16.803077697753906
2016-05-11,16.619504928588867
2016-05-12,16.692934036254883
2016-05-13,16.386978149414062
2016-05-16,16.411455154418945
2016-05-17,16.289072036743164
2016-05-18,16.227880477905273
2016-05-19,16.093259811401367
2016-05-20,15.958638191223145
2016-05-23,15.444634437561035
2016-05-24,15.61596965789795
2016-05-25,15.358967781066895
2016-05-26,15.236584663391113
2016-05-27,15.346729278564453
