Date,GEBN.SW
2015-08-24,233.49319458007812
2015-08-25,237.72994995117188
2015-08-26,236.63156127929688
2015-08-27,244.00660705566406
2015-08-28,240.08370971679688
2015-08-31,241.1036376953125
2015-09-01,236.7100372314453
2015-09-02,238.0437774658203
2015-09-03,243.22206115722656
2015-09-04,237.72994995117188
2015-09-07,238.20068359375
2015-09-08,239.37757873535156
2015-09-09,242.35902404785156
2015-09-10,240.78977966308594
2015-09-11,240.39752197265625
2015-09-14,239.14219665527344
2015-09-15,242.4374542236328
2015-09-16,243.6143341064453
2015-09-17,242.20208740234375
2015-09-18,239.14219665527344
2015-09-21,240.39752197265625
2015-09-22,234.67002868652344
2015-09-23,233.80702209472656
2015-09-24,228.78564453125
2015-09-25,233.2577362060547
2015-09-28,231.2178497314453
2015-09-29,229.33486938476562
2015-09-30,233.57162475585938
2015-10-01,233.49319458007812
2015-10-02,236.4745635986328
2015-10-05,242.98667907714844
2015-10-06,245.26202392578125
2015-10-07,246.5957794189453
2015-10-08,248.3218536376953
2015-10-09,250.44024658203125
2015-10-12,249.1849365234375
2015-10-13,246.28192138671875
2015-10-14,244.55589294433594
2015-10-15,247.06649780273438
2015-10-16,247.14498901367188
2015-10-19,246.5957794189453
2015-10-20,248.94952392578125
2015-10-21,252.6371307373047
2015-10-22,257.2661437988281
2015-10-23,262.28753662109375
2015-10-26,260.4829406738281
2015-10-27,247.92959594726562
2015-10-28,247.8511199951172
2015-10-29,248.3218536376953
2015-10-30,250.51870727539062
2015-11-02,254.44161987304688
2015-11-03,255.46157836914062
2015-11-04,255.2262725830078
2015-11-05,254.99087524414062
2015-11-06,256.4031677246094
2015-11-09,256.5600280761719
2015-11-10,256.63848876953125
2015-11-11,260.71832275390625
2015-11-12,258.3645935058594
2015-11-13,255.77540588378906
2015-11-16,257.5015563964844
2015-11-17,262.8367614746094
2015-11-18,264.6412658691406
2015-11-19,265.4258728027344
2015-11-20,266.602783203125
2015-11-23,264.955078125
2015-11-24,261.73828125
2015-11-25,266.5243225097656
2015-11-26,266.7596740722656
2015-11-27,267.9365539550781
2015-11-30,269.9765319824219
2015-12-01,267.6227111816406
2015-12-02,268.2503662109375
2015-12-03,264.955078125
2015-12-04,265.26898193359375
2015-12-07,265.8966369628906
2015-12-08,262.0521545410156
2015-12-09,264.6412658691406
2015-12-10,263.46441650390625
2015-12-11,261.0322265625
2015-12-14,260.01220703125
2015-12-15,263.1505126953125
2015-12-16,264.0135803222656
2015-12-17,263.77825927734375
2015-12-18,261.2675476074219
2015-12-21,257.97222900390625
2015-12-22,257.658447265625
2015-12-23,262.44439697265625
2015-12-28,263.856689453125
2015-12-29,266.6811828613281
2015-12-30,266.9165954589844
2016-01-04,261.5814514160156
2016-01-05,264.1705627441406
2016-01-06,258.9922790527344
2016-01-07,254.0493927001953
2016-01-08,249.5771484375
2016-01-11,248.00802612304688
2016-01-12,256.5600280761719
2016-01-13,266.838134765625
2016-01-14,266.3674011230469
2016-01-15,260.71832275390625
2016-01-18,261.1106262207031
2016-01-19,264.56280517578125
2016-01-20,257.03082275390625
2016-01-21,260.4829406738281
2016-01-22,268.6426696777344
2016-01-25,272.3302307128906
2016-01-26,277.0378112792969
2016-01-27,280.1761474609375
2016-01-28,278.5284423828125
2016-01-29,283.8636779785156
2016-02-01,285.19744873046875
2016-02-02,282.05914306640625
2016-02-03,281.7452697753906
2016-02-04,280.6468811035156
2016-02-05,277.979248046875
2016-02-08,268.1719055175781
2016-02-09,265.9750671386719
2016-02-10,269.7410888671875
2016-02-11,263.2290344238281
2016-02-12,270.99639892578125
2016-02-15,281.6667785644531
2016-02-16,280.9607238769531
2016-02-17,281.6667785644531
2016-02-18,283.1575012207031
2016-02-19,282.05914306640625
2016-02-22,284.56982421875
2016-02-23,280.0191955566406
2016-02-24,280.0191955566406
2016-02-25,280.1761474609375
2016-02-26,280.80377197265625
2016-02-29,283.47137451171875
2016-03-01,287.62969970703125
2016-03-02,283.2360534667969
2016-03-03,282.60833740234375
2016-03-04,285.19744873046875
2016-03-07,284.41290283203125
