Date,GAEL.NS
2015-08-21,12.206660270690918
2015-08-24,10.69558334350586
2015-08-25,10.51850414276123
2015-08-26,10.530309677124023
2015-08-27,11.403901100158691
2015-08-28,11.026131629943848
2015-08-31,11.297651290893555
2015-09-01,11.014326095581055
2015-09-02,11.108766555786133
2015-09-03,11.285848617553711
2015-09-04,10.601142883300781
2015-09-07,9.98726749420166
2015-09-08,10.187955856323242
2015-09-09,10.37684154510498
2015-09-10,10.459479331970215
2015-09-11,10.400449752807617
2015-09-14,10.471282958984375
2015-09-15,10.459479331970215
2015-09-16,10.601142883300781
2015-09-18,10.636554718017578
2015-09-21,11.533757209777832
2015-09-22,11.415704727172852
2015-09-23,11.20320987701416
2015-09-24,11.191404342651367
2015-09-28,10.81363582611084
2015-09-29,11.451122283935547
2015-09-30,11.85250186920166
2015-10-01,12.124022483825684
2015-10-05,12.312908172607422
2015-10-06,11.462926864624023
2015-10-07,12.206660270690918
2015-10-08,12.336517333984375
2015-10-09,12.489986419677734
2015-10-12,12.714284896850586
2015-10-13,13.092055320739746
2015-10-14,13.682321548461914
2015-10-15,13.694125175476074
2015-10-16,13.493433952331543
2015-10-19,13.3399658203125
2015-10-20,13.387187004089355
2015-10-21,14.296195030212402
2015-10-23,14.331608772277832
2015-10-26,14.012866973876953
2015-10-27,14.166335105895996
2015-10-28,13.989255905151367
2015-10-29,13.458020210266113
2015-10-30,11.710837364196777
2015-11-02,11.35667896270752
2015-11-03,11.451122283935547
2015-11-04,10.860856056213379
2015-11-05,10.37684154510498
2015-11-06,10.235177993774414
2015-11-09,10.648362159729004
2015-11-10,10.683778762817383
2015-11-13,10.849053382873535
2015-11-16,11.746253967285156
2015-11-17,11.344873428344727
2015-11-18,11.132378578186035
2015-11-19,11.03793716430664
2015-11-20,10.94349479675293
2015-11-23,10.90807819366455
2015-11-24,10.9671049118042
2015-11-26,11.120573997497559
2015-11-27,11.026131629943848
2015-11-30,11.03793716430664
2015-12-01,11.026131629943848
2015-12-02,11.226820945739746
2015-12-03,11.061546325683594
2015-12-04,11.285848617553711
2015-12-07,10.849053382873535
2015-12-08,10.577530860900879
2015-12-09,10.034485816955566
2015-12-10,10.353228569030762
2015-12-11,10.754609107971191
2015-12-14,11.096961975097656
2015-12-15,10.9671049118042
2015-12-16,10.837247848510742
2015-12-17,10.919883728027344
2015-12-18,10.81363582611084
2015-12-21,10.872661590576172
2015-12-22,10.742804527282715
2015-12-23,10.648362159729004
2015-12-24,10.671972274780273
2015-12-28,10.955300331115723
2015-12-29,10.81363582611084
2015-12-30,10.919883728027344
2015-12-31,11.167795181274414
2016-01-01,12.442765235900879
2016-01-04,11.82889175415039
2016-01-05,12.466375350952148
2016-01-06,11.321263313293457
2016-01-07,11.35667896270752
2016-01-08,11.604591369628906
2016-01-11,11.451122283935547
2016-01-12,11.297651290893555
2016-01-13,10.825440406799316
2016-01-14,10.719194412231445
2016-01-15,10.164345741271973
2016-01-18,9.857409477233887
2016-01-19,10.128931999206543
2016-01-20,10.058098793029785
2016-01-21,9.727550506591797
2016-01-22,10.093515396118164
2016-01-25,10.25878620147705
2016-01-27,10.223372459411621
2016-01-28,10.24698257446289
2016-01-29,10.400449752807617
2016-02-01,10.719194412231445
2016-02-02,10.435866355895996
2016-02-03,10.081709861755371
2016-02-04,9.916434288024902
2016-02-05,10.169159889221191
2016-02-08,10.14509105682373
2016-02-09,9.952539443969727
2016-02-10,9.74795150756836
2016-02-11,9.326744079589844
2016-02-12,9.194364547729492
2016-02-15,9.555400848388672
2016-02-16,9.386916160583496
2016-02-17,9.049949645996094
2016-02-18,9.386916160583496
2016-02-19,9.326744079589844
2016-02-22,9.266572952270508
2016-02-23,9.278604507446289
2016-02-24,9.013847351074219
2016-02-25,8.857398986816406
2016-02-26,8.737051963806152
2016-02-29,8.821294784545898
2016-03-01,9.182330131530762
2016-03-02,9.567434310913086
2016-03-03,9.507261276245117
2016-03-04,9.74795150756836
2016-03-08,9.627607345581055
2016-03-09,9.555400848388672
2016-03-10,9.543364524841309
2016-03-11,9.531331062316895
2016-03-14,9.230467796325684
2016-03-15,9.13419246673584
2016-03-16,9.02588176727295
2016-03-17,9.037915229797363
2016-03-18,9.001812934875488
2016-03-21,9.049949645996094
2016-03-22,10.193228721618652
2016-03-23,9.77202033996582
2016-03-28,9.290639877319336
2016-03-29,9.194364547729492
2016-03-30,9.33877944946289
2016-03-31,9.84422779083252
2016-04-01,10.000676155090332
2016-04-04,10.03678035736084
2016-04-05,9.892365455627441
2016-04-06,10.14509105682373
2016-04-07,9.447089195251465
2016-04-08,10.2052640914917
2016-04-11,10.482056617736816
2016-04-12,10.915299415588379
2016-04-13,11.228195190429688
2016-04-18,12.034507751464844
2016-04-20,11.541092872619629
2016-04-21,12.106714248657227
2016-04-22,12.359439849853516
2016-04-25,12.38351058959961
2016-04-26,12.973200798034668
2016-04-27,13.695270538330078
2016-04-28,12.720474243164062
2016-04-29,12.961164474487305
2016-05-02,12.913026809692383
2016-05-03,12.551993370056152
2016-05-04,12.13078498840332
2016-05-05,12.190958023071289
2016-05-06,12.082647323608398
2016-05-09,12.600131034851074
2016-05-10,13.105579376220703
2016-05-11,13.069476127624512
2016-05-12,13.274062156677246
2016-05-13,13.069476127624512
2016-05-16,13.442544937133789
2016-05-17,13.310166358947754
2016-05-18,13.298131942749023
2016-05-19,13.009303092956543
2016-05-20,13.406442642211914
2016-05-23,13.406442642211914
2016-05-24,12.768613815307617
2016-05-25,12.804717063903809
2016-05-26,12.708441734313965
