Date,DUK
2015-08-03,49.396331787109375
2015-08-04,48.711021423339844
2015-08-05,48.750553131103516
2015-08-06,48.65827941894531
2015-08-07,49.52153778076172
2015-08-10,49.29750061035156
2015-08-11,49.613800048828125
2015-08-12,50.3433837890625
2015-08-13,50.356685638427734
2015-08-14,50.88304901123047
2015-08-17,50.98298263549805
2015-08-18,50.79642868041992
2015-08-19,51.44271469116211
2015-08-20,51.149559020996094
2015-08-21,51.10956954956055
2015-08-24,48.26460266113281
2015-08-25,46.77883529663086
2015-08-26,47.7982063293457
2015-08-27,48.31789016723633
2015-08-28,48.23128890991211
2015-08-31,47.24522018432617
2015-09-01,46.005958557128906
2015-09-02,46.07923889160156
2015-09-03,46.1591911315918
2015-09-04,45.47959899902344
2015-09-08,46.21248245239258
2015-09-09,45.44628143310547
2015-09-10,45.13312911987305
2015-09-11,45.532901763916016
2015-09-14,45.512901306152344
2015-09-15,45.69947052001953
2015-09-16,46.09257125854492
2015-09-17,46.57893753051758
2015-09-18,46.272457122802734
2015-09-21,46.67221450805664
2015-09-22,46.07258224487305
2015-09-23,46.0325927734375
2015-09-24,46.85211944580078
2015-09-25,47.11195755004883
2015-09-28,46.938724517822266
2015-09-29,47.12527847290039
2015-09-30,47.93146896362305
2015-10-01,47.08530807495117
2015-10-02,47.94478988647461
2015-10-05,48.691009521484375
2015-10-06,48.69767379760742
2015-10-07,48.41783905029297
2015-10-08,48.63771438598633
2015-10-09,48.14466857910156
2015-10-12,48.51779556274414
2015-10-13,48.32457733154297
2015-10-14,48.19797897338867
2015-10-15,48.95753479003906
2015-10-16,49.03081512451172
2015-10-19,49.02415084838867
2015-10-20,49.104103088378906
2015-10-21,49.2107048034668
2015-10-22,50.0102424621582
2015-10-23,49.130760192871094
2015-10-26,48.13801193237305
2015-10-27,48.2446174621582
2015-10-28,47.6716194152832
2015-10-29,47.68495559692383
2015-10-30,47.61832809448242
2015-11-02,48.09137725830078
2015-11-03,48.13136291503906
2015-11-04,47.92479705810547
2015-11-05,47.6049919128418
2015-11-06,45.146453857421875
2015-11-09,45.286373138427734
2015-11-10,45.438133239746094
2015-11-11,46.01817321777344
