Date,BAER.SW
2015-08-24,32.32929229736328
2015-08-25,33.35718536376953
2015-08-26,32.808040618896484
2015-08-27,33.603599548339844
2015-08-28,33.427589416503906
2015-08-31,33.13893508911133
2015-09-01,32.174407958984375
2015-09-02,32.04063415527344
2015-09-03,32.80099105834961
2015-09-04,31.864625930786133
2015-09-07,32.06879806518555
2015-09-08,32.07584762573242
2015-09-09,32.46306610107422
2015-09-10,31.857593536376953
2015-09-11,32.11808395385742
2015-09-14,31.913915634155273
2015-09-15,31.76606559753418
2015-09-16,31.977272033691406
2015-09-17,32.13920593261719
2015-09-18,31.308443069458008
2015-09-21,31.76606559753418
2015-09-22,30.526966094970703
2015-09-23,30.28759002685547
2015-09-24,29.555397033691406
2015-09-25,30.555126190185547
2015-09-28,29.78068733215332
2015-09-29,29.921497344970703
2015-09-30,31.132436752319336
2015-10-01,31.89278793334961
2015-10-02,32.37153625488281
2015-10-05,33.34310531616211
2015-10-06,34.05418014526367
2015-10-07,33.82185363769531
2015-10-08,33.5965576171875
2015-10-09,33.20933532714844
2015-10-12,32.878440856933594
2015-10-13,32.61091232299805
2015-10-14,31.977272033691406
2015-10-15,32.49122619628906
2015-10-16,33.244537353515625
2015-10-19,32.808040618896484
2015-10-20,32.632022857666016
2015-10-21,32.92068862915039
2015-10-22,33.89224624633789
2015-10-23,34.58220291137695
2015-10-26,33.85000991821289
2015-10-27,34.194984436035156
2015-10-28,34.51884460449219
2015-10-29,34.462520599365234
2015-10-30,34.58220291137695
2015-11-02,35.018714904785156
2015-11-03,34.94126892089844
2015-11-04,34.131622314453125
2015-11-05,33.91337203979492
2015-11-06,34.07530212402344
2015-11-09,33.44166946411133
2015-11-10,32.554588317871094
2015-11-11,32.829158782958984
2015-11-12,32.85731887817383
2015-11-13,32.582740783691406
2015-11-16,31.93503761291504
2015-11-17,32.79396057128906
2015-11-18,33.02628707885742
2015-11-19,33.709205627441406
2015-11-20,33.76552200317383
2015-11-23,33.56839370727539
2015-11-24,33.09668731689453
2015-11-25,34.4413948059082
2015-11-26,34.25834655761719
2015-11-27,34.40619659423828
2015-11-30,34.666690826416016
2015-12-01,35.17359924316406
2015-12-02,35.201759338378906
2015-12-03,35.166561126708984
2015-12-04,34.51180648803711
2015-12-07,34.82157897949219
2015-12-08,33.89224624633789
2015-12-09,33.37126541137695
2015-12-10,33.16006088256836
2015-12-11,31.63229751586914
2015-12-14,30.569204330444336
2015-12-15,31.26620101928711
2015-12-16,31.463333129882812
2015-12-17,32.56162643432617
2015-12-18,32.30113220214844
2015-12-21,31.54781723022461
2015-12-22,31.65342140197754
2015-12-23,32.29409408569336
2015-12-28,32.64611053466797
2015-12-29,32.92772674560547
2015-12-30,34.25834655761719
2016-01-04,33.43463134765625
2016-01-05,33.336063385009766
2016-01-06,32.54050827026367
2016-01-07,31.63229751586914
2016-01-08,31.104267120361328
2016-01-11,31.139480590820312
2016-01-12,31.660465240478516
2016-01-13,31.540773391723633
2016-01-14,30.857868194580078
2016-01-15,29.583555221557617
2016-01-18,29.52019691467285
2016-01-19,30.174945831298828
2016-01-20,28.809112548828125
2016-01-21,29.090730667114258
2016-01-22,29.984859466552734
2016-01-25,29.618757247924805
2016-01-26,29.689159393310547
2016-01-27,30.358001708984375
2016-01-28,29.787729263305664
2016-01-29,30.449522018432617
2016-02-01,29.618757247924805
2016-02-02,28.661272048950195
2016-02-03,27.46440887451172
2016-02-04,27.760108947753906
2016-02-05,27.893871307373047
2016-02-08,26.711091995239258
2016-02-09,25.97889518737793
2016-02-10,27.20391845703125
2016-02-11,26.01409912109375
2016-02-12,26.99271011352539
2016-02-15,27.914997100830078
2016-02-16,27.94315528869629
2016-02-17,28.626070022583008
2016-02-18,28.576791763305664
2016-02-19,28.43598175048828
2016-02-22,28.77391815185547
2016-02-23,28.091001510620117
2016-02-24,28.091001510620117
2016-02-25,28.14732551574707
2016-02-26,28.45709800720215
2016-02-29,28.203649520874023
2016-03-01,29.25265884399414
2016-03-02,29.583555221557617
2016-03-03,29.85812759399414
2016-03-04,30.463600158691406
2016-03-07,30.336875915527344
2016-03-08,29.94261360168457
2016-03-09,30.005971908569336
2016-03-10,29.675081253051758
