Date,MILS3.SA
2015-08-24,4.250149250030518
2015-08-25,4.233316898345947
2015-08-26,4.401639461517334
2015-08-27,4.29223108291626
2015-08-28,4.334311008453369
2015-08-31,4.123907089233398
2015-09-01,4.0397467613220215
2015-09-02,3.9724161624908447
2015-09-03,4.073409557342529
2015-09-04,3.9555857181549072
2015-09-08,3.913503885269165
2015-09-09,3.8293423652648926
2015-09-10,3.913503885269165
2015-09-11,3.9050869941711426
2015-09-14,3.871422529220581
2015-09-15,3.8461740016937256
2015-09-16,3.8377583026885986
2015-09-17,4.115490913391113
2015-09-18,4.165987968444824
2015-09-21,4.006082057952881
2015-09-22,3.9555857181549072
2015-09-23,4.149155616760254
2015-09-24,3.9555857181549072
2015-09-25,3.8377583026885986
2015-09-28,3.863006830215454
2015-09-29,3.820927143096924
2015-09-30,3.787261724472046
2015-10-01,3.74518084526062
2015-10-02,3.820927143096924
2015-10-05,3.863006830215454
2015-10-06,4.0397467613220215
2015-10-07,4.241733551025391
2015-10-08,4.713036060333252
2015-10-09,5.007601261138916
2015-10-13,4.536296367645264
2015-10-14,4.628875255584717
2015-10-15,4.44372034072876
2015-10-16,4.098658084869385
2015-10-19,3.871422529220581
2015-10-20,3.8040943145751953
2015-10-21,3.7115161418914795
2015-10-22,3.871422529220581
2015-10-23,4.0397467613220215
2015-10-26,3.820927143096924
2015-10-27,3.8461740016937256
2015-10-28,3.863006830215454
2015-10-29,3.863006830215454
2015-10-30,3.770430088043213
2015-11-03,4.006082057952881
2015-11-04,4.056578159332275
2015-11-05,3.787261724472046
2015-11-06,3.9555857181549072
2015-11-09,3.7620131969451904
2015-11-10,3.812509775161743
2015-11-11,3.820927143096924
2015-11-12,3.863006830215454
2015-11-13,3.863006830215454
2015-11-16,3.770430088043213
2015-11-17,3.7199323177337646
2015-11-18,3.0887224674224854
2015-11-19,3.2738776206970215
2015-11-23,3.248629331588745
2015-11-24,3.366454839706421
2015-11-25,3.2822935581207275
2015-11-26,3.324374198913574
2015-11-27,3.0298092365264893
2015-11-30,2.8614869117736816
2015-12-01,2.642667055130005
2015-12-02,2.4827606678009033
2015-12-03,2.4743447303771973
2015-12-04,2.356518030166626
2015-12-07,2.23869252204895
2015-12-08,2.061953544616699
2015-12-09,2.104034423828125
2015-12-10,2.104034423828125
2015-12-11,2.0535378456115723
2015-12-14,1.969375729560852
2015-12-15,1.8515502214431763
2015-12-16,2.0787858963012695
2015-12-17,2.3144376277923584
2015-12-18,2.1881957054138184
2015-12-21,2.2555253505706787
2015-12-22,2.112450361251831
2015-12-23,2.22186017036438
2015-12-28,2.22186017036438
2015-12-29,2.14611554145813
2015-12-30,2.23869252204895
2016-01-04,2.14611554145813
2016-01-05,2.1376988887786865
2016-01-06,2.087202310562134
2016-01-07,2.0367047786712646
2016-01-08,2.095618486404419
2016-01-11,2.104034423828125
2016-01-12,2.061953544616699
2016-01-13,2.0198733806610107
2016-01-14,1.9777928590774536
2016-01-15,1.9862080812454224
2016-01-18,1.9777928590774536
2016-01-19,2.0198733806610107
2016-01-20,1.9441275596618652
2016-01-21,1.893630862236023
2016-01-22,1.9609599113464355
2016-01-26,1.9272950887680054
2016-01-27,2.0030410289764404
2016-01-28,2.0282890796661377
2016-01-29,2.095618486404419
2016-02-01,2.2134435176849365
2016-02-02,2.14611554145813
2016-02-03,2.3228540420532227
2016-02-04,2.2723569869995117
2016-02-05,2.3312699794769287
