Date,TRIDENT.NS
2015-08-21,3.2843713760375977
2015-08-24,2.958682060241699
2015-08-25,2.860582113265991
2015-08-26,2.7546346187591553
2015-08-27,2.931213140487671
2015-08-28,2.9900732040405273
2015-08-31,2.9547579288482666
2015-09-01,2.8291900157928467
2015-09-02,2.8409621715545654
2015-09-03,2.923365831375122
2015-09-04,2.758558750152588
2015-09-07,2.554511785507202
2015-09-08,2.491727590560913
2015-09-09,2.6447629928588867
2015-09-10,2.6290671825408936
2015-09-11,2.7350144386291504
2015-09-14,2.7310900688171387
2015-09-15,2.6800789833068848
2015-09-16,2.6918509006500244
2015-09-18,2.7428619861602783
2015-09-21,2.782102584838867
2015-09-22,3.001845598220825
2015-09-23,3.3157637119293213
2015-09-24,3.343231678009033
2015-09-28,3.1431081295013428
2015-09-29,3.1823477745056152
2015-09-30,3.2451319694519043
2015-10-01,3.1941206455230713
2015-10-05,3.2726001739501953
2015-10-06,3.2412078380584717
2015-10-07,3.2804481983184814
2015-10-08,3.2882955074310303
2015-10-09,3.2490553855895996
2015-10-12,3.441331624984741
2015-10-13,3.539430856704712
2015-10-14,3.468799114227295
2015-10-15,3.48449444770813
2015-10-16,3.3863959312438965
2015-10-19,3.6218338012695312
2015-10-20,3.6139862537384033
2015-10-21,3.582594633102417
2015-10-23,3.5708224773406982
2015-10-26,3.704237937927246
2015-10-27,3.441331624984741
2015-10-28,3.63753080368042
2015-10-29,3.617910146713257
2015-10-30,3.4452548027038574
2015-11-02,3.4413042068481445
2015-11-03,3.5045206546783447
2015-11-04,3.5716869831085205
2015-11-05,3.433401584625244
2015-11-06,3.2832648754119873
2015-11-09,3.5045206546783447
2015-11-10,3.9667842388153076
2015-11-13,4.144578456878662
2015-11-16,4.112971305847168
2015-11-17,4.282864093780518
2015-11-18,4.199892520904541
2015-11-19,4.401393413543701
2015-11-20,4.318421840667725
2015-11-23,4.259157180786133
2015-11-24,4.334225177764893
2015-11-26,4.326324462890625
2015-11-27,4.397441387176514
2015-11-30,4.559431552886963
2015-12-01,4.591039180755615
2015-12-02,4.733274459838867
2015-12-03,4.674009799957275
2015-12-04,4.626599311828613
2015-12-07,4.72142219543457
2015-12-08,4.44485330581665
2015-12-09,4.089264869689941
2015-12-10,4.30261754989624
2015-12-11,4.156432151794434
2015-12-14,4.19594144821167
2015-12-15,4.350029468536377
2015-12-16,4.267058849334717
2015-12-17,4.72142219543457
2015-12-18,4.630549430847168
2015-12-21,4.638450622558594
2015-12-22,4.598940849304199
2015-12-23,4.626599311828613
2015-12-24,4.614746570587158
2015-12-28,4.567334175109863
2015-12-29,4.472510814666748
2015-12-30,4.5949907302856445
2015-12-31,4.571285247802734
2016-01-01,4.575235843658447
2016-01-04,4.421147346496582
2016-01-05,4.512019157409668
2016-01-06,4.5436272621154785
2016-01-07,4.282864093780518
2016-01-08,4.326324462890625
2016-01-11,4.357931613922119
2016-01-12,4.290764331817627
2016-01-13,4.1682844161987305
2016-01-14,4.018146514892578
2016-01-15,3.745529890060425
2016-01-18,3.4373531341552734
2016-01-19,3.650705099105835
2016-01-20,3.3899409770965576
2016-01-21,3.4492061138153076
2016-01-22,3.6151463985443115
2016-01-25,3.765284538269043
2016-01-27,3.765284538269043
2016-01-28,3.828500270843506
2016-01-29,4.136676788330078
2016-02-01,4.30261754989624
2016-02-02,4.057657241821289
2016-02-03,4.136676788330078
2016-02-04,3.915421962738037
2016-02-05,3.9549317359924316
2016-02-08,3.860107421875
2016-02-09,3.777137279510498
2016-02-10,3.6270012855529785
2016-02-11,3.3109214305877686
2016-02-12,3.2358527183532715
2016-02-15,3.5045206546783447
2016-02-16,3.3859901428222656
2016-02-17,3.3701865673065186
2016-02-18,3.4531571865081787
2016-02-19,3.540079116821289
2016-02-22,3.61909818649292
2016-02-23,3.5874907970428467
2016-02-24,3.5203230381011963
2016-02-25,3.4255001544952393
2016-02-26,3.3306772708892822
2016-02-29,3.3859901428222656
2016-03-01,3.5203230381011963
2016-03-02,3.634901762008667
2016-03-03,3.658609390258789
2016-03-04,3.7889902591705322
2016-03-08,3.8680098056793213
2016-03-09,3.8640594482421875
2016-03-10,3.903569459915161
2016-03-11,3.970735549926758
2016-03-14,4.03790283203125
2016-03-15,4.140627384185791
2016-03-16,4.191989898681641
2016-03-17,4.152481555938721
2016-03-18,4.061607360839844
2016-03-21,4.002342224121094
2016-03-22,3.903569459915161
2016-03-23,3.9549317359924316
2016-03-28,3.69811749458313
2016-03-29,3.8877651691436768
2016-03-30,3.982588768005371
2016-03-31,4.053706169128418
2016-04-01,4.097166538238525
2016-04-04,4.061607360839844
2016-04-05,3.911471366882324
2016-04-06,3.899617910385132
2016-04-07,3.903569459915161
2016-04-08,4.116921901702881
2016-04-11,4.097166538238525
2016-04-12,4.057657241821289
2016-04-13,4.045803546905518
2016-04-18,4.0339508056640625
2016-04-20,4.097166538238525
2016-04-21,4.247304916381836
2016-04-22,4.251255035400391
2016-04-25,4.271009922027588
2016-04-26,4.251255035400391
2016-04-27,4.255205154418945
2016-04-28,4.203843116760254
2016-04-29,4.057657241821289
2016-05-02,4.073461055755615
2016-05-03,3.9944422245025635
2016-05-04,4.010244846343994
2016-05-05,3.9628331661224365
2016-05-06,3.9430794715881348
2016-05-09,4.022098541259766
2016-05-10,4.0853142738342285
2016-05-11,4.089264869689941
2016-05-12,4.2275495529174805
2016-05-13,4.069510459899902
2016-05-16,4.053706169128418
2016-05-17,4.0062947273254395
2016-05-18,3.998391628265381
2016-05-19,3.89566707611084
2016-05-20,3.836402654647827
