Date,MGAM.L
2015-08-24,318.635009765625
2015-08-25,326.30706787109375
2015-08-26,325.3106994628906
2015-08-27,330.6909484863281
2015-08-28,333.7796630859375
2015-09-01,328.6982727050781
2015-09-02,328.2997741699219
2015-09-03,327.801513671875
2015-09-04,322.8197021484375
2015-09-07,324.7128601074219
2015-09-08,325.90850830078125
2015-09-09,326.4066162109375
2015-09-10,321.92303466796875
2015-09-11,319.7310791015625
2015-09-14,315.8452453613281
2015-09-15,316.443115234375
2015-09-16,318.83428955078125
2015-09-17,315.64599609375
2015-09-18,311.85980224609375
2015-09-21,307.27655029296875
2015-09-22,291.83306884765625
2015-09-23,294.2242736816406
2015-09-24,278.4819030761719
2015-09-25,288.6447448730469
2015-09-28,281.7698059082031
2015-09-29,278.1830139160156
2015-09-30,281.2716979980469
2015-10-01,281.0724182128906
2015-10-02,290.836669921875
2015-10-05,294.2242736816406
2015-10-06,294.72247314453125
2015-10-07,298.80755615234375
2015-10-08,300.2024230957031
2015-10-09,307.7748107910156
2015-10-12,303.0919494628906
2015-10-13,293.6265563964844
2015-10-14,291.4345397949219
2015-10-15,296.0177917480469
2015-10-16,283.5632629394531
2015-10-19,283.6629333496094
2015-10-20,289.1429443359375
2015-10-21,287.44903564453125
2015-10-22,286.0541687011719
2015-10-23,287.9473571777344
2015-10-26,287.9473571777344
2015-10-27,283.2644348144531
2015-10-28,281.869384765625
2015-10-29,277.7844543457031
2015-10-30,278.7807922363281
2015-11-02,278.9800720214844
2015-11-03,278.9800720214844
2015-11-04,278.9800720214844
2015-11-05,278.9202575683594
2015-11-06,269.3538818359375
2015-11-09,269.2542724609375
2015-11-10,266.0654296875
2015-11-11,266.2646484375
2015-11-12,232.18446350097656
2015-11-13,228.59701538085938
2015-11-16,232.18446350097656
2015-11-17,237.16690063476562
2015-11-18,239.5585479736328
2015-11-19,245.03924560546875
2015-11-20,252.91163635253906
2015-11-23,249.82247924804688
2015-11-24,248.12841796875
2015-11-25,248.2281036376953
2015-11-26,249.5235137939453
2015-11-27,248.32769775390625
2015-11-30,250.12142944335938
2015-12-01,252.5129852294922
2015-12-02,246.334716796875
2015-12-03,247.63015747070312
2015-12-04,249.62318420410156
2015-12-07,247.23158264160156
2015-12-08,244.44134521484375
2015-12-09,245.4378662109375
2015-12-10,247.03228759765625
2015-12-11,244.44134521484375
2015-12-14,239.85745239257812
2015-12-15,245.93614196777344
2015-12-16,245.33822631835938
2015-12-17,244.8399658203125
2015-12-18,244.44134521484375
2015-12-21,245.83648681640625
2015-12-22,245.13893127441406
2015-12-23,253.1109619140625
2015-12-24,253.9081268310547
2015-12-29,263.2752990722656
2015-12-30,253.9081268310547
2015-12-31,246.5339813232422
2016-01-04,239.5585479736328
2016-01-05,243.64419555664062
2016-01-06,237.26661682128906
2016-01-07,227.20193481445312
2016-01-08,227.10226440429688
2016-01-11,225.30857849121094
2016-01-12,226.70364379882812
2016-01-13,226.60403442382812
2016-01-14,227.00259399414062
2016-01-15,222.1197509765625
2016-01-18,210.85931396484375
2016-01-19,213.6495361328125
2016-01-20,196.11114501953125
2016-01-21,199.29991149902344
2016-01-22,207.6705322265625
2016-01-25,206.076171875
2016-01-26,212.75265502929688
2016-01-27,210.36105346679688
2016-01-28,211.15829467773438
2016-01-29,212.35411071777344
2016-02-01,210.2614288330078
2016-02-02,202.68801879882812
2016-02-03,194.21780395507812
2016-02-04,204.1827392578125
2016-02-05,209.26492309570312
2016-02-08,202.28945922851562
2016-02-09,196.60935974121094
2016-02-10,196.01148986816406
2016-02-11,191.62689208984375
2016-02-12,198.30345153808594
2016-02-15,209.26492309570312
2016-02-16,205.57791137695312
2016-02-17,211.15829467773438
2016-02-18,210.56036376953125
2016-02-19,209.16526794433594
2016-02-22,214.9449920654297
2016-02-23,222.21942138671875
2016-02-24,212.35411071777344
2016-02-25,212.25440979003906
2016-02-26,211.25796508789062
2016-02-29,211.25796508789062
2016-03-01,219.7281494140625
2016-03-02,225.10928344726562
2016-03-03,229.39422607421875
2016-03-04,238.36273193359375
2016-03-07,236.2700653076172
2016-03-08,236.17041015625
2016-03-09,229.7928009033203
2016-03-10,228.69668579101562
2016-03-11,231.38723754882812
2016-03-14,231.48687744140625
2016-03-15,229.99215698242188
2016-03-16,231.28758239746094
2016-03-17,235.47288513183594
2016-03-18,240.95359802246094
