Date,NXT.L
2015-08-24,7452.6640625
2015-08-25,7662.17578125
2015-08-26,7572.38525390625
2015-08-27,7911.5966796875
2015-08-28,7926.56103515625
2015-09-01,7682.1298828125
2015-09-02,7737.00244140625
2015-09-03,7821.8046875
2015-09-04,7577.373046875
2015-09-07,7597.326171875
2015-09-08,7527.4892578125
2015-09-09,7657.18798828125
2015-09-10,7756.9560546875
2015-09-11,7722.03662109375
2015-09-14,7627.2568359375
2015-09-15,7577.373046875
2015-09-16,7647.2109375
2015-09-17,7592.3388671875
2015-09-18,7542.453125
2015-09-21,7587.3505859375
2015-09-22,7382.826171875
2015-09-23,7477.60498046875
2015-09-24,7517.5126953125
2015-09-25,7617.28125
2015-09-28,7547.44189453125
2015-09-29,7452.6640625
2015-09-30,7592.3388671875
2015-10-01,7717.048828125
2015-10-02,7672.1533203125
2015-10-05,7786.88525390625
2015-10-06,7781.8974609375
2015-10-07,7707.07177734375
2015-10-08,7672.1533203125
2015-10-09,7597.326171875
2015-10-12,7627.2568359375
2015-10-13,7617.28125
2015-10-14,7602.31591796875
2015-10-15,7647.2109375
2015-10-16,7657.18798828125
2015-10-19,7652.19970703125
2015-10-20,7821.8046875
2015-10-21,7851.7353515625
2015-10-22,7901.61865234375
2015-10-23,7931.5498046875
2015-10-26,7941.52685546875
2015-10-27,7926.56103515625
2015-10-28,7881.66552734375
2015-10-29,7981.4326171875
2015-10-30,7981.4326171875
2015-11-02,7951.501953125
2015-11-03,7946.51513671875
2015-11-04,7941.52685546875
2015-11-05,7936.5390625
2015-11-06,7921.57275390625
2015-11-09,7851.7353515625
2015-11-10,7836.77099609375
2015-11-11,7806.8388671875
2015-11-12,7786.88525390625
2015-11-13,7677.140625
2015-11-16,7707.07177734375
2015-11-17,7841.75830078125
2015-11-18,7786.88525390625
2015-11-19,7786.88525390625
2015-11-20,7766.93212890625
2015-11-23,7746.97802734375
2015-11-24,7682.1298828125
2015-11-25,7786.88525390625
2015-11-26,7851.7353515625
2015-11-27,7901.61865234375
2015-11-30,7901.61865234375
2015-12-01,7931.5498046875
2015-12-02,7996.39892578125
2015-12-03,7916.58447265625
2015-12-04,7921.57275390625
2015-12-07,7816.81591796875
2015-12-08,7761.94482421875
2015-12-09,7712.06005859375
2015-12-10,7483.10693359375
2015-12-11,7368.36572265625
2015-12-14,7308.50146484375
2015-12-15,7488.095703125
2015-12-16,7428.23095703125
2015-12-17,7388.3212890625
2015-12-18,7258.6123046875
2015-12-21,7203.73779296875
2015-12-22,7178.79443359375
2015-12-23,7203.73779296875
2015-12-24,7163.82666015625
2015-12-29,7218.70361328125
2015-12-30,7258.6123046875
2015-12-31,7273.580078125
2016-01-04,7173.8056640625
2016-01-05,6844.5478515625
2016-01-06,6849.53662109375
2016-01-07,6924.3681640625
2016-01-08,6809.626953125
2016-01-11,6769.71630859375
2016-01-12,6754.75048828125
2016-01-13,6689.89794921875
2016-01-14,6654.97705078125
2016-01-15,6724.81884765625
2016-01-18,6630.033203125
2016-01-19,6669.94287109375
2016-01-20,6510.302734375
2016-01-21,6565.1787109375
2016-01-22,6794.66064453125
2016-01-25,6784.6845703125
2016-01-26,6794.66064453125
2016-01-27,6934.3447265625
2016-01-28,6779.69384765625
2016-01-29,6909.40185546875
2016-02-01,6864.50390625
2016-02-02,6719.82861328125
2016-02-03,6640.009765625
2016-02-04,6649.9873046875
2016-02-05,6605.08935546875
2016-02-08,6415.5166015625
2016-02-09,6649.9873046875
2016-02-10,6694.88623046875
2016-02-11,6595.111328125
2016-02-12,6744.77392578125
2016-02-15,6844.5478515625
2016-02-16,6879.46923828125
2016-02-17,7004.18798828125
2016-02-18,6944.32373046875
2016-02-19,6989.22216796875
2016-02-22,6819.60498046875
2016-02-23,6799.6494140625
2016-02-24,6684.908203125
2016-02-25,6724.81884765625
2016-02-26,6754.75048828125
2016-02-29,6749.76171875
2016-03-01,6719.82861328125
2016-03-02,6585.1337890625
2016-03-03,6664.95361328125
2016-03-04,6605.08935546875
2016-03-07,6540.23583984375
2016-03-08,6635.021484375
2016-03-09,6635.021484375
2016-03-10,6490.34814453125
2016-03-11,6550.212890625
2016-03-14,6674.9306640625
2016-03-15,6595.111328125
2016-03-16,6704.86328125
2016-03-17,6610.078125
2016-03-18,6620.05419921875
2016-03-21,6625.04345703125
2016-03-22,6580.14501953125
2016-03-23,6644.9990234375
2016-03-24,5642.2626953125
2016-03-29,5622.3076171875
2016-03-30,5547.47705078125
2016-03-31,5387.83544921875
2016-04-01,5432.73583984375
2016-04-04,5298.0390625
2016-04-05,5238.173828125
2016-04-06,5397.81494140625
2016-04-07,5492.599609375
2016-04-08,5507.56591796875
2016-04-11,5452.6904296875
2016-04-12,5362.89306640625
2016-04-13,5362.89306640625
2016-04-14,5442.71240234375
2016-04-15,5437.72509765625
2016-04-18,5417.76953125
2016-04-19,5427.74658203125
2016-04-20,5357.90478515625
2016-04-21,5253.14013671875
2016-04-22,5148.37646484375
2016-04-25,5138.39990234375
2016-04-26,5113.45703125
2016-04-27,5098.48974609375
2016-04-28,5138.39990234375
2016-04-29,5073.5458984375
2016-05-03,4966.787109375
2016-05-04,5138.39990234375
2016-05-05,5268.10791015625
2016-05-06,5253.14013671875
2016-05-09,5313.005859375
2016-05-10,5313.005859375
2016-05-11,5322.9833984375
2016-05-12,5238.173828125
2016-05-13,5337.94921875
2016-05-16,5337.94921875
2016-05-17,5347.92626953125
2016-05-18,5387.83544921875
2016-05-19,5317.99462890625
2016-05-20,5332.96142578125
2016-05-23,5387.83544921875
2016-05-24,5497.5888671875
2016-05-25,5422.7578125
2016-05-26,5432.73583984375
2016-05-27,5522.533203125
2016-05-31,5427.74658203125
2016-06-01,5283.07373046875
2016-06-02,5372.87158203125
2016-06-03,5337.94921875
2016-06-06,5347.92626953125
2016-06-07,5457.6796875
2016-06-08,5502.57763671875
2016-06-09,5462.66845703125
2016-06-10,5273.095703125
2016-06-13,5198.265625
2016-06-14,5123.43359375
2016-06-15,5193.27587890625
2016-06-16,5203.2548828125
2016-06-17,5263.1181640625
2016-06-20,5457.6796875
2016-06-21,5452.6904296875
2016-06-22,5447.7021484375
2016-06-23,5522.533203125
2016-06-24,4837.08056640625
2016-06-27,4374.12451171875
2016-06-28,4734.3125
2016-06-29,4881.9794921875
2016-06-30,4918.89501953125
2016-07-01,4903.93017578125
2016-07-04,4768.2353515625
2016-07-05,4708.3701171875
2016-07-06,4731.318359375
2016-07-07,4755.31982421875
2016-07-08,4932.9580078125
2016-07-11,5079.66015625
2016-07-12,5199.416015625
2016-07-13,5119.5791015625
2016-07-14,5129.55810546875
2016-07-15,5114.58837890625
2016-07-18,5089.64013671875
2016-07-19,5079.66015625
2016-07-20,5024.77197265625
