Date,GWW
2015-08-03,190.66481018066406
2015-08-04,191.75018310546875
2015-08-05,192.53036499023438
2015-08-06,192.6923065185547
2015-08-07,192.5985870361328
2015-08-10,196.80918884277344
2015-08-11,194.3799591064453
2015-08-12,196.39151000976562
2015-08-13,192.51329040527344
2015-08-14,191.59275817871094
2015-08-17,193.02467346191406
2015-08-18,193.25479125976562
2015-08-19,192.29165649414062
2015-08-20,190.9619903564453
2015-08-21,187.3905792236328
2015-08-24,181.68832397460938
2015-08-25,181.82470703125
2015-08-26,185.53245544433594
2015-08-27,190.70626831054688
2015-08-28,190.27157592773438
2015-08-31,190.45059204101562
2015-09-01,186.4445037841797
2015-09-02,190.10108947753906
2015-09-03,188.1066131591797
2015-09-04,186.15469360351562
2015-09-08,192.01039123535156
2015-09-09,189.96473693847656
2015-09-10,189.7431182861328
2015-09-11,189.1635284423828
2015-09-14,185.93310546875
2015-09-15,189.24874877929688
2015-09-16,189.5896759033203
2015-09-17,186.3848114013672
2015-09-18,182.61741638183594
2015-09-21,182.61741638183594
2015-09-22,181.2621307373047
2015-09-23,179.74497985839844
2015-09-24,181.8673553466797
2015-09-25,182.20826721191406
2015-09-28,180.50352478027344
2015-09-29,180.63990783691406
2015-09-30,183.2651824951172
2015-10-01,178.53460693359375
2015-10-02,183.38453674316406
2015-10-05,187.36505126953125
2015-10-06,190.69778442382812
2015-10-07,194.20098876953125
2015-10-08,197.2694549560547
2015-10-09,195.36016845703125
2015-10-12,191.85696411132812
2015-10-13,189.802734375
2015-10-14,188.75436401367188
2015-10-15,188.90780639648438
2015-10-16,176.99183654785156
2015-10-19,172.14199829101562
2015-10-20,171.96298217773438
2015-10-21,171.89474487304688
2015-10-22,178.50054931640625
2015-10-23,177.162353515625
2015-10-26,175.8241424560547
2015-10-27,172.56814575195312
2015-10-28,176.6849822998047
2015-10-29,177.5288543701172
2015-10-30,178.99488830566406
2015-11-02,179.9580535888672
2015-11-03,179.88983154296875
2015-11-04,179.5489501953125
2015-11-05,179.8060760498047
2015-11-06,181.87168884277344
2015-11-09,178.92320251464844
2015-11-10,180.80032348632812
2015-11-11,181.0060577392578
2015-11-12,171.27777099609375
2015-11-13,168.86065673828125
2015-11-16,169.94921875
2015-11-17,165.64646911621094
2015-11-18,169.9235076904297
2015-11-19,169.97496032714844
2015-11-20,170.729248046875
2015-11-23,169.7606658935547
2015-11-24,170.10348510742188
2015-11-25,170.2920684814453
2015-11-27,171.1234588623047
2015-11-30,171.8863067626953
2015-12-01,172.82911682128906
2015-12-02,171.04635620117188
2015-12-03,170.39491271972656
2015-12-04,172.1605682373047
2015-12-07,170.07778930664062
2015-12-08,167.18930053710938
2015-12-09,165.5265350341797
2015-12-10,166.68356323242188
2015-12-11,163.56369018554688
2015-12-14,166.39222717285156
2015-12-15,166.7778778076172
2015-12-16,168.67210388183594
2015-12-17,167.00930786132812
2015-12-18,166.22080993652344
2015-12-21,168.3121337890625
2015-12-22,173.09486389160156
2015-12-23,176.22337341308594
2015-12-24,176.09474182128906
2015-12-28,175.16905212402344
2015-12-29,176.17189025878906
2015-12-30,175.4519500732422
2015-12-31,173.6433563232422
2016-01-04,173.24053955078125
2016-01-05,171.14920043945312
2016-01-06,170.60923767089844
2016-01-07,168.9635467529297
2016-01-08,166.95787048339844
2016-01-11,162.09805297851562
2016-01-12,160.83807373046875
2016-01-13,159.08094787597656
2016-01-14,161.96084594726562
2016-01-15,162.3551483154297
2016-01-19,159.92100524902344
2016-01-20,156.66390991210938
2016-01-21,159.02093505859375
2016-01-22,160.47805786132812
2016-01-25,159.02093505859375
2016-01-26,159.42384338378906
2016-01-27,158.6695556640625
2016-01-28,164.72085571289062
2016-01-29,168.58636474609375
2016-02-01,169.4521026611328
2016-02-02,165.3636474609375
2016-02-03,169.4092559814453
2016-02-04,179.75587463378906
2016-02-05,179.60935974121094
2016-02-08,181.34242248535156
2016-02-09,180.88536071777344
2016-02-10,175.96212768554688
2016-02-11,176.21214294433594
2016-02-12,182.00628662109375
2016-02-16,184.489501953125
2016-02-17,186.55020141601562
2016-02-18,186.1105194091797
2016-02-19,187.33482360839844
2016-02-22,190.14561462402344
2016-02-23,187.8780059814453
2016-02-24,186.21397399902344
2016-02-25,187.53318786621094
2016-02-26,187.9210968017578
2016-02-29,187.01577758789062
2016-03-01,192.86160278320312
2016-03-02,190.21463012695312
2016-03-03,191.1630859375
2016-03-04,191.378662109375
2016-03-07,193.38760375976562
2016-03-08,193.8187255859375
2016-03-09,188.77471923828125
2016-03-10,187.91253662109375
2016-03-11,187.33482360839844
2016-03-14,187.47274780273438
2016-03-15,187.89527893066406
2016-03-16,190.24049377441406
2016-03-17,195.37936401367188
2016-03-18,194.5084991455078
2016-03-21,196.11224365234375
2016-03-22,196.99172973632812
2016-03-23,197.54351806640625
2016-03-24,197.5780029296875
2016-03-28,196.75889587402344
2016-03-29,198.83685302734375
2016-03-30,201.3286590576172
2016-03-31,201.26832580566406
2016-04-01,202.0874481201172
2016-04-04,199.39730834960938
2016-04-05,201.4580078125
2016-04-06,200.7595977783203
2016-04-07,198.28501892089844
2016-04-08,198.86268615722656
2016-04-11,200.38890075683594
2016-04-12,198.00048828125
2016-04-13,201.57008361816406
2016-04-14,202.16502380371094
2016-04-15,202.66510009765625
2016-04-18,200.0267791748047
2016-04-19,198.53509521484375
2016-04-20,197.06930541992188
2016-04-21,196.49160766601562
2016-04-22,197.5607452392578
2016-04-25,197.61253356933594
2016-04-26,202.0356903076172
2016-04-27,205.8380889892578
2016-04-28,203.44973754882812
