Date,MOMENTUM50.NS
2024-09-30,64.19999694824219
2024-10-01,64.38999938964844
2024-10-03,63.02000045776367
2024-10-04,62.560001373291016
2024-10-07,60.7400016784668
2024-10-08,63.04999923706055
2024-10-09,63.84000015258789
2024-10-10,64.05999755859375
2024-10-11,64.20999908447266
2024-10-14,64.4000015258789
2024-10-15,64.47000122070312
2024-10-16,64.12000274658203
2024-10-17,62.459999084472656
2024-10-18,62.72999954223633
2024-10-21,61.77000045776367
2024-10-22,60.040000915527344
2024-10-23,59.52000045776367
2024-10-24,59.529998779296875
2024-10-25,57.970001220703125
2024-10-28,58.709999084472656
2024-10-29,59.5099983215332
2024-10-31,59.220001220703125
2024-11-01,59.720001220703125
2024-11-04,58.970001220703125
2024-11-06,60.880001068115234
2024-11-07,60.16999816894531
2024-11-08,59.31999969482422
2024-11-11,59.2400016784668
2024-11-12,58.02000045776367
2024-11-13,56.2599983215332
2024-11-14,56.380001068115234
2024-11-18,55.68000030517578
2024-11-19,57.060001373291016
2024-11-21,56.09000015258789
2024-11-22,57.0
2024-11-25,58.22999954223633
2024-11-26,57.93000030517578
2024-11-27,58.95000076293945
2024-11-28,59.09000015258789
2024-11-29,59.33000183105469
2024-12-02,59.77000045776367
2024-12-03,60.470001220703125
2024-12-04,60.68000030517578
2024-12-05,60.91999816894531
2024-12-06,61.599998474121094
2024-12-09,61.7400016784668
2024-12-10,61.70000076293945
2024-12-11,61.91999816894531
2024-12-12,61.790000915527344
2024-12-13,61.709999084472656
2024-12-16,62.15999984741211
2024-12-17,61.61000061035156
2024-12-18,60.93000030517578
2024-12-19,60.310001373291016
2024-12-20,58.31999969482422
2024-12-23,58.33000183105469
2024-12-24,58.11000061035156
2024-12-26,58.5099983215332
2024-12-27,58.13999938964844
2024-12-30,57.779998779296875
2024-12-31,57.13999938964844
2025-01-01,57.43000030517578
2025-01-02,58.290000915527344
2025-01-03,58.0099983215332
2025-01-06,56.47999954223633
2025-01-07,56.540000915527344
2025-01-08,55.40999984741211
2025-01-09,54.54999923706055
2025-01-10,53.79999923706055
2025-01-13,51.33000183105469
2025-01-14,52.040000915527344
2025-01-15,52.59000015258789
2025-01-16,52.7599983215332
2025-01-17,52.59000015258789
2025-01-20,52.84000015258789
2025-01-21,50.599998474121094
2025-01-22,49.95000076293945
2025-01-23,51.33000183105469
2025-01-24,50.7400016784668
2025-01-27,48.900001525878906
2025-01-28,47.95000076293945
2025-01-29,49.56999969482422
2025-01-30,49.06999969482422
