Date,JINDALSAW.NS
2015-08-21,30.36417007446289
2015-08-24,26.69629669189453
2015-08-25,26.946374893188477
2015-08-26,26.40452766418457
2015-08-27,27.842500686645508
2015-08-28,27.23813819885254
2015-08-31,27.613262176513672
2015-09-01,26.800493240356445
2015-09-02,26.342010498046875
2015-09-03,26.988054275512695
2015-09-04,26.17528533935547
2015-09-07,25.487560272216797
2015-09-08,25.883525848388672
2015-09-09,26.154449462890625
2015-09-10,26.027379989624023
2015-09-11,25.879138946533203
2015-09-14,26.387401580810547
2015-09-15,25.879138946533203
2015-09-16,26.239158630371094
2015-09-18,27.425107955932617
2015-09-21,28.08161735534668
2015-09-22,27.128625869750977
2015-09-23,27.170978546142578
2015-09-24,27.234512329101562
2015-09-28,26.641530990600586
2015-09-29,26.5780029296875
2015-09-30,27.04391098022461
2015-10-01,26.747426986694336
2015-10-05,26.810958862304688
2015-10-06,28.58988380432129
2015-10-07,28.67459487915039
2015-10-08,28.272218704223633
2015-10-09,30.15703010559082
2015-10-12,29.754655838012695
2015-10-13,30.0087890625
2015-10-14,30.029966354370117
2015-10-15,29.8817195892334
2015-10-16,30.517051696777344
2015-10-19,30.093503952026367
2015-10-20,30.093503952026367
2015-10-21,29.81818962097168
2015-10-23,29.182857513427734
2015-10-26,28.102798461914062
2015-10-27,28.166330337524414
2015-10-28,27.763952255249023
2015-10-29,27.361574172973633
2015-10-30,27.467464447021484
2015-11-02,27.615703582763672
2015-11-03,28.060440063476562
2015-11-04,27.53099822998047
2015-11-05,26.641530990600586
2015-11-06,26.387401580810547
2015-11-09,26.83213233947754
2015-11-10,26.68389129638672
2015-11-13,27.213333129882812
2015-11-16,26.85331153869629
2015-11-17,26.95920181274414
2015-11-18,26.747426986694336
2015-11-19,26.810958862304688
2015-11-20,27.04391098022461
2015-11-23,26.980379104614258
2015-11-24,26.85331153869629
2015-11-26,27.065086364746094
2015-11-27,28.42046546936035
2015-11-30,28.039260864257812
2015-12-01,28.526348114013672
2015-12-02,28.25104331970215
2015-12-03,27.594532012939453
2015-12-04,26.874492645263672
2015-12-07,26.95920181274414
2015-12-08,26.705066680908203
2015-12-09,26.302690505981445
2015-12-10,26.26033592224121
2015-12-11,25.90031623840332
2015-12-14,26.00620460510254
2015-12-15,25.79442596435547
2015-12-16,25.497940063476562
2015-12-17,25.90031623840332
2015-12-18,25.98502540588379
2015-12-21,26.5780029296875
2015-12-22,26.6627140045166
2015-12-23,26.36622428894043
2015-12-24,26.68389129638672
2015-12-28,27.065086364746094
2015-12-29,26.810958862304688
2015-12-30,26.535646438598633
2015-12-31,26.535646438598633
2016-01-01,26.493289947509766
2016-01-04,26.027379989624023
2016-01-05,26.76860237121582
2016-01-06,27.170978546142578
2016-01-07,25.963850021362305
2016-01-08,26.175626754760742
2016-01-11,26.154447555541992
2016-01-12,25.6673583984375
2016-01-13,24.989673614501953
2016-01-14,23.97314453125
2016-01-15,22.40599822998047
2016-01-18,21.70713233947754
2016-01-19,21.982444763183594
2016-01-20,20.86002540588379
2016-01-21,20.351762771606445
2016-01-22,21.177690505981445
2016-01-25,21.368289947509766
2016-01-27,21.622421264648438
2016-01-28,21.198867797851562
2016-01-29,21.198867797851562
2016-02-01,21.008268356323242
2016-02-02,20.372936248779297
2016-02-03,19.419939041137695
2016-02-04,19.059921264648438
2016-02-05,19.165809631347656
2016-02-08,18.784610748291016
2016-02-09,18.128101348876953
2016-02-10,17.40806007385254
2016-02-11,16.264467239379883
2016-02-12,15.523246765136719
2016-02-15,16.455062866210938
2016-02-16,16.83626365661621
2016-02-17,16.539777755737305
2016-02-18,17.090396881103516
2016-02-19,17.53512954711914
2016-02-22,17.302175521850586
2016-02-23,16.815082550048828
2016-02-24,16.28564453125
2016-02-25,15.989156723022461
2016-02-26,15.523246765136719
2016-02-29,15.226759910583496
2016-03-01,16.34917640686035
2016-03-02,16.815082550048828
2016-03-03,18.0645694732666
2016-03-04,17.831615447998047
2016-03-08,18.46694564819336
2016-03-09,18.170461654663086
2016-03-10,18.382238388061523
2016-03-11,17.768081665039062
2016-03-14,17.70454978942871
2016-03-15,17.02686309814453
2016-03-16,16.920976638793945
2016-03-17,16.899795532226562
2016-03-18,16.518598556518555
2016-03-21,16.666841506958008
2016-03-22,16.64566421508789
2016-03-23,16.920976638793945
2016-03-28,16.010334014892578
2016-03-29,15.90444278717041
2016-03-30,16.37035369873047
2016-03-31,16.39153289794922
2016-04-01,17.51395034790039
2016-04-04,18.022212982177734
2016-04-05,17.2386417388916
2016-04-06,17.217464447021484
2016-04-07,17.090396881103516
2016-04-08,17.662193298339844
2016-04-11,17.937503814697266
2016-04-12,17.746904373168945
2016-04-13,18.022212982177734
2016-04-18,18.191635131835938
2016-04-20,19.50465202331543
2016-04-21,19.33523178100586
2016-04-22,19.186988830566406
2016-04-25,18.699899673461914
2016-04-26,18.869321823120117
2016-04-27,18.97521209716797
2016-04-28,18.911678314208984
2016-04-29,18.128101348876953
2016-05-02,18.043392181396484
2016-05-03,17.577484130859375
2016-05-04,17.1115779876709
2016-05-05,16.751554489135742
2016-05-06,16.793909072875977
2016-05-09,17.280996322631836
2016-05-10,17.556306838989258
2016-05-11,17.175107955932617
2016-05-12,17.25982093811035
2016-05-13,17.280996322631836
2016-05-16,17.1115779876709
2016-05-17,17.04804229736328
2016-05-18,17.323352813720703
2016-05-19,17.217464447021484
2016-05-20,17.302175521850586
2016-05-23,17.090396881103516
2016-05-24,16.666841506958008
2016-05-25,16.793909072875977
2016-05-26,17.153928756713867
