Date,ABCAPITAL.NS
2017-09-01,237.5
2017-09-04,225.64999389648438
2017-09-05,214.39999389648438
2017-09-06,203.6999969482422
2017-09-07,206.9499969482422
2017-09-08,201.25
2017-09-11,193.85000610351562
2017-09-12,187.0500030517578
2017-09-13,196.39999389648438
2017-09-14,206.1999969482422
2017-09-15,203.25
2017-09-18,199.9499969482422
2017-09-19,198.64999389648438
2017-09-20,195.39999389648438
2017-09-21,195.4499969482422
2017-09-22,190.25
2017-09-25,188.25
2017-09-26,189.5500030517578
2017-09-27,180.4499969482422
2017-09-28,175.89999389648438
2017-09-29,183.75
2017-10-03,184.35000610351562
2017-10-04,185.14999389648438
2017-10-05,181.14999389648438
2017-10-06,180.60000610351562
2017-10-09,179.89999389648438
2017-10-10,180.25
2017-10-11,178.6999969482422
2017-10-12,178.10000610351562
2017-10-13,183.25
2017-10-16,180.8000030517578
2017-10-17,182.0500030517578
2017-10-18,179.9499969482422
2017-10-19,183.5
2017-10-23,179.85000610351562
2017-10-24,180.3000030517578
2017-10-25,175.89999389648438
2017-10-26,174.4499969482422
2017-10-27,174.89999389648438
2017-10-30,178.8000030517578
2017-10-31,177.89999389648438
2017-11-01,178.14999389648438
2017-11-02,186.89999389648438
2017-11-03,193.3000030517578
2017-11-06,207.1999969482422
2017-11-07,202.5500030517578
2017-11-08,196.10000610351562
2017-11-09,199.5
2017-11-10,194.85000610351562
2017-11-13,194.0
2017-11-14,190.14999389648438
2017-11-15,189.25
2017-11-16,198.89999389648438
2017-11-17,198.1999969482422
2017-11-20,204.0500030517578
2017-11-21,205.0
2017-11-22,201.75
2017-11-23,202.14999389648438
2017-11-24,202.8000030517578
2017-11-27,204.60000610351562
2017-11-28,200.9499969482422
2017-11-29,197.89999389648438
2017-11-30,194.5
2017-12-01,191.9499969482422
2017-12-04,189.64999389648438
2017-12-05,190.14999389648438
2017-12-06,186.64999389648438
2017-12-07,189.25
2017-12-08,188.89999389648438
2017-12-11,187.6999969482422
2017-12-12,185.85000610351562
2017-12-13,184.8000030517578
2017-12-14,182.85000610351562
2017-12-15,184.60000610351562
2017-12-18,185.0500030517578
2017-12-19,184.5
2017-12-20,183.75
2017-12-21,189.0500030517578
2017-12-22,187.0500030517578
2017-12-26,184.5
2017-12-27,184.1999969482422
2017-12-28,184.5500030517578
2017-12-29,184.14999389648438
2018-01-01,186.39999389648438
2018-01-02,185.25
2018-01-03,184.60000610351562
2018-01-04,184.0
2018-01-05,184.85000610351562
2018-01-08,183.10000610351562
2018-01-09,183.75
2018-01-10,183.1999969482422
2018-01-11,185.0
2018-01-12,184.10000610351562
2018-01-15,184.75
2018-01-16,180.8000030517578
2018-01-17,181.60000610351562
2018-01-18,176.60000610351562
2018-01-19,177.0500030517578
2018-01-22,178.39999389648438
2018-01-23,175.5500030517578
2018-01-24,176.4499969482422
2018-01-25,175.89999389648438
2018-01-29,173.5500030517578
2018-01-30,170.0
2018-01-31,170.85000610351562
2018-02-01,174.1999969482422
2018-02-02,167.85000610351562
2018-02-05,165.10000610351562
2018-02-06,158.89999389648438
2018-02-07,163.64999389648438
2018-02-08,168.25
2018-02-09,167.8000030517578
2018-02-12,169.75
2018-02-14,167.85000610351562
2018-02-15,165.9499969482422
2018-02-16,164.5
2018-02-19,162.10000610351562
2018-02-20,164.5500030517578
2018-02-21,165.14999389648438
2018-02-22,165.14999389648438
2018-02-23,164.10000610351562
2018-02-26,163.4499969482422
2018-02-27,166.9499969482422
2018-02-28,166.5500030517578
2018-03-01,162.85000610351562
2018-03-05,160.85000610351562
2018-03-06,158.14999389648438
2018-03-07,154.39999389648438
2018-03-08,154.9499969482422
2018-03-09,153.25
2018-03-12,152.89999389648438
2018-03-13,153.14999389648438
2018-03-14,151.3000030517578
2018-03-15,150.35000610351562
2018-03-16,147.64999389648438
2018-03-19,146.64999389648438
2018-03-20,146.1999969482422
2018-03-21,145.5500030517578
2018-03-22,147.25
2018-03-23,147.35000610351562
2018-03-26,146.8000030517578
2018-03-27,148.89999389648438
2018-03-28,145.9499969482422
2018-04-02,151.89999389648438
2018-04-03,152.0
2018-04-04,151.6999969482422
2018-04-05,155.5500030517578
2018-04-06,157.0
2018-04-09,159.14999389648438
2018-04-10,159.75
2018-04-11,161.39999389648438
2018-04-12,160.25
2018-04-13,158.9499969482422
2018-04-16,159.64999389648438
2018-04-17,158.25
2018-04-18,157.0500030517578
2018-04-19,157.0500030517578
2018-04-20,156.14999389648438
2018-04-23,158.64999389648438
2018-04-24,155.89999389648438
2018-04-25,153.64999389648438
2018-04-26,156.4499969482422
2018-04-27,156.3000030517578
2018-04-30,159.75
2018-05-02,159.9499969482422
2018-05-03,158.60000610351562
2018-05-04,158.9499969482422
2018-05-07,157.89999389648438
2018-05-08,160.39999389648438
2018-05-09,157.39999389648438
2018-05-10,154.6999969482422
2018-05-11,151.39999389648438
2018-05-14,149.9499969482422
2018-05-15,147.64999389648438
2018-05-16,145.8000030517578
2018-05-17,147.3000030517578
2018-05-18,147.5
2018-05-21,143.85000610351562
2018-05-22,144.89999389648438
2018-05-23,140.9499969482422
2018-05-24,141.89999389648438
2018-05-25,142.9499969482422
2018-05-28,146.14999389648438
2018-05-29,149.10000610351562
2018-05-30,147.5
2018-05-31,146.6999969482422
2018-06-01,144.39999389648438
2018-06-04,141.64999389648438
2018-06-05,138.1999969482422
2018-06-06,139.6999969482422
2018-06-07,141.5
2018-06-08,140.8000030517578
2018-06-11,139.35000610351562
2018-06-12,139.25
2018-06-13,139.5500030517578
2018-06-14,140.64999389648438
2018-06-15,139.89999389648438
2018-06-18,138.64999389648438
2018-06-19,138.85000610351562
2018-06-20,139.25
2018-06-21,136.89999389648438
2018-06-22,136.9499969482422
2018-06-25,135.60000610351562
2018-06-26,131.5500030517578
2018-06-27,126.80000305175781
2018-06-28,127.8499984741211
2018-06-29,133.1999969482422
2018-07-02,129.35000610351562
2018-07-03,129.75
2018-07-04,129.0500030517578
2018-07-05,127.3499984741211
2018-07-06,126.94999694824219
2018-07-09,127.94999694824219
2018-07-10,130.89999389648438
2018-07-11,130.75
2018-07-12,130.8000030517578
2018-07-13,130.1999969482422
2018-07-16,126.94999694824219
2018-07-17,127.5999984741211
2018-07-18,124.25
2018-07-19,125.55000305175781
2018-07-20,126.44999694824219
2018-07-23,129.85000610351562
2018-07-24,140.0
2018-07-25,139.10000610351562
2018-07-26,143.60000610351562
2018-07-27,142.8000030517578
2018-07-30,147.35000610351562
2018-07-31,146.5
2018-08-01,147.1999969482422
2018-08-02,145.5
2018-08-03,146.89999389648438
2018-08-06,146.39999389648438
2018-08-07,148.89999389648438
2018-08-08,149.3000030517578
2018-08-09,150.10000610351562
2018-08-10,146.25
2018-08-13,141.39999389648438
2018-08-14,141.64999389648438
2018-08-16,141.39999389648438
2018-08-17,143.0500030517578
2018-08-20,143.85000610351562
2018-08-21,142.1999969482422
2018-08-23,140.5500030517578
2018-08-24,140.3000030517578
2018-08-27,139.3000030517578
2018-08-28,138.1999969482422
2018-08-29,137.3000030517578
2018-08-30,143.35000610351562
2018-08-31,141.25
2018-09-03,141.0500030517578
2018-09-04,137.10000610351562
2018-09-05,135.89999389648438
2018-09-06,137.35000610351562
2018-09-07,137.35000610351562
2018-09-10,134.89999389648438
2018-09-11,132.5500030517578
2018-09-12,131.0500030517578
2018-09-14,133.25
2018-09-17,132.1999969482422
2018-09-18,129.89999389648438
2018-09-19,127.25
2018-09-21,123.69999694824219
2018-09-24,117.25
2018-09-25,119.55000305175781
